DATE,ARRIVAL
2006-01-04,353.0
2006-01-05,219.0
2006-01-06,243.0
2006-01-07,257.0
2006-01-08,
2006-01-09,279.0
2006-01-10,172.0
2006-01-11,
2006-01-12,
2006-01-13,147.0
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,230.0
2006-01-18,230.0
2006-01-19,178.0
2006-01-20,237.0
2006-01-21,130.0
2006-01-22,
2006-01-23,208.0
2006-01-24,221.0
2006-01-25,212.0
2006-01-26,
2006-01-27,245.0
2006-01-28,187.0
2006-02-01,307.0
2006-02-02,
2006-02-03,148.0
2006-02-04,107.0
2006-02-05,
2006-02-06,233.0
2006-02-07,89.0
2006-02-08,310.0
2006-02-09,
2006-02-10,413.0
2006-02-11,283.0
2006-02-12,
2006-02-13,
2006-02-14,363.0
2006-02-15,268.0
2006-02-16,203.0
2006-02-17,
2006-02-18,
2006-02-19,
2006-02-20,209.0
2006-02-21,172.0
2006-02-22,175.0
2006-02-23,187.0
2006-02-24,193.0
2006-02-25,226.0
2006-02-26,
2006-02-27,
2006-02-28,592.0
2006-03-02,81.0
2006-03-03,
2006-03-04,964.0
2006-03-05,
2006-03-06,104.0
2006-03-07,
2006-03-08,
2006-03-09,50.0
2006-03-10,7.0
2006-03-11,43.0
2006-03-12,
2006-03-13,29.0
2006-03-14,81.0
2006-03-15,
2006-03-16,
2006-03-17,10.0
2006-03-18,
2006-03-19,
2006-03-20,
2006-03-21,7.0
2006-03-22,7.0
2006-03-23,6.0
2006-03-24,3.0
2006-03-25,6.0
2006-03-26,
2006-03-27,
2006-03-28,3.0
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,1.0
2006-05-05,
2006-05-06,1.0
2006-05-07,
2006-05-08,1.0
2006-05-09,
2006-05-10,
2006-05-11,1.0
2006-05-12,1.0
2006-05-13,
2006-05-14,
2006-05-15,62.0
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,18.0
2006-05-20,1.0
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,26.0
2006-05-30,1.0
2006-05-31,1.0
