DATE,ARRIVAL
2006-01-01,
2006-01-02,
2006-01-03,
2006-01-04,
2006-01-05,
2006-01-06,
2006-01-07,
2006-01-08,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,
2006-01-13,
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,37.4
2006-01-18,
2006-01-19,18.6
2006-01-20,22.8
2006-01-21,14.0
2006-01-22,
2006-01-23,
2006-01-24,
2006-01-25,19.5
2006-01-26,
2006-01-27,
2006-01-28,
2006-01-29,
2006-01-30,
2006-01-31,
2006-02-01,14.6
2006-02-02,16.6
2006-02-03,8.8
2006-02-04,2.2
2006-02-05,
2006-02-06,20.4
2006-02-07,29.3
2006-02-08,22.7
2006-02-09,6.3
2006-02-10,
2006-02-11,
2006-02-12,
2006-02-13,
2006-02-14,
2006-02-15,
2006-02-16,
2006-02-17,
2006-02-18,
2006-02-19,
2006-02-20,
2006-02-21,
2006-02-22,
2006-02-23,
2006-02-24,
2006-02-25,16.4
2006-02-26,
2006-02-27,14.5
2006-02-28,8.8
2006-03-01,11.6
2006-03-02,1.4
2006-03-03,3.4
2006-03-04,8.0
2006-03-05,
2006-03-06,6.4
2006-03-07,0.8
2006-03-08,0.3
2006-03-09,0.5
2006-03-10,0.4
2006-03-11,
2006-03-12,
2006-03-13,1.9
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,1.9
2006-03-18,1.6
2006-03-19,
2006-03-20,
2006-03-21,
2006-03-22,
2006-03-23,
2006-03-24,
2006-03-25,
2006-03-26,
2006-03-27,
2006-03-28,
2006-03-29,
2006-03-30,
2006-03-31,
2006-04-01,
2006-04-02,
2006-04-03,
2006-04-04,
2006-04-05,5.4
2006-04-06,
2006-04-07,
2006-04-08,
2006-04-09,
2006-04-10,2.0
2006-04-11,5.4
2006-04-12,
2006-04-13,
2006-04-14,
2006-04-15,
2006-04-16,
2006-04-17,
2006-04-18,
2006-04-19,
2006-04-20,
2006-04-21,
2006-04-22,
2006-04-23,
2006-04-24,
2006-04-25,
2006-04-26,
2006-04-27,
2006-04-28,
2006-04-29,
2006-04-30,
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-27,0.2
2006-05-28,
2006-05-29,
2006-05-30,23.9
2006-05-31,25.4
2006-06-01,0.4
2006-06-02,
2006-06-03,
2006-06-04,
2006-06-05,0.8
2006-06-06,1.3
2006-06-07,0.6
2006-06-08,0.1
2006-06-09,0.2
2006-06-10,
2006-06-11,
2006-06-12,
2006-06-13,0.1
2006-06-14,0.5
2006-06-15,0.1
2006-06-16,1.4
2006-06-17,
2006-06-18,
2006-06-19,6.3
2006-06-20,1.8
2006-06-21,3.9
2006-06-22,
2006-06-23,0.9
2006-06-24,1.0
2006-06-25,
2006-06-26,
2006-06-27,4.1
2006-06-28,
2006-06-29,5.6
2006-06-30,4.6
2006-07-01,4.0
2006-07-02,
2006-07-03,7.1
2006-07-04,5.6
2006-07-05,6.9
2006-07-06,5.9
2006-07-07,12.4
2006-07-08,4.8
2006-07-09,
2006-07-10,6.7
2006-07-11,0.7
2006-07-12,1.5
2006-07-13,1.9
2006-07-14,9.2
2006-07-15,4.3
2006-07-16,
2006-07-17,3.2
2006-07-18,6.7
2006-07-19,
2006-07-20,4.3
2006-07-21,0.5
2006-07-22,4.7
2006-07-23,
2006-07-24,
2006-07-25,
2006-07-26,
2006-07-27,
2006-07-28,
2006-07-29,
2006-07-30,
2006-07-31,
2006-08-01,
2006-08-02,
2006-08-03,
2006-08-04,
2006-08-05,
2006-08-06,
2006-08-07,
2006-08-08,
2006-08-09,
2006-08-10,
2006-08-11,
2006-08-12,
2006-08-13,
2006-08-14,
2006-08-15,
2006-08-16,
2006-08-17,
2006-08-18,
2006-08-19,
2006-08-20,
2006-08-21,
2006-08-22,
2006-08-23,
2006-08-24,
2006-08-25,
2006-08-26,
2006-08-27,
2006-08-28,
2006-08-29,
2006-08-30,
2006-08-31,
