DATE,ARRIVAL
2006-01-01,
2006-01-02,288.0
2006-01-03,216.0
2006-01-04,198.0
2006-01-05,252.0
2006-01-06,243.0
2006-01-07,279.0
2006-01-08,
2006-01-09,324.0
2006-01-10,310.5
2006-01-11,198.0
2006-01-12,306.0
2006-01-13,216.0
2006-01-14,
2006-01-15,
2006-01-16,198.0
2006-01-17,207.0
2006-01-18,180.0
2006-01-19,171.0
2006-01-20,162.0
2006-01-21,216.0
2006-01-22,
2006-01-23,
2006-01-24,
2006-01-25,180.0
2006-01-26,
2006-01-27,
2006-01-28,153.0
2006-01-29,
2006-01-30,189.0
2006-01-31,144.0
2006-02-01,198.0
2006-02-02,67.5
2006-02-03,80.0
2006-02-04,40.0
2006-02-05,
2006-02-06,99.0
2006-02-07,130.0
2006-02-08,108.0
2006-02-09,
2006-02-10,108.0
2006-02-11,81.0
2006-02-12,
2006-02-13,
2006-02-14,63.0
2006-02-15,54.0
2006-02-16,
2006-02-17,72.0
2006-02-18,171.0
2006-02-19,
2006-02-20,171.0
2006-02-21,54.0
2006-02-22,126.0
2006-02-23,31.5
2006-02-24,95.0
2006-02-25,51.0
2006-02-26,
2006-02-27,22.0
2006-02-28,99.0
2006-03-01,58.0
2006-03-02,52.0
2006-03-03,99.5
2006-03-04,80.0
2006-03-05,
2006-03-06,85.0
2006-03-07,20.4
2006-03-08,30.5
2006-03-09,19.0
2006-03-10,24.5
2006-03-11,9.0
2006-03-12,
2006-03-13,22.5
2006-03-14,4.5
2006-03-15,
2006-03-16,
2006-03-17,3.6
2006-03-18,9.0
2006-03-19,
2006-03-20,36.0
2006-03-21,18.0
2006-03-22,16.0
2006-03-23,15.0
2006-03-24,39.5
2006-03-25,4.5
2006-03-26,
2006-03-27,13.0
2006-03-28,12.5
2006-03-29,13.5
2006-03-30,13.5
2006-03-31,
2006-04-01,
2006-04-02,
2006-04-03,22.5
2006-04-04,15.0
2006-04-05,17.0
2006-04-06,
2006-04-07,30.0
2006-04-08,
2006-04-09,
2006-04-10,
2006-04-11,
2006-04-12,30.0
2006-04-13,9.0
2006-04-14,35.0
2006-04-15,
2006-04-16,
2006-04-17,
2006-04-18,4.5
2006-04-19,11.5
2006-04-20,21.5
2006-04-21,21.0
2006-04-22,26.1
2006-04-23,
2006-04-24,22.5
2006-04-25,32.5
2006-04-26,30.5
2006-04-27,
2006-04-28,54.0
2006-04-29,10.0
2006-04-30,
2006-05-01,8.0
2006-05-02,10.0
2006-05-03,26.0
2006-05-04,13.0
2006-05-05,21.0
2006-05-06,
2006-05-07,
2006-05-08,7.0
2006-05-09,8.0
2006-05-10,12.5
2006-05-11,9.0
2006-05-12,5.5
2006-05-13,18.0
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,13.5
2006-05-18,18.0
2006-05-19,22.5
2006-05-20,19.0
2006-05-21,
2006-05-22,18.0
2006-05-23,32.4
2006-05-24,27.0
2006-05-25,9.0
2006-05-26,20.0
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,27.0
2006-05-31,15.0
2006-06-01,18.0
2006-06-02,
2006-06-03,10.0
2006-06-04,
2006-06-05,40.5
2006-06-06,36.0
2006-06-07,31.5
2006-06-08,36.0
2006-06-09,29.5
2006-06-10,31.5
2006-06-11,
2006-06-12,49.5
2006-06-13,24.5
2006-06-14,26.5
2006-06-15,36.0
2006-06-16,34.0
2006-06-17,49.5
2006-06-18,
2006-06-19,40.5
2006-06-20,40.5
2006-06-21,36.0
2006-06-22,54.0
2006-06-23,36.0
2006-06-24,49.5
2006-06-25,
2006-06-26,49.5
2006-06-27,78.0
2006-06-28,27.0
2006-06-29,34.5
2006-06-30,24.5
2006-07-01,63.0
2006-07-02,
2006-07-03,
2006-07-04,72.0
2006-07-05,81.0
2006-07-06,45.0
2006-07-07,81.0
2006-07-08,85.5
2006-07-09,
2006-07-10,94.5
2006-07-11,90.0
2006-07-12,12.0
2006-07-13,117.0
2006-07-14,54.0
2006-07-15,58.5
2006-07-16,
2006-07-17,126.0
2006-07-18,58.5
2006-07-19,81.0
2006-07-20,45.0
2006-07-21,6.5
2006-07-22,36.0
2006-07-23,
2006-07-24,28.8
2006-07-25,18.0
2006-07-26,29.0
2006-07-27,30.0
2006-07-28,6.0
2006-07-29,21.0
2006-07-30,
2006-07-31,66.0
2006-08-01,
2006-08-02,
2006-08-03,
2006-08-04,
2006-08-05,
2006-08-06,
2006-08-07,
2006-08-08,
2006-08-09,
2006-08-10,
2006-08-11,
2006-08-12,
2006-08-13,
2006-08-14,
2006-08-15,
2006-08-16,
2006-08-17,
2006-08-18,
2006-08-19,
2006-08-20,
2006-08-21,
2006-08-22,
2006-08-23,
2006-08-24,
2006-08-25,
2006-08-26,
2006-08-27,
2006-08-28,
2006-08-29,
2006-08-30,
2006-08-31,
2006-09-01,4.5
2006-09-02,7.5
2006-09-03,
2006-09-04,
2006-09-05,5.5
2006-09-06,
2006-09-07,40.5
2006-09-08,81.0
2006-09-09,54.0
2006-09-10,
2006-09-11,72.0
2006-09-12,54.0
2006-09-13,27.0
2006-09-14,31.5
2006-09-15,16.2
2006-09-16,39.0
2006-09-17,
2006-09-18,
2006-09-19,54.0
2006-09-20,28.8
2006-09-21,8.1
2006-09-22,10.8
2006-09-23,
2006-09-24,
2006-09-25,24.3
2006-09-26,
2006-09-27,27.0
2006-09-28,15.3
2006-09-29,18.0
2006-09-30,13.0
2006-10-01,
2006-10-02,
