DATE,ARRIVAL
2006-03-01,
2006-03-02,
2006-03-03,
2006-03-04,8.4
2006-03-05,
2006-03-06,
2006-03-07,18.4
2006-03-08,15.6
2006-03-09,11.5
2006-03-10,14.0
2006-03-11,0.5
2006-03-12,
2006-03-13,8.0
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,6.0
2006-03-18,18.5
2006-03-19,
2006-03-20,30.0
2006-03-21,30.0
2006-03-22,26.0
2006-03-23,28.0
2006-03-24,11.0
2006-03-25,18.0
2006-03-26,
2006-03-27,20.5
2006-03-28,32.5
2006-03-29,
2006-03-30,
2006-03-31,37.0
2006-04-01,
2006-04-02,
2006-04-03,30.0
2006-04-04,35.0
2006-04-05,24.0
2006-04-06,
2006-04-07,
2006-04-08,
2006-04-09,
2006-04-10,
2006-04-11,
2006-04-12,60.0
2006-04-13,
2006-04-14,36.1
2006-04-15,50.0
2006-04-16,
2006-04-17,17.0
2006-04-18,28.5
2006-04-19,40.0
2006-04-20,23.0
2006-04-21,21.0
2006-04-22,40.0
2006-04-23,
2006-04-24,23.5
2006-04-25,27.5
2006-04-26,16.5
2006-04-27,
2006-04-28,23.5
2006-04-29,39.0
2006-04-30,
2006-05-01,15.0
2006-05-02,18.5
2006-05-03,26.0
2006-05-04,22.0
2006-05-05,21.0
2006-05-06,21.0
2006-05-07,
2006-05-08,24.0
2006-05-09,22.5
2006-05-10,13.0
2006-05-11,11.0
2006-05-12,15.0
2006-05-13,30.5
2006-05-14,
2006-05-15,
2006-05-16,20.0
2006-05-17,13.5
2006-05-18,
2006-05-19,21.5
2006-05-20,27.0
2006-05-21,
2006-05-22,22.5
2006-05-23,16.0
2006-05-24,28.0
2006-05-25,17.0
2006-05-26,42.5
2006-05-27,
2006-05-28,
2006-05-29,61.5
2006-05-30,50.0
2006-05-31,50.0
2006-06-01,27.0
2006-06-02,
2006-06-03,30.0
2006-06-04,
2006-06-05,72.5
2006-06-06,32.0
2006-06-07,53.5
2006-06-08,38.0
2006-06-09,48.0
2006-06-10,47.0
2006-06-11,
2006-06-12,47.5
2006-06-13,35.0
2006-06-14,23.0
2006-06-15,42.5
2006-06-16,11.8
2006-06-17,32.8
2006-06-18,
2006-06-19,62.9
2006-06-20,20.5
2006-06-21,35.0
2006-06-22,22.5
2006-06-23,20.0
2006-06-24,30.0
2006-06-25,
2006-06-26,
2006-06-27,30.0
2006-06-28,39.0
2006-06-29,13.0
2006-06-30,5.5
2006-07-01,3.0
2006-07-02,
2006-07-03,32.5
2006-07-04,35.0
2006-07-05,23.0
2006-07-06,45.0
2006-07-07,70.0
2006-07-08,70.5
2006-07-09,
2006-07-10,47.0
2006-07-11,30.0
2006-07-12,18.0
2006-07-13,14.0
2006-07-14,27.5
2006-07-15,
2006-07-16,
2006-07-17,47.5
2006-07-18,47.0
2006-07-19,41.0
2006-07-20,19.0
2006-07-21,
2006-07-22,25.0
2006-07-23,
2006-07-24,65.0
2006-07-25,
2006-07-26,
2006-07-27,
2006-07-28,
2006-07-29,
2006-07-30,
2006-07-31,
2006-08-01,
2006-08-02,
2006-08-03,
2006-08-04,
2006-08-05,
2006-08-06,
2006-08-07,
2006-08-08,
2006-08-09,
2006-08-10,
2006-08-11,
2006-08-12,
2006-08-13,
2006-08-14,
2006-08-15,
2006-08-16,
2006-08-17,
2006-08-18,
2006-08-19,
2006-08-20,
2006-08-21,
2006-08-22,
2006-08-23,
2006-08-24,
2006-08-25,
2006-08-26,
2006-08-27,
2006-08-28,
2006-08-29,
2006-08-30,
2006-08-31,
2006-09-01,
2006-09-02,
2006-09-03,
2006-09-04,
2006-09-05,30.0
2006-09-06,
2006-09-07,11.5
2006-09-08,22.5
2006-09-09,32.2
2006-09-10,
2006-09-11,47.5
2006-09-12,44.0
2006-09-13,20.0
2006-09-14,26.0
2006-09-15,35.5
2006-09-16,32.0
2006-09-17,
2006-09-18,24.0
2006-09-19,30.0
2006-09-20,12.5
2006-09-21,6.2
2006-09-22,
2006-09-23,16.0
2006-09-24,
2006-09-25,23.0
2006-09-26,16.5
2006-09-27,30.0
2006-09-28,26.0
2006-09-29,
2006-09-30,19.3
2006-10-01,
2006-10-02,
2006-10-03,24.9
2006-10-04,16.5
2006-10-05,12.9
2006-10-06,24.3
2006-10-07,50.0
2006-10-08,
2006-10-09,180.0
2006-10-10,155.0
2006-10-11,227.5
2006-10-12,370.0
2006-10-13,450.0
2006-10-14,700.0
2006-10-15,
2006-10-16,1150.0
2006-10-17,1000.0
2006-10-18,950.0
2006-10-19,
2006-10-20,
2006-10-21,
2006-10-22,
2006-10-23,
2006-10-24,
2006-10-25,600.0
2006-10-26,1200.0
2006-10-27,800.0
2006-10-28,
2006-10-29,
2006-10-30,900.0
2006-10-31,800.0
2006-11-01,700.0
2006-11-02,630.0
2006-11-03,700.0
2006-11-04,600.0
2006-11-05,
2006-11-06,572.5
2006-11-07,500.0
2006-11-08,520.0
2006-11-09,480.0
2006-11-10,600.0
2006-11-11,700.0
2006-11-12,
2006-11-13,320.0
2006-11-14,340.0
2006-11-15,350.0
2006-11-16,357.5
2006-11-17,330.0
2006-11-18,500.0
2006-11-19,
2006-11-20,
2006-11-21,270.0
2006-11-22,236.5
2006-11-23,255.0
2006-11-24,254.5
2006-11-25,280.0
2006-11-26,
2006-11-27,141.5
2006-11-28,165.0
2006-11-29,143.5
2006-11-30,148.8
2006-12-01,108.1
2006-12-02,173.3
2006-12-03,
2006-12-04,158.5
2006-12-05,100.0
2006-12-06,105.5
2006-12-07,106.0
2006-12-08,76.5
2006-12-09,110.0
2006-12-10,
2006-12-11,117.0
2006-12-12,75.0
2006-12-13,92.5
2006-12-14,117.0
2006-12-15,65.0
2006-12-16,80.0
2006-12-17,
2006-12-18,67.0
2006-12-19,85.0
2006-12-20,
2006-12-21,106.5
2006-12-22,65.6
2006-12-23,92.0
2006-12-24,
2006-12-25,93.5
2006-12-26,106.0
2006-12-27,110.0
2006-12-28,130.5
2006-12-29,91.0
2006-12-30,135.5
2006-12-31,
