DATE,ARRIVAL
2006-01-01,
2006-01-02,113.5
2006-01-03,125.0
2006-01-04,158.0
2006-01-05,131.0
2006-01-06,145.0
2006-01-07,102.0
2006-01-08,
2006-01-09,107.5
2006-01-10,114.0
2006-01-11,
2006-01-12,225.5
2006-01-13,79.5
2006-01-14,
2006-01-15,
2006-01-16,63.0
2006-01-17,130.5
2006-01-18,143.5
2006-01-19,100.5
2006-01-20,5.2
2006-01-21,77.2
2006-01-22,
2006-01-23,75.5
2006-01-24,165.0
2006-01-25,112.1
2006-01-26,
2006-01-27,84.5
2006-01-28,56.5
2006-01-29,
2006-01-30,66.0
2006-01-31,66.5
2006-02-01,86.6
2006-02-02,42.6
2006-02-03,48.5
2006-02-04,30.0
2006-02-05,
2006-02-06,38.0
2006-02-07,49.5
2006-02-08,54.6
2006-02-09,38.5
2006-02-10,52.0
2006-02-11,13.3
2006-02-12,
2006-02-13,29.5
2006-02-14,14.5
2006-02-15,19.5
2006-02-16,17.0
2006-02-17,24.0
2006-02-18,24.9
2006-02-19,
2006-02-20,
2006-02-21,
2006-02-22,10.7
2006-02-23,8.2
2006-02-24,6.6
2006-02-25,
2006-02-26,
2006-02-27,
2006-02-28,
2006-03-01,8.0
2006-03-02,9.5
2006-03-03,12.0
2006-03-04,23.1
2006-03-05,
2006-03-06,54.9
2006-03-07,18.3
2006-03-08,27.6
2006-03-09,16.9
2006-03-10,19.2
2006-03-11,20.2
2006-03-12,
2006-03-13,
2006-03-14,19.7
2006-03-15,
2006-03-16,
2006-03-17,3.8
2006-03-18,5.5
2006-03-19,
2006-03-20,12.5
2006-03-21,18.1
2006-03-22,11.5
2006-03-23,12.5
2006-03-24,8.5
2006-03-25,
2006-03-26,
2006-03-27,14.7
2006-03-28,21.5
2006-03-29,5.2
2006-03-30,6.8
2006-03-31,2.8
2006-04-01,
2006-04-02,
2006-04-03,
2006-04-04,9.0
2006-04-05,18.2
2006-04-06,
2006-04-07,4.5
2006-04-08,5.5
2006-04-09,
2006-04-10,6.0
2006-04-11,
2006-04-12,7.5
2006-04-13,
2006-04-14,
2006-04-15,
2006-04-16,
2006-04-17,
2006-04-18,
2006-04-19,3.5
2006-04-20,
2006-04-21,9.2
2006-04-22,4.0
2006-04-23,
2006-04-24,10.3
2006-04-25,8.0
2006-04-26,1.6
2006-04-27,18.0
2006-04-28,9.0
2006-04-29,5.0
2006-04-30,
2006-05-01,8.0
2006-05-02,
2006-05-03,
2006-05-04,6.6
2006-05-05,4.0
2006-05-06,0.3
2006-05-07,
2006-05-08,2.3
2006-05-09,16.9
2006-05-10,3.5
2006-05-11,6.5
2006-05-12,
2006-05-13,0.3
2006-05-14,
2006-05-15,
2006-05-16,1.6
2006-05-17,5.9
2006-05-18,4.6
2006-05-19,11.0
2006-05-20,2.7
2006-05-21,
2006-05-22,6.5
2006-05-23,2.6
2006-05-24,16.5
2006-05-25,0.6
2006-05-26,5.9
2006-05-27,
2006-05-28,
2006-05-29,4.9
2006-05-30,
2006-05-31,
2006-06-01,
2006-06-02,0.5
2006-06-03,3.0
2006-06-04,
2006-06-05,9.6
2006-06-06,9.6
2006-06-07,5.2
2006-06-08,
2006-06-09,46.5
2006-06-10,23.7
2006-06-11,
2006-06-12,10.9
2006-06-13,11.2
2006-06-14,34.4
2006-06-15,34.6
2006-06-16,26.8
2006-06-17,
2006-06-18,
2006-06-19,9.4
2006-06-20,9.5
