DATE,ARRIVAL
2006-01-01,
2006-01-02,93.2
2006-01-03,106.8
2006-01-04,118.2
2006-01-05,85.9
2006-01-06,121.6
2006-01-07,101.8
2006-01-08,
2006-01-09,73.4
2006-01-10,90.0
2006-01-11,
2006-01-12,85.0
2006-01-13,73.1
2006-01-14,3.0
2006-01-15,
2006-01-16,142.4
2006-01-17,59.5
2006-01-18,26.8
2006-01-19,28.3
2006-01-20,53.0
2006-01-21,48.5
2006-01-22,
2006-01-23,66.2
2006-01-24,63.4
2006-01-25,
2006-01-26,
2006-01-27,57.8
2006-01-28,65.4
2006-01-29,
2006-01-30,62.8
2006-01-31,63.8
2006-02-01,47.6
2006-02-02,
2006-02-03,49.5
2006-02-04,48.3
2006-02-05,
2006-02-06,54.1
2006-02-07,69.6
2006-02-08,40.0
2006-02-09,36.2
2006-02-10,42.7
2006-02-11,36.6
2006-02-12,
2006-02-13,41.9
2006-02-14,31.2
2006-02-15,41.8
2006-02-16,42.3
2006-02-17,65.1
2006-02-18,44.0
2006-02-19,
2006-02-20,44.6
2006-02-21,42.2
2006-02-22,19.0
2006-02-23,11.5
2006-02-24,29.2
2006-02-25,
2006-02-26,
2006-02-27,9.8
2006-02-28,24.5
2006-03-01,22.6
2006-03-02,17.0
2006-03-03,20.0
2006-03-04,15.2
2006-03-05,
2006-03-06,6.0
2006-03-07,9.0
2006-03-08,6.8
2006-03-09,6.0
2006-03-10,2.9
2006-03-11,6.2
2006-03-12,
2006-03-13,35.2
2006-03-14,
2006-03-15,
2006-03-16,5.7
2006-03-17,1.2
2006-03-18,0.9
2006-03-19,
2006-03-20,3.6
2006-03-21,8.8
2006-03-22,3.1
2006-03-23,2.7
2006-03-24,3.7
2006-03-25,5.0
2006-03-26,
2006-03-27,2.0
2006-03-28,14.0
2006-03-29,5.6
2006-03-30,4.0
2006-03-31,
2006-04-01,
2006-04-02,
2006-04-03,3.1
2006-04-04,0.4
2006-04-05,0.8
2006-04-06,
2006-04-07,
2006-04-08,3.8
2006-04-09,
2006-04-10,3.0
2006-04-11,3.4
2006-04-12,2.9
2006-04-13,
2006-04-14,
2006-04-15,10.0
2006-04-16,
2006-04-17,10.0
2006-04-18,2.5
2006-04-19,
2006-04-20,
2006-04-21,2.0
2006-04-22,3.1
2006-04-23,
2006-04-24,5.1
2006-04-25,3.9
2006-04-26,26.6
2006-04-27,0.6
2006-04-28,3.0
2006-04-29,
2006-04-30,
2006-05-01,
2006-05-02,2.5
2006-05-03,4.7
2006-05-04,
2006-05-05,3.3
2006-05-06,4.7
2006-05-07,
2006-05-08,3.2
2006-05-09,2.8
2006-05-10,2.9
2006-05-11,0.4
2006-05-12,
2006-05-13,2.5
2006-05-14,
2006-05-15,
2006-05-16,5.5
2006-05-17,0.4
2006-05-18,
2006-05-19,5.0
2006-05-20,6.1
2006-05-21,
2006-05-22,
2006-05-23,5.7
2006-05-24,1.8
2006-05-25,
2006-05-26,4.1
2006-05-27,4.1
2006-05-28,
2006-05-29,3.1
2006-05-30,6.1
2006-05-31,3.1
2006-06-01,5.7
2006-06-02,
2006-06-03,
2006-06-04,
2006-06-05,2.3
2006-06-06,1.1
2006-06-07,5.5
2006-06-08,3.5
2006-06-09,0.7
2006-06-10,2.8
2006-06-11,
2006-06-12,2.5
2006-06-13,5.7
2006-06-14,2.7
2006-06-15,4.9
2006-06-16,14.5
2006-06-17,5.6
2006-06-18,
2006-06-19,0.6
2006-06-20,4.7
2006-06-21,6.2
2006-06-22,4.0
2006-06-23,6.6
2006-06-24,
2006-06-25,2.4
2006-06-26,4.3
2006-06-27,1.5
2006-06-28,2.5
2006-06-29,1.5
2006-06-30,7.0
2006-07-01,8.5
2006-07-02,
2006-07-03,22.0
2006-07-04,6.0
2006-07-05,9.2
2006-07-06,7.5
2006-07-07,4.0
2006-07-08,6.5
2006-07-09,
2006-07-10,25.0
2006-07-11,8.0
2006-07-12,5.0
2006-07-13,15.1
2006-07-14,26.7
2006-07-15,11.4
2006-07-16,
2006-07-17,29.8
2006-07-18,27.7
2006-07-19,13.0
2006-07-20,19.4
2006-07-21,
2006-07-22,7.1
2006-07-23,
2006-07-24,15.8
2006-07-25,4.3
2006-07-26,11.3
2006-07-27,30.0
2006-07-28,
2006-07-29,6.6
2006-07-30,
2006-07-31,
2006-08-01,
2006-08-02,
2006-08-03,
2006-08-04,
2006-08-05,
2006-08-06,
2006-08-07,
2006-08-08,
2006-08-09,
2006-08-10,
2006-08-11,
2006-08-12,
2006-08-13,
2006-08-14,
2006-08-15,
2006-08-16,
2006-08-17,
2006-08-18,
2006-08-19,
2006-08-20,
2006-08-21,
2006-08-22,
2006-08-23,
2006-08-24,
2006-08-25,
2006-08-26,
2006-08-27,
2006-08-28,
2006-08-29,
2006-08-30,
2006-08-31,
2006-09-01,
2006-09-02,3.2
2006-09-03,
2006-09-04,3.2
2006-09-05,15.4
2006-09-06,6.7
2006-09-07,31.8
2006-09-08,28.9
2006-09-09,30.8
2006-09-10,
2006-09-11,27.0
2006-09-12,21.0
2006-09-13,16.0
2006-09-14,15.3
2006-09-15,13.0
2006-09-16,12.3
2006-09-17,
2006-09-18,17.0
2006-09-19,18.0
2006-09-20,18.0
2006-09-21,5.3
2006-09-22,22.5
2006-09-23,2.4
2006-09-24,
2006-09-25,14.2
2006-09-26,12.8
2006-09-27,2.5
2006-09-28,5.9
2006-09-29,6.2
2006-09-30,2.0
2006-10-01,
2006-10-02,
2006-10-03,4.3
2006-10-04,6.2
2006-10-05,
2006-10-06,6.7
2006-10-07,3.0
2006-10-08,
2006-10-09,4.5
2006-10-10,1.3
2006-10-11,4.0
2006-10-12,8.3
2006-10-13,5.8
2006-10-14,8.3
2006-10-15,
2006-10-16,44.0
2006-10-17,33.5
2006-10-18,66.0
2006-10-19,
2006-10-20,
2006-10-21,
2006-10-22,
2006-10-23,
2006-10-24,62.5
2006-10-25,60.0
2006-10-26,110.6
2006-10-27,120.9
2006-10-28,158.4
2006-10-29,
2006-10-30,148.6
2006-10-31,130.5
2006-11-01,208.7
2006-11-02,103.7
2006-11-03,150.0
2006-11-04,160.0
2006-11-05,
2006-11-06,154.8
2006-11-07,166.0
2006-11-08,143.0
2006-11-09,114.6
2006-11-10,118.0
2006-11-11,136.1
2006-11-12,
2006-11-13,99.3
2006-11-14,122.0
2006-11-15,110.0
2006-11-16,75.8
2006-11-17,80.0
2006-11-18,67.0
2006-11-19,
2006-11-20,13.5
2006-11-21,59.5
2006-11-22,71.5
2006-11-23,36.6
2006-11-24,35.2
2006-11-25,40.0
2006-11-26,
2006-11-27,49.0
2006-11-28,36.9
2006-11-29,
2006-11-30,
2006-12-01,
2006-12-02,30.0
2006-12-03,
2006-12-04,50.0
2006-12-05,15.0
2006-12-06,28.0
2006-12-07,29.0
2006-12-08,13.0
2006-12-09,34.0
2006-12-10,
2006-12-11,43.0
2006-12-12,39.8
2006-12-13,
2006-12-14,32.5
2006-12-15,
2006-12-16,
2006-12-17,
2006-12-18,25.3
2006-12-19,20.0
2006-12-20,22.0
2006-12-21,24.6
2006-12-22,31.6
2006-12-23,15.0
2006-12-24,
2006-12-25,19.7
2006-12-26,37.8
2006-12-27,38.6
2006-12-28,34.5
2006-12-29,15.6
2006-12-30,24.8
2006-12-31,
