DATE,ARRIVAL
2006-03-01,
2006-03-02,
2006-03-03,
2006-03-04,
2006-03-05,
2006-03-06,
2006-03-07,
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,7.0
2006-03-14,1.0
2006-03-15,
2006-03-16,7.3
2006-03-17,4.6
2006-03-18,9.4
2006-03-19,
2006-03-20,10.7
2006-03-21,4.2
2006-03-22,
2006-03-23,5.6
2006-03-24,4.1
2006-03-25,6.6
2006-03-26,
2006-03-27,1.9
2006-03-28,15.5
2006-03-29,8.8
2006-03-30,5.6
2006-03-31,
2006-04-01,
2006-04-02,
2006-04-03,1.0
2006-04-04,9.1
2006-04-05,11.1
2006-04-06,
2006-04-07,8.8
2006-04-08,17.8
2006-04-09,
2006-04-10,7.2
2006-04-11,
2006-04-12,16.3
2006-04-13,9.2
2006-04-14,13.2
2006-04-15,5.4
2006-04-16,
2006-04-17,5.9
2006-04-18,6.4
2006-04-19,13.0
2006-04-20,5.6
2006-04-21,6.2
2006-04-22,5.5
2006-04-23,
2006-04-24,10.5
2006-04-25,15.9
2006-04-26,9.2
2006-04-27,0.3
2006-04-28,0.1
2006-04-29,4.3
2006-04-30,
2006-05-01,6.6
2006-05-02,3.3
2006-05-03,1.1
2006-05-04,0.2
2006-05-05,4.0
2006-05-06,15.0
2006-05-07,
2006-05-08,1.0
2006-05-09,1.8
2006-05-10,1.9
2006-05-11,3.1
2006-05-12,7.2
2006-05-13,13.6
2006-05-14,
2006-05-15,4.9
2006-05-16,4.6
2006-05-17,6.8
2006-05-18,5.7
2006-05-19,4.7
2006-05-20,8.4
2006-05-21,
2006-05-22,12.6
2006-05-23,2.5
2006-05-24,12.2
2006-05-25,
2006-05-26,10.0
2006-05-27,2.0
2006-05-28,
2006-05-29,16.4
2006-05-30,2.1
2006-05-31,6.0
2006-06-01,4.8
2006-06-02,4.9
2006-06-03,27.4
2006-06-04,
2006-06-05,16.7
2006-06-06,7.0
2006-06-07,25.6
2006-06-08,7.2
2006-06-09,8.6
2006-06-10,7.5
2006-06-11,
2006-06-12,12.8
2006-06-13,20.0
2006-06-14,23.9
2006-06-15,12.8
2006-06-16,7.2
2006-06-17,8.5
2006-06-18,
2006-06-19,
2006-06-20,18.4
2006-06-21,10.5
2006-06-22,14.5
2006-06-23,4.1
2006-06-24,11.7
2006-06-25,
2006-06-26,33.4
2006-06-27,7.1
2006-06-28,13.7
2006-06-29,26.6
2006-06-30,10.5
2006-07-01,22.1
2006-07-02,
2006-07-03,9.6
2006-07-04,18.6
2006-07-05,16.2
2006-07-06,40.6
2006-07-07,54.1
2006-07-08,45.3
2006-07-09,
2006-07-10,37.8
2006-07-11,5.7
2006-07-12,12.4
2006-07-13,7.9
2006-07-14,7.2
2006-07-15,16.8
2006-07-16,
2006-07-17,16.0
2006-07-18,13.2
2006-07-19,13.6
2006-07-20,4.9
2006-07-21,3.0
2006-07-22,6.3
2006-07-23,
2006-07-24,16.6
2006-07-25,0.5
2006-07-26,7.2
2006-07-27,24.2
2006-07-28,
2006-07-29,12.6
2006-07-30,
2006-07-31,6.8
2006-08-01,
2006-08-02,
2006-08-03,
2006-08-04,
2006-08-05,
2006-08-06,
2006-08-07,
2006-08-08,
2006-08-09,
2006-08-10,
2006-08-11,
2006-08-12,
2006-08-13,
2006-08-14,
2006-08-15,
2006-08-16,
2006-08-17,
2006-08-18,
2006-08-19,
2006-08-20,
2006-08-21,
2006-08-22,
2006-08-23,
2006-08-24,
2006-08-25,
2006-08-26,
2006-08-27,
2006-08-28,
2006-08-29,
2006-08-30,
2006-08-31,
2006-09-01,
2006-09-02,0.4
2006-09-03,
2006-09-04,3.7
2006-09-05,7.1
2006-09-06,
2006-09-07,0.8
2006-09-08,1.9
2006-09-09,2.4
2006-09-10,
2006-09-11,13.0
2006-09-12,
2006-09-13,14.7
2006-09-14,12.2
2006-09-15,16.6
2006-09-16,2.9
2006-09-17,
2006-09-18,6.0
2006-09-19,0.5
2006-09-20,5.0
2006-09-21,
2006-09-22,6.9
2006-09-23,0.7
2006-09-24,
2006-09-25,2.2
2006-09-26,15.7
2006-09-27,3.3
2006-09-28,1.0
2006-09-29,6.6
2006-09-30,3.3
2006-10-01,
2006-10-02,
2006-10-03,4.8
2006-10-04,10.7
2006-10-05,19.3
2006-10-06,17.5
2006-10-07,
2006-10-08,
2006-10-09,49.7
2006-10-10,32.4
2006-10-11,83.9
2006-10-12,119.7
2006-10-13,192.5
2006-10-14,266.6
2006-10-15,
2006-10-16,467.9
2006-10-17,501.3
2006-10-18,527.4
2006-10-19,225.0
2006-10-20,
2006-10-21,
2006-10-22,
2006-10-23,
2006-10-24,
2006-10-25,475.8
2006-10-26,546.7
2006-10-27,695.2
2006-10-28,628.4
2006-10-29,
2006-10-30,389.6
2006-10-31,272.0
2006-11-01,250.0
2006-11-02,192.7
2006-11-03,196.5
2006-11-04,318.2
2006-11-05,
2006-11-06,
2006-11-07,
2006-11-08,
2006-11-09,
2006-11-10,
2006-11-11,
2006-11-12,
2006-11-13,
2006-11-14,
2006-11-15,
2006-11-16,
2006-11-17,
2006-11-18,
2006-11-19,
2006-11-20,
2006-11-21,
2006-11-22,
2006-11-23,
2006-11-24,
2006-11-25,
2006-11-26,
2006-11-27,
2006-11-28,
2006-11-29,
2006-11-30,
