DATE,ARRIVAL
2006-01-01,
2006-01-02,566.5
2006-01-03,622.7
2006-01-04,524.5
2006-01-05,505.4
2006-01-06,720.5
2006-01-07,613.9
2006-01-08,
2006-01-09,873.5
2006-01-10,784.7
2006-01-11,625.0
2006-01-12,603.6
2006-01-13,516.8
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,465.4
2006-01-18,414.5
2006-01-19,
2006-01-20,549.5
2006-01-21,523.5
2006-01-22,
2006-01-23,721.0
2006-01-24,678.1
2006-01-25,566.6
2006-01-26,
2006-01-27,635.0
2006-01-28,598.1
2006-01-29,
2006-01-30,622.8
2006-01-31,520.1
2006-02-01,662.0
2006-02-02,
2006-02-03,287.8
2006-02-04,
2006-02-05,
2006-02-06,506.9
2006-02-07,450.0
2006-02-08,420.1
2006-02-09,395.6
2006-02-10,512.7
2006-02-11,406.4
2006-02-12,
2006-02-13,445.7
2006-02-14,335.5
2006-02-15,260.0
2006-02-16,236.8
2006-02-17,417.8
2006-02-18,561.9
2006-02-19,
2006-02-20,493.7
2006-02-21,365.5
2006-02-22,306.0
2006-02-23,79.0
2006-02-24,262.5
2006-02-25,274.7
2006-02-26,
2006-02-27,
2006-02-28,247.9
2006-03-01,262.5
2006-03-02,221.0
2006-03-03,350.0
2006-03-04,459.1
2006-03-05,
2006-03-06,237.0
2006-03-07,206.5
2006-03-08,166.5
2006-03-09,176.7
2006-03-10,65.6
2006-03-11,48.0
2006-03-12,
2006-03-13,173.2
2006-03-14,31.2
2006-03-15,
2006-03-16,51.4
2006-03-17,91.0
2006-03-18,114.5
2006-03-19,
2006-03-20,81.0
2006-03-21,103.3
2006-03-22,108.0
2006-03-23,147.3
2006-03-24,204.7
2006-03-25,157.5
2006-03-26,
2006-03-27,205.5
2006-03-28,180.0
2006-03-29,
2006-03-30,254.0
2006-03-31,131.0
2006-04-01,
2006-04-02,
2006-04-03,175.0
2006-04-04,78.5
2006-04-05,78.5
2006-04-06,
2006-04-07,81.0
2006-04-08,61.5
2006-04-09,
2006-04-10,
2006-04-11,
2006-04-12,
2006-04-13,104.5
2006-04-14,213.6
2006-04-15,157.8
2006-04-16,
2006-04-17,240.2
2006-04-18,106.0
2006-04-19,126.5
2006-04-20,142.0
2006-04-21,88.4
2006-04-22,150.8
2006-04-23,
2006-04-24,193.3
2006-04-25,91.3
2006-04-26,137.7
2006-04-27,168.3
2006-04-28,133.3
2006-04-29,122.5
2006-04-30,
2006-05-01,63.3
2006-05-02,101.7
2006-05-03,
2006-05-04,114.0
2006-05-05,111.0
2006-05-06,108.0
2006-05-07,
2006-05-08,46.5
2006-05-09,72.8
2006-05-10,45.9
2006-05-11,43.7
2006-05-12,70.7
2006-05-13,52.3
2006-05-14,
2006-05-15,30.4
2006-05-16,66.0
2006-05-17,130.5
2006-05-18,89.8
2006-05-19,111.5
2006-05-20,132.2
2006-05-21,
2006-05-22,57.1
2006-05-23,67.3
2006-05-24,90.7
2006-05-25,82.9
2006-05-26,85.1
2006-05-27,105.8
2006-05-28,
2006-05-29,102.5
2006-05-30,129.5
2006-05-31,58.1
2006-06-01,80.6
2006-06-02,26.0
2006-06-03,25.3
2006-06-04,
2006-06-05,101.3
2006-06-06,118.2
2006-06-07,130.1
2006-06-08,138.3
2006-06-09,121.5
2006-06-10,132.1
2006-06-11,
2006-06-12,154.1
2006-06-13,138.5
2006-06-14,174.9
2006-06-15,171.3
2006-06-16,120.9
2006-06-17,159.8
2006-06-18,
2006-06-19,161.9
2006-06-20,110.9
2006-06-21,115.3
2006-06-22,144.1
2006-06-23,163.9
2006-06-24,138.7
2006-06-25,
2006-06-26,132.4
2006-06-27,91.8
2006-06-28,52.5
2006-06-29,93.8
2006-06-30,91.7
2006-07-01,
2006-07-02,
2006-07-03,110.2
2006-07-04,59.9
2006-07-05,
2006-07-06,102.4
2006-07-07,138.2
2006-07-08,194.9
2006-07-09,
2006-07-10,297.5
2006-07-11,120.5
2006-07-12,108.4
2006-07-13,142.5
2006-07-14,210.4
2006-07-15,147.8
2006-07-16,
2006-07-17,146.7
2006-07-18,173.4
2006-07-19,122.5
2006-07-20,95.8
2006-07-21,32.4
2006-07-22,65.5
2006-07-23,
2006-07-24,95.5
2006-07-25,56.0
2006-07-26,98.3
2006-07-27,81.5
2006-07-28,57.5
2006-07-29,37.8
2006-07-30,
2006-07-31,121.5
2006-08-01,
2006-08-02,
2006-08-03,
2006-08-04,
2006-08-05,
2006-08-06,
2006-08-07,
2006-08-08,
2006-08-09,
2006-08-10,
2006-08-11,
2006-08-12,
2006-08-13,
2006-08-14,
2006-08-15,
2006-08-16,
2006-08-17,
2006-08-18,
2006-08-19,
2006-08-20,
2006-08-21,
2006-08-22,
2006-08-23,
2006-08-24,
2006-08-25,
2006-08-26,
2006-08-27,
2006-08-28,
2006-08-29,
2006-08-30,
2006-08-31,
2006-09-01,24.1
2006-09-02,43.2
2006-09-03,
2006-09-04,35.3
2006-09-05,95.3
2006-09-06,
2006-09-07,80.5
2006-09-08,129.5
2006-09-09,189.5
2006-09-10,
2006-09-11,285.0
2006-09-12,188.0
2006-09-13,139.6
2006-09-14,116.3
2006-09-15,114.7
2006-09-16,84.9
2006-09-17,
2006-09-18,169.4
2006-09-19,84.2
2006-09-20,144.8
2006-09-21,131.4
2006-09-22,107.1
2006-09-23,
2006-09-24,
2006-09-25,129.7
2006-09-26,87.9
2006-09-27,61.4
2006-09-28,67.0
2006-09-29,89.1
