DATE,ARRIVAL
2006-01-01,
2006-01-02,
2006-01-03,
2006-01-04,
2006-01-05,
2006-01-06,
2006-01-07,
2006-01-08,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,
2006-01-13,
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,
2006-01-18,
2006-01-19,
2006-01-20,
2006-01-21,57.1
2006-01-22,44.8
2006-01-23,
2006-01-24,39.5
2006-01-25,32.9
2006-01-26,
2006-01-27,17.7
2006-01-28,39.3
2006-01-29,66.2
2006-01-30,
2006-01-31,39.3
2006-02-01,27.6
2006-02-02,
2006-02-03,
2006-02-04,20.2
2006-02-05,30.9
2006-02-06,
2006-02-07,22.4
2006-02-08,18.3
2006-02-09,
2006-02-10,30.9
2006-02-11,20.0
2006-02-12,38.2
2006-02-13,
2006-02-14,30.0
2006-02-15,26.4
2006-02-16,31.9
2006-02-17,17.6
2006-02-18,21.0
2006-02-19,31.6
2006-02-20,
2006-02-21,20.9
2006-02-22,20.4
2006-02-23,19.5
2006-02-24,
2006-02-25,21.8
2006-02-26,
2006-02-27,
2006-02-28,21.2
2006-03-01,14.9
2006-03-02,7.9
2006-03-03,9.3
2006-03-04,
2006-03-05,10.8
2006-03-06,
2006-03-07,13.6
2006-03-08,16.2
2006-03-09,19.9
2006-03-10,3.0
2006-03-11,9.2
2006-03-12,10.6
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,6.6
2006-03-17,8.2
2006-03-18,9.1
2006-03-19,5.1
2006-03-20,
2006-03-21,3.1
2006-03-22,
2006-03-23,10.5
2006-03-24,12.3
2006-03-25,3.1
2006-03-26,13.9
2006-03-27,
2006-03-28,9.4
2006-03-29,22.5
2006-03-30,
2006-03-31,
2006-04-01,
2006-04-02,
2006-04-03,
2006-04-04,16.2
2006-04-05,19.8
2006-04-06,
2006-04-07,12.7
2006-04-08,13.5
2006-04-09,33.1
2006-04-10,
2006-04-11,
2006-04-12,
2006-04-13,
2006-04-14,
2006-04-15,62.8
2006-04-16,56.1
2006-04-17,
2006-04-18,37.5
2006-04-19,15.0
2006-04-20,41.3
2006-04-21,31.8
2006-04-22,43.4
2006-04-23,45.2
2006-04-24,
2006-04-25,18.0
2006-04-26,
2006-04-27,42.5
2006-04-28,21.6
2006-04-29,16.0
2006-04-30,15.5
2006-05-01,
2006-05-02,18.0
2006-05-03,17.5
2006-05-04,29.8
2006-05-05,17.6
2006-05-06,6.4
2006-05-07,14.0
2006-05-08,
2006-05-09,5.5
2006-05-10,14.0
2006-05-11,7.4
2006-05-12,4.0
2006-05-13,6.2
2006-05-14,10.3
2006-05-15,
2006-05-16,32.7
2006-05-17,11.7
2006-05-18,
2006-05-19,10.8
2006-05-20,13.3
2006-05-21,26.9
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,17.9
2006-05-26,16.6
2006-05-27,15.8
2006-05-28,26.7
2006-05-29,
2006-05-30,
2006-05-31,35.4
2006-06-01,24.0
2006-06-02,
2006-06-03,28.5
2006-06-04,45.5
2006-06-05,
2006-06-06,10.9
2006-06-07,22.6
2006-06-08,12.5
2006-06-09,14.2
2006-06-10,25.5
2006-06-11,33.7
2006-06-12,
2006-06-13,24.0
2006-06-14,16.1
2006-06-15,22.5
2006-06-16,30.2
2006-06-17,8.5
2006-06-18,20.7
2006-06-19,
2006-06-20,16.2
2006-06-21,11.5
2006-06-22,8.8
2006-06-23,17.5
2006-06-24,20.9
2006-06-25,29.2
2006-06-26,
2006-06-27,21.5
2006-06-28,24.6
2006-06-29,36.0
2006-06-30,39.0
2006-07-01,55.3
2006-07-02,43.6
2006-07-03,
2006-07-04,42.5
2006-07-05,34.2
2006-07-06,10.6
2006-07-07,
2006-07-08,37.9
2006-07-09,71.3
2006-07-10,
2006-07-11,24.4
2006-07-12,16.6
2006-07-13,25.6
2006-07-14,14.4
2006-07-15,2.9
2006-07-16,16.7
2006-07-17,
2006-07-18,40.0
2006-07-19,28.2
2006-07-20,10.4
2006-07-21,1.2
2006-07-22,21.1
2006-07-23,25.0
2006-07-24,
2006-07-25,
2006-07-26,15.6
2006-07-27,7.2
2006-07-28,
2006-07-29,15.5
2006-07-30,7.0
2006-07-31,
2006-08-01,
2006-08-02,
2006-08-03,
2006-08-04,
2006-08-05,
2006-08-06,
2006-08-07,
2006-08-08,
2006-08-09,
2006-08-10,
2006-08-11,
2006-08-12,
2006-08-13,
2006-08-14,
2006-08-15,
2006-08-16,
2006-08-17,
2006-08-18,
2006-08-19,
2006-08-20,
2006-08-21,
2006-08-22,
2006-08-23,
2006-08-24,
2006-08-25,
2006-08-26,
2006-08-27,
2006-08-28,
2006-08-29,
2006-08-30,
2006-08-31,
2006-09-01,0.2
2006-09-02,2.7
2006-09-03,
2006-09-04,
2006-09-05,
2006-09-06,17.9
2006-09-07,
2006-09-08,6.6
2006-09-09,8.1
2006-09-10,6.6
2006-09-11,
2006-09-12,6.0
2006-09-13,20.8
2006-09-14,19.3
2006-09-15,30.2
2006-09-16,15.3
2006-09-17,41.2
2006-09-18,
2006-09-19,
2006-09-20,7.8
2006-09-21,12.5
2006-09-22,6.0
2006-09-23,
2006-09-24,7.7
2006-09-25,
2006-09-26,16.7
2006-09-27,15.3
2006-09-28,7.4
2006-09-29,15.6
2006-09-30,
2006-10-01,16.7
2006-10-02,
2006-10-03,51.6
2006-10-04,29.2
2006-10-05,37.8
2006-10-06,27.8
2006-10-07,43.7
2006-10-08,92.7
2006-10-09,
2006-10-10,158.1
2006-10-11,160.2
2006-10-12,178.1
2006-10-13,253.8
2006-10-14,240.9
2006-10-15,316.3
2006-10-16,
2006-10-17,
2006-10-18,398.4
2006-10-19,237.6
2006-10-20,
2006-10-21,
2006-10-22,
2006-10-23,
2006-10-24,
2006-10-25,
2006-10-26,311.2
2006-10-27,313.9
2006-10-28,405.0
2006-10-29,500.0
2006-10-30,
2006-10-31,
2006-11-01,500.0
2006-11-02,300.0
2006-11-03,347.6
2006-11-04,400.0
2006-11-05,
2006-11-06,
2006-11-07,500.0
2006-11-08,400.0
2006-11-09,384.5
2006-11-10,350.0
2006-11-11,400.0
2006-11-12,320.0
2006-11-13,
2006-11-14,400.0
2006-11-15,369.1
2006-11-16,318.9
2006-11-17,229.6
2006-11-18,186.2
2006-11-19,208.3
2006-11-20,
2006-11-21,216.0
2006-11-22,192.5
2006-11-23,175.1
2006-11-24,121.2
2006-11-25,132.2
2006-11-26,127.6
2006-11-27,
2006-11-28,108.3
2006-11-29,
2006-11-30,
2006-12-01,70.5
2006-12-02,78.1
2006-12-03,90.7
2006-12-04,
2006-12-05,104.3
2006-12-06,61.4
2006-12-07,57.3
2006-12-08,39.1
2006-12-09,63.4
2006-12-10,79.6
2006-12-11,
2006-12-12,47.6
2006-12-13,65.0
2006-12-14,71.5
2006-12-15,83.0
2006-12-16,102.8
2006-12-17,69.7
2006-12-18,
2006-12-19,60.9
2006-12-20,41.7
2006-12-21,49.0
2006-12-22,86.9
2006-12-23,82.3
2006-12-24,177.8
2006-12-25,
2006-12-26,153.9
2006-12-27,204.3
2006-12-28,88.3
2006-12-29,90.3
2006-12-30,95.0
2006-12-31,98.6
