DATE,ARRIVAL
2006-01-01,
2006-01-02,142.3
2006-01-03,70.5
2006-01-04,83.7
2006-01-05,47.4
2006-01-06,79.5
2006-01-07,
2006-01-08,
2006-01-09,80.3
2006-01-10,53.0
2006-01-11,51.5
2006-01-12,82.5
2006-01-13,56.7
2006-01-14,
2006-01-15,
2006-01-16,68.5
2006-01-17,39.5
2006-01-18,53.2
2006-01-19,47.5
2006-01-20,48.7
2006-01-21,37.6
2006-01-22,
2006-01-23,
2006-01-24,
2006-01-25,38.6
2006-01-26,
2006-01-27,40.7
2006-01-28,
2006-01-29,
2006-01-30,54.5
2006-01-31,54.0
2006-02-01,27.3
2006-02-02,
2006-02-03,42.5
2006-02-04,
2006-02-05,
2006-02-06,
2006-02-07,
2006-02-08,13.6
2006-02-09,12.0
2006-02-10,31.5
2006-02-11,51.5
2006-02-12,
2006-02-13,43.0
2006-02-14,36.0
2006-02-15,35.5
2006-02-16,9.2
2006-02-17,25.0
2006-02-18,
2006-02-19,
2006-02-20,20.8
2006-02-21,25.0
2006-02-22,15.0
2006-02-23,11.0
2006-02-24,9.0
2006-02-25,23.0
2006-02-26,
2006-02-27,10.5
2006-02-28,18.0
2006-03-01,15.8
2006-03-02,
2006-03-03,13.0
2006-03-04,12.0
2006-03-05,
2006-03-06,9.5
2006-03-07,7.5
2006-03-08,8.2
2006-03-09,7.4
2006-03-10,7.3
2006-03-11,9.0
2006-03-12,
2006-03-13,8.2
2006-03-14,
2006-03-15,
2006-03-16,2.2
2006-03-17,
2006-03-18,
2006-03-19,
2006-03-20,2.0
2006-03-21,3.5
2006-03-22,7.5
2006-03-23,10.2
2006-03-24,10.6
2006-03-25,
2006-03-26,
2006-03-27,12.0
2006-03-28,4.0
2006-03-29,
2006-03-30,
2006-03-31,
2006-04-01,
2006-04-02,
2006-04-03,
2006-04-04,2.5
2006-04-05,
2006-04-06,
2006-04-07,
2006-04-08,
2006-04-09,
2006-04-10,
2006-04-11,
2006-04-12,
2006-04-13,
2006-04-14,
2006-04-15,
2006-04-16,
2006-04-17,
2006-04-18,
2006-04-19,
2006-04-20,
2006-04-21,
2006-04-22,
2006-04-23,
2006-04-24,
2006-04-25,12.1
2006-04-26,
2006-04-27,
2006-04-28,
2006-04-29,
2006-04-30,
2006-05-01,7.4
2006-05-02,9.4
2006-05-03,20.5
2006-05-04,1.6
2006-05-05,5.0
2006-05-06,
2006-05-07,
2006-05-08,4.0
2006-05-09,4.2
2006-05-10,7.8
2006-05-11,2.0
2006-05-12,6.7
2006-05-13,2.5
2006-05-14,
2006-05-15,
2006-05-16,14.4
2006-05-17,9.2
2006-05-18,
2006-05-19,3.0
2006-05-20,10.6
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,3.4
2006-05-25,
2006-05-26,8.0
2006-05-27,5.9
2006-05-28,
2006-05-29,19.9
2006-05-30,11.6
2006-05-31,15.0
2006-06-01,5.4
2006-06-02,
2006-06-03,5.6
2006-06-04,
2006-06-05,38.2
