DATE,PRICE
2006-01-02,1116.0
2006-01-03,1132.0
2006-01-04,1136.0
2006-01-05,1135.0
2006-01-06,1142.0
2006-01-07,1150.0
2006-01-08,
2006-01-09,1165.0
2006-01-10,1156.0
2006-01-11,
2006-01-12,1156.0
2006-01-13,1145.0
2006-01-14,
2006-01-15,
2006-01-16,1148.0
2006-01-17,1144.0
2006-01-18,1135.0
2006-01-19,1132.0
2006-01-20,1122.0
2006-01-21,1133.0
2006-01-22,
2006-01-23,1140.0
2006-01-24,1138.0
2006-01-25,1142.0
2006-01-26,
2006-01-27,1135.0
2006-01-28,1141.0
2006-01-29,
2006-01-30,1158.0
2006-01-31,1150.0
2006-02-01,1148.0
2006-02-02,1142.0
2006-02-03,1130.0
2006-02-04,1156.0
2006-02-05,
2006-02-06,1156.0
2006-02-07,1145.0
2006-02-08,1138.0
2006-02-09,
2006-02-10,
2006-02-11,1148.0
2006-02-12,
2006-02-13,1130.0
2006-02-14,
2006-02-15,1126.0
2006-02-16,1134.0
2006-02-17,1163.0
2006-02-18,1161.0
2006-02-19,
2006-02-20,1135.0
2006-02-21,1145.0
2006-02-22,1140.0
2006-02-23,1132.0
2006-02-24,1131.0
2006-02-25,1158.0
2006-02-26,
2006-02-27,1148.0
2006-02-28,1165.0
2006-03-01,1159.0
2006-03-02,1150.0
2006-03-03,1145.0
2006-03-04,1138.0
2006-03-05,
2006-03-06,1132.0
2006-03-07,1138.0
2006-03-08,1120.0
2006-03-09,1131.0
2006-03-10,1126.0
2006-03-11,1115.0
2006-03-12,
2006-03-13,1125.0
2006-03-14,1120.0
2006-03-15,
2006-03-16,1111.0
2006-03-17,1112.0
2006-03-18,1090.0
2006-03-19,
2006-03-20,
2006-03-21,1110.0
2006-03-22,1110.0
2006-03-23,
2006-03-24,1130.0
2006-03-25,1114.0
2006-03-26,
2006-03-27,
2006-03-28,1075.0
2006-05-01,1225.0
2006-05-02,1248.0
2006-05-03,1243.0
2006-05-04,1281.0
2006-05-05,1292.0
2006-05-06,1250.0
2006-05-07,
2006-05-08,1255.0
2006-05-09,1265.0
2006-05-10,1250.0
2006-05-11,1277.0
2006-05-12,1289.0
2006-05-13,
2006-05-14,
2006-05-15,1293.0
2006-05-16,1258.0
2006-05-17,1270.0
2006-05-18,1288.0
2006-05-19,1271.0
2006-05-20,1282.0
2006-05-21,
2006-05-22,1255.0
2006-05-23,1242.0
2006-05-24,1251.0
2006-05-25,1253.0
2006-05-26,1260.0
2006-05-27,1240.0
2006-05-28,
2006-05-29,1235.0
2006-05-30,1221.0
2006-05-31,1223.0
