DATE,PRICE
2006-01-02,1120.0
2006-01-03,1125.0
2006-01-04,1140.0
2006-01-05,1150.0
2006-01-06,1140.0
2006-01-07,1160.0
2006-01-08,
2006-01-09,1170.0
2006-01-10,1150.0
2006-01-11,
2006-01-12,1155.0
2006-01-13,1150.0
2006-01-14,
2006-01-15,
2006-01-16,1130.0
2006-01-17,1140.0
2006-01-18,1140.0
2006-01-19,1125.0
2006-01-20,1120.0
2006-01-21,1120.0
2006-01-22,
2006-01-23,1140.0
2006-01-24,1140.0
2006-01-25,1145.0
2006-01-26,
2006-01-27,1125.0
2006-01-28,1125.0
2006-01-29,
2006-01-30,1140.0
2006-02-01,1130.0
2006-02-02,1100.0
2006-02-03,1140.0
2006-03-01,1130.0
2006-03-02,1135.0
2006-03-03,1130.0
2006-03-04,1125.0
2006-03-05,
2006-03-06,1130.0
2006-03-07,1125.0
2006-03-08,1125.0
2006-05-01,1240.0
2006-05-02,1240.0
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,
2006-05-31,
