DATE,PRICE
2006-01-02,1094.0
2006-01-03,1095.0
2006-01-04,1115.0
2006-01-05,1112.0
2006-01-06,1115.0
2006-01-07,1122.0
2006-01-08,
2006-01-09,1130.0
2006-01-10,1128.0
2006-01-11,
2006-01-12,1128.0
2006-01-13,1125.0
2006-01-14,
2006-01-15,
2006-01-16,1125.0
2006-01-17,1124.0
2006-01-18,1112.0
2006-01-19,1107.0
2006-01-20,1106.0
2006-01-21,1110.0
2006-01-22,
2006-01-23,1115.0
2006-01-24,1118.0
2006-01-25,1115.0
2006-01-26,
2006-01-27,1118.0
2006-01-28,1120.0
2006-01-29,
2006-01-30,1125.0
2006-01-31,1128.0
2006-02-01,1565.0
2006-02-02,1115.0
2006-02-03,
2006-02-04,1115.0
2006-02-05,
2006-02-06,1125.0
2006-02-07,1120.0
2006-02-08,1120.0
2006-02-09,
2006-02-10,1132.0
2006-02-11,1122.0
2006-02-12,
2006-02-13,1115.0
2006-02-14,1115.0
2006-02-15,1110.0
2006-02-16,
2006-02-17,1115.0
2006-02-18,1130.0
2006-02-19,
2006-02-20,1115.0
2006-02-21,1114.0
2006-02-22,1112.0
2006-02-23,1110.0
2006-02-24,1110.0
2006-02-25,1110.0
2006-02-26,
2006-02-27,1118.0
2006-02-28,1117.0
2006-03-01,1118.0
2006-03-02,1120.0
2006-03-03,1128.0
2006-03-04,1120.0
2006-03-05,
2006-03-06,1124.0
2006-03-07,1115.0
2006-03-08,1100.0
2006-03-09,1100.0
2006-03-10,1105.0
2006-03-11,1100.0
2006-03-12,
2006-03-13,1085.0
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,1090.0
2006-03-18,1100.0
2006-03-19,
2006-03-20,
2006-03-21,1100.0
2006-03-22,1110.0
2006-03-23,1105.0
2006-03-24,1108.0
2006-03-25,1100.0
2006-03-26,
2006-03-27,
2006-03-28,1094.0
2006-03-29,1080.0
2006-05-01,1228.0
2006-05-02,1240.0
2006-05-03,1245.0
2006-05-04,1263.0
2006-05-05,1254.0
2006-05-06,1251.0
2006-05-07,
2006-05-08,1260.0
2006-05-09,1249.0
2006-05-10,1249.0
2006-05-11,1257.0
2006-05-12,1263.0
2006-05-13,
2006-05-14,
2006-05-15,1625.0
2006-05-16,1277.0
2006-05-17,1278.0
2006-05-18,1300.0
2006-05-19,1285.0
2006-05-20,1273.0
2006-05-21,
2006-05-22,1270.0
2006-05-23,1240.0
2006-05-24,1223.0
2006-05-25,1245.0
2006-05-26,1235.0
2006-05-27,1257.0
2006-05-28,
2006-05-29,1170.0
2006-05-30,1197.0
2006-05-31,1175.0
