DATE,PRICE
2006-01-07,1145.0
2006-01-08,
2006-01-09,1150.0
2006-01-10,1135.0
2006-01-11,
2006-01-12,1140.0
2006-01-13,
2006-01-14,
2006-01-15,
2006-01-16,1142.0
2006-01-17,
2006-01-18,1130.0
2006-01-19,1125.0
2006-01-20,
2006-01-21,1125.0
2006-01-22,
2006-01-23,1130.0
2006-03-11,1151.0
2006-03-12,
2006-03-13,1141.0
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,1274.0
2006-05-11,1289.0
2006-05-12,1310.0
2006-05-13,
2006-05-14,
2006-05-15,1300.0
2006-05-16,1230.0
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,1225.0
2006-05-24,1253.0
2006-05-25,
2006-05-26,1247.0
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,
2006-05-31,1220.0
