DATE,PRICE
2006-01-01,1124.0
2006-01-02,
2006-01-03,1120.0
2006-01-04,
2006-01-05,1135.0
2006-01-06,1135.0
2006-01-07,1145.0
2006-01-08,1165.0
2006-01-09,
2006-01-10,1145.0
2006-01-11,1157.0
2006-01-12,1155.0
2006-01-13,1140.0
2006-01-14,
2006-01-15,1145.0
2006-01-16,
2006-01-17,1135.0
2006-01-18,1130.0
2006-01-19,1130.0
2006-01-20,1130.0
2006-01-21,1130.0
2006-01-22,1130.0
2006-01-23,
2006-01-24,1140.0
2006-01-25,1140.0
2006-01-26,
2006-01-27,1140.0
2006-01-28,1150.0
2006-01-29,
2006-01-30,
2006-01-31,1140.0
2006-02-01,1135.0
2006-02-02,
2006-02-03,1140.0
2006-02-04,1145.0
2006-02-05,1140.0
2006-02-06,
2006-02-07,1145.0
2006-02-08,1140.0
2006-02-09,1140.0
2006-02-10,
2006-02-11,1130.0
2006-02-12,1147.0
2006-02-13,
2006-02-14,1130.0
2006-02-15,1130.0
2006-02-16,1150.0
2006-02-17,1155.0
2006-02-18,1166.0
2006-02-19,1160.0
2006-02-20,
2006-02-21,1150.0
2006-02-22,1140.0
2006-02-23,1145.0
2006-02-24,1150.0
2006-03-01,1150.0
2006-03-02,1155.0
2006-03-03,
2006-03-04,1150.0
2006-03-05,1150.0
2006-03-06,
2006-03-07,1154.0
2006-03-08,1155.0
2006-03-09,
2006-03-10,1120.0
2006-03-11,1140.0
2006-03-12,1130.0
2006-03-13,
2006-03-14,1125.0
2006-03-15,
2006-03-16,1125.0
2006-03-17,1110.0
2006-03-18,1118.0
2006-03-19,1120.0
2006-03-20,
2006-03-21,1120.0
2006-03-22,1130.0
2006-03-23,1125.0
2006-03-24,1125.0
2006-03-25,1130.0
2006-03-26,1125.0
2006-03-27,
2006-03-28,1116.0
2006-05-01,
2006-05-02,1255.0
2006-05-03,1240.0
2006-05-04,1274.0
2006-05-05,
2006-05-06,1255.0
2006-05-07,1300.0
2006-05-08,
2006-05-09,1266.0
2006-05-10,1291.0
2006-05-11,1240.0
2006-05-12,1281.0
2006-05-13,1287.0
2006-05-14,1310.0
2006-05-15,
2006-05-16,1290.0
2006-05-17,1235.0
2006-05-18,1305.0
2006-05-19,1300.0
2006-05-20,1294.0
2006-05-21,1290.0
2006-05-22,
2006-05-23,1240.0
2006-05-24,1302.0
2006-05-25,1151.0
2006-05-26,1265.0
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,1225.0
2006-05-31,1175.0
