DATE,PRICE
2006-01-02,1076.0
2006-01-03,1084.0
2006-01-04,1120.0
2006-01-05,1110.0
2006-01-06,1095.0
2006-01-07,
2006-01-08,
2006-01-09,1134.0
2006-01-10,
2006-01-11,
2006-01-12,1123.0
2006-01-13,1120.0
2006-01-14,
2006-01-15,
2006-01-16,1147.0
2006-01-17,1140.0
2006-01-18,1112.0
2006-01-19,1114.0
2006-01-20,
2006-01-21,
2006-01-22,
2006-01-23,1125.0
2006-01-24,1128.0
2006-01-25,1134.0
2006-01-26,
2006-01-27,1120.0
2006-01-28,
2006-01-29,
2006-01-30,1129.0
2006-01-31,1130.0
2006-02-01,1110.0
2006-02-02,1110.0
2006-02-03,1125.0
2006-02-04,
2006-02-05,
2006-02-06,1139.0
2006-02-07,1130.0
2006-02-08,1132.0
2006-02-09,
2006-02-10,1125.0
2006-02-11,
2006-02-12,
2006-02-13,
2006-02-14,1124.0
2006-02-15,1125.0
2006-02-16,1128.0
2006-02-17,
2006-02-18,
2006-02-19,
2006-02-20,
2006-02-21,1132.0
2006-02-22,1115.0
2006-02-23,1110.0
2006-02-24,1105.0
2006-02-25,
2006-02-26,
2006-02-27,1115.0
2006-02-28,1107.0
2006-03-01,1139.0
2006-03-02,1112.0
2006-03-03,
2006-03-04,
2006-03-05,
2006-03-06,
2006-03-07,
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-18,
2006-03-19,
2006-03-20,1090.0
2006-03-21,1095.0
2006-03-22,1085.0
2006-03-23,1101.0
2006-03-24,1086.0
2006-03-25,
2006-03-26,
2006-03-27,1081.0
2006-03-28,1085.0
2006-03-29,1100.0
2006-03-30,
2006-03-31,1100.0
2006-05-01,1241.0
2006-05-02,1250.0
2006-05-03,1255.0
2006-05-04,1260.0
2006-05-05,1241.0
2006-05-06,
2006-05-07,
2006-05-08,1301.0
2006-05-09,1240.0
2006-05-10,1274.0
2006-05-11,
2006-05-12,1310.0
2006-05-13,
2006-05-14,
2006-05-15,1300.0
2006-05-16,1230.0
2006-05-17,1277.0
2006-05-18,
2006-05-19,1286.0
2006-05-20,
2006-05-21,
2006-05-22,1230.0
2006-05-23,1225.0
2006-05-24,1253.0
2006-05-25,1259.0
2006-05-26,1247.0
2006-05-27,
2006-05-28,
2006-05-29,1224.0
2006-05-30,1215.0
2006-05-31,1220.0
