DATE,PRICE
2006-01-20,1100.0
2006-01-21,
2006-01-22,
2006-01-23,
2006-01-24,1095.0
2006-01-25,1080.0
2006-01-26,
2006-01-27,1092.0
2006-01-28,
2006-01-29,1075.0
2006-01-30,
2006-01-31,1075.0
2006-02-01,1075.0
2006-02-02,1064.0
2006-02-03,1071.0
2006-02-04,
2006-02-05,1080.0
2006-02-06,1080.0
2006-02-07,
2006-02-08,1077.0
2006-02-09,
2006-02-10,1079.0
2006-02-11,
2006-02-12,1070.0
2006-02-13,
2006-02-14,1093.0
2006-02-15,1089.0
2006-02-16,1098.0
2006-02-17,1085.0
2006-02-18,
2006-02-19,1070.0
2006-02-20,
2006-02-21,1091.0
2006-02-22,1100.0
2006-02-23,
2006-02-24,1070.0
2006-02-25,
2006-02-26,
2006-02-27,1050.0
2006-02-28,1055.0
2006-03-01,1062.0
2006-03-02,1050.0
2006-03-03,1075.0
2006-03-04,
2006-03-05,1085.0
2006-03-06,1050.0
2006-05-01,
2006-05-02,1219.0
2006-05-03,1150.0
2006-05-04,1209.0
2006-05-05,1238.0
2006-05-06,
2006-05-07,1190.0
2006-05-08,1231.0
2006-05-09,
2006-05-10,1211.0
2006-05-11,
2006-05-12,1180.0
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,1271.0
2006-05-18,1228.0
2006-05-19,1187.0
2006-05-20,
2006-05-21,1236.0
2006-05-22,
2006-05-23,1172.0
2006-05-24,1235.0
2006-05-25,1223.0
2006-05-26,1200.0
2006-05-27,
2006-05-28,1170.0
2006-05-29,
2006-05-30,
2006-05-31,1180.0
