DATE,PRICE
2006-01-02,1057.0
2006-01-03,1045.0
2006-01-04,1088.0
2006-01-05,1076.0
2006-01-06,
2006-01-07,1083.0
2006-01-08,
2006-01-09,1090.0
2006-01-10,1086.0
2006-01-11,1035.0
2006-01-12,1090.0
2006-01-13,1075.0
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,1084.0
2006-01-18,1090.0
2006-01-19,1066.0
2006-01-20,1077.0
2006-01-21,1082.0
2006-01-22,
2006-01-23,1088.0
2006-01-24,1075.0
2006-01-25,1066.0
2006-01-26,
2006-01-27,1075.0
2006-01-28,1088.0
2006-01-29,
2006-01-30,1135.0
2006-01-31,1077.0
2006-02-01,1065.0
2006-02-02,1070.0
2006-02-03,1069.0
2006-05-01,
2006-05-02,1211.0
2006-05-03,1252.0
2006-05-04,1221.0
2006-05-05,
2006-05-06,1245.0
2006-05-07,
2006-05-08,1201.0
2006-05-09,1270.0
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,1241.0
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,1220.0
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,
2006-05-31,
