DATE,PRICE
2006-01-02,1120.0
2006-01-03,1120.0
2006-01-04,1150.0
2006-01-05,1150.0
2006-01-06,
2006-01-07,1150.0
2006-01-08,
2006-01-09,1160.0
2006-01-10,1150.0
2006-01-11,
2006-01-12,1160.0
2006-01-13,1150.0
2006-01-14,
2006-01-15,
2006-01-16,1150.0
2006-01-17,1140.0
2006-01-18,1130.0
2006-01-19,1130.0
2006-01-20,1130.0
2006-01-21,1130.0
2006-01-22,
2006-01-23,1150.0
2006-01-24,1150.0
2006-01-25,1140.0
2006-01-26,
2006-01-27,1140.0
2006-01-28,1150.0
2006-01-29,
2006-01-30,
2006-01-31,1160.0
2006-02-01,1150.0
2006-02-02,1140.0
2006-02-03,
2006-02-04,
2006-02-05,
2006-02-06,1160.0
2006-02-07,1150.0
2006-02-08,1150.0
2006-02-09,
2006-02-10,1150.0
2006-02-11,1150.0
2006-02-12,
2006-02-13,
2006-02-14,1140.0
2006-02-15,1140.0
2006-02-16,1150.0
2006-02-17,1170.0
2006-02-18,1180.0
2006-02-19,
2006-02-20,1140.0
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,1260.0
2006-05-05,1241.0
2006-05-06,1251.0
2006-05-07,
2006-05-08,1301.0
2006-05-09,1240.0
2006-05-10,1274.0
2006-05-11,1289.0
2006-05-12,1310.0
2006-05-13,
2006-05-14,
2006-05-15,1300.0
2006-05-16,1230.0
2006-05-17,1277.0
2006-05-18,1290.0
2006-05-19,1250.0
2006-05-20,1269.0
2006-05-21,
2006-05-22,1250.0
2006-05-23,1225.0
2006-05-24,1253.0
2006-05-25,1259.0
2006-05-26,1247.0
2006-05-27,1242.0
2006-05-28,
2006-05-29,
2006-05-30,1215.0
2006-05-31,1220.0
