DATE,PRICE
2006-03-28,1071.0
2006-03-29,
2006-03-30,1000.0
2006-03-31,1038.0
2006-05-01,1205.0
2006-05-02,1190.0
2006-05-03,
2006-05-04,1209.0
2006-05-05,1238.0
2006-05-06,1204.0
2006-05-07,
2006-05-08,1231.0
2006-05-09,1235.0
2006-05-10,1211.0
2006-05-11,1238.0
2006-05-12,1180.0
2006-05-13,
2006-05-14,
2006-05-15,1282.0
2006-05-16,1237.0
2006-05-17,1271.0
2006-05-18,
2006-05-19,1241.0
2006-05-20,1246.0
2006-05-21,
2006-05-22,1263.0
2006-05-23,1250.0
2006-05-24,1235.0
2006-05-25,1223.0
2006-05-26,1200.0
2006-05-27,
2006-05-28,
2006-05-29,1257.0
2006-05-30,1200.0
2006-05-31,1154.0
