DATE,PRICE
2006-01-05,1108.0
2006-01-06,1100.0
2006-01-07,1125.0
2006-01-08,
2006-01-09,1125.0
2006-01-10,1110.0
2006-01-11,
2006-01-12,1115.0
2006-01-13,
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,
2006-01-18,
2006-01-19,
2006-01-20,
2006-01-21,1105.0
2006-01-22,
2006-01-23,1106.0
2006-01-24,1104.0
2006-01-25,1106.0
2006-01-26,
2006-01-27,1097.0
2006-02-06,1101.0
2006-02-07,
2006-02-08,1100.0
2006-02-09,
2006-02-10,1105.0
2006-02-11,1090.0
2006-02-12,
2006-02-13,
2006-02-14,1090.0
2006-02-15,1090.0
2006-02-16,1110.0
2006-02-17,1119.0
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,1290.0
2006-05-17,1235.0
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,
2006-05-31,1175.0
