DATE,PRICE
2006-01-02,1055.0
2006-01-03,1060.0
2006-01-04,
2006-01-05,1050.0
2006-01-06,1075.0
2006-01-07,
2006-01-08,
2006-01-09,1080.0
2006-01-10,1080.0
2006-01-11,
2006-01-12,1085.0
2006-01-13,1080.0
2006-01-14,
2006-01-15,
2006-01-16,1094.0
2006-01-17,1080.0
2006-01-18,1100.0
2006-01-19,
2006-01-20,1075.0
2006-01-21,
2006-01-22,
2006-01-23,1080.0
2006-01-24,
2006-01-25,1085.0
2006-01-26,
2006-01-27,1090.0
2006-01-28,
2006-01-29,
2006-01-30,1090.0
2006-01-31,1090.0
2006-02-01,1070.0
2006-02-02,1035.0
2006-02-03,1075.0
2006-02-04,
2006-02-05,
2006-02-06,1080.0
2006-02-07,1075.0
2006-02-08,1075.0
2006-02-09,1085.0
2006-02-10,1095.0
2006-02-11,1095.0
2006-02-12,
2006-02-13,
2006-02-14,1080.0
2006-02-15,1080.0
2006-02-16,1090.0
2006-02-17,1080.0
2006-02-18,
2006-02-19,
2006-02-20,1100.0
2006-02-21,1085.0
2006-02-22,1075.0
2006-02-23,1085.0
2006-02-24,
2006-02-25,
2006-02-26,
2006-02-27,1080.0
2006-02-28,1080.0
2006-03-01,1090.0
2006-03-02,1085.0
2006-03-03,
2006-03-04,
2006-03-05,
2006-03-06,1125.0
2006-03-07,1080.0
2006-03-08,1075.0
2006-03-09,1072.0
2006-03-10,1080.0
2006-03-11,1080.0
2006-03-12,
2006-03-13,1075.0
2006-03-14,1100.0
2006-03-15,
2006-03-16,
2006-03-17,1085.0
2006-03-18,1070.0
2006-03-19,
2006-03-20,
2006-03-21,
2006-03-22,1080.0
2006-03-23,1070.0
2006-03-24,1075.0
2006-03-25,
2006-03-26,
2006-03-27,1080.0
2006-03-28,1121.0
2006-03-29,1060.0
2006-03-30,1080.0
2006-05-01,
2006-05-02,1175.0
2006-05-03,1150.0
2006-05-04,1209.0
2006-05-05,1238.0
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,1235.0
2006-05-10,
2006-05-11,1238.0
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,1225.0
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,1221.0
2006-05-24,1235.0
2006-05-25,1223.0
2006-05-26,1200.0
2006-05-27,
2006-05-28,
2006-05-29,1257.0
2006-05-30,1200.0
2006-05-31,1180.0
