DATE,PRICE
2006-03-28,1099.0
2006-05-01,1249.0
2006-05-02,1271.0
2006-05-03,
2006-05-04,1263.0
2006-05-05,1254.0
2006-05-06,1251.0
2006-05-07,
2006-05-08,1260.0
2006-05-09,1249.0
2006-05-10,1249.0
2006-05-11,1257.0
2006-05-12,1263.0
2006-05-13,1277.0
2006-05-14,
2006-05-15,1625.0
2006-05-16,1277.0
2006-05-17,1278.0
2006-05-18,1300.0
2006-05-19,1281.0
2006-05-20,1273.0
2006-05-21,
2006-05-22,1270.0
2006-05-23,1240.0
2006-05-24,1223.0
2006-05-25,1220.0
2006-05-26,1235.0
2006-05-27,1257.0
2006-05-28,
2006-05-29,1170.0
2006-05-30,1197.0
2006-05-31,1190.0
