DATE,PRICE
2006-01-02,1140.0
2006-01-03,1140.0
2006-01-04,1165.0
2006-01-05,1145.0
2006-01-06,1125.0
2006-01-07,1125.0
2006-01-08,
2006-01-09,1140.0
2006-01-10,1155.0
2006-01-11,1130.0
2006-01-12,
2006-01-13,1150.0
2006-01-14,
2006-01-15,
2006-01-16,1150.0
2006-01-17,1140.0
2006-01-18,1165.0
2006-01-19,1140.0
2006-01-20,1129.0
2006-01-21,1141.0
2006-01-22,
2006-01-23,1150.0
2006-01-24,1147.0
2006-01-25,1145.0
2006-01-26,
2006-01-27,1139.0
2006-01-28,1170.0
2006-01-29,
2006-01-30,1150.0
2006-01-31,1155.0
2006-02-01,1150.0
2006-02-02,1140.0
2006-02-03,1145.0
2006-02-04,1160.0
2006-02-05,
2006-02-06,1158.0
2006-02-07,1155.0
2006-02-08,
2006-02-09,1140.0
2006-02-10,
2006-02-11,
2006-02-12,
2006-02-13,1145.0
2006-02-14,1150.0
2006-02-15,1145.0
2006-02-16,1146.0
2006-02-17,
2006-02-18,
2006-02-19,1155.0
2006-02-20,1156.0
2006-02-21,1157.0
2006-02-22,1157.0
2006-02-23,1160.0
2006-02-24,1145.0
2006-02-25,1150.0
2006-02-26,
2006-02-27,
2006-02-28,1152.0
2006-03-01,1152.0
2006-03-02,1150.0
2006-03-03,1154.0
2006-03-04,1153.0
2006-03-05,
2006-03-06,1154.0
2006-03-07,1130.0
2006-03-08,1131.0
2006-03-09,1125.0
2006-03-10,
2006-03-11,1115.0
2006-03-12,
2006-03-13,1118.0
2006-03-14,1110.0
2006-03-15,
2006-03-16,1120.0
2006-03-17,
2006-03-18,1120.0
2006-03-19,
2006-03-20,
2006-03-21,1129.0
2006-03-22,1135.0
2006-03-23,1120.0
2006-03-24,1125.0
2006-03-25,1120.0
2006-03-26,
2006-03-27,1132.0
2006-03-28,1122.0
2006-03-29,
2006-03-30,
2006-03-31,1120.0
2006-05-01,1275.0
2006-05-02,
2006-05-03,1255.0
2006-05-04,1260.0
2006-05-05,1241.0
2006-05-06,1251.0
2006-05-07,
2006-05-08,1301.0
2006-05-09,1240.0
2006-05-10,1274.0
2006-05-11,1289.0
2006-05-12,1310.0
2006-05-13,1314.0
2006-05-14,
2006-05-15,1300.0
2006-05-16,1230.0
2006-05-17,1277.0
2006-05-18,
2006-05-19,1295.0
2006-05-20,1269.0
2006-05-21,
2006-05-22,
2006-05-23,1225.0
2006-05-24,1253.0
2006-05-25,
2006-05-26,1247.0
2006-05-27,
2006-05-28,
2006-05-29,1224.0
2006-05-30,1215.0
2006-05-31,1220.0
