DATE,PRICE
2006-01-02,1085.0
2006-01-03,1123.0
2006-01-04,1130.0
2006-01-05,1130.0
2006-01-06,
2006-01-07,1080.0
2006-01-08,
2006-01-09,1130.0
2006-01-10,1105.0
2006-01-11,
2006-01-12,1091.0
2006-01-13,1132.0
2006-01-14,
2006-01-15,
2006-01-16,1138.0
2006-01-17,1124.0
2006-01-18,1109.0
2006-01-19,1096.0
2006-01-20,1096.0
2006-01-21,1118.0
2006-01-22,
2006-01-23,1131.0
2006-01-24,1116.0
2006-01-25,1098.0
2006-01-26,
2006-01-27,1095.0
2006-01-28,1105.0
2006-01-29,
2006-01-30,1142.0
2006-01-31,1133.0
2006-02-01,1116.0
2006-02-02,1092.0
2006-02-03,1118.0
2006-02-04,1115.0
2006-02-05,
2006-02-06,1147.0
2006-02-07,
2006-02-08,1099.0
2006-02-09,
2006-02-10,
2006-02-11,
2006-02-12,
2006-02-13,
2006-02-14,1114.0
2006-02-15,1076.0
2006-02-16,1570.0
2006-02-17,
2006-02-18,1148.0
2006-02-19,
2006-02-20,1123.0
2006-02-21,1128.0
2006-02-22,1120.0
2006-02-23,1105.0
2006-02-24,
2006-02-25,
2006-02-26,
2006-02-27,1135.0
2006-02-28,1138.0
2006-03-01,1125.0
2006-03-02,1100.0
2006-03-03,
2006-03-04,1150.0
2006-03-05,
2006-03-06,1125.0
2006-03-07,1130.0
2006-03-08,1100.0
2006-03-09,1094.0
2006-03-10,1100.0
2006-03-11,1134.0
2006-03-12,
2006-03-13,1120.0
2006-03-14,1121.0
2006-03-15,
2006-03-16,
2006-03-17,1084.0
2006-03-18,1103.0
2006-03-19,
2006-03-20,
2006-03-21,
2006-03-22,1117.0
2006-03-23,1128.0
2006-03-24,1119.0
2006-03-25,1110.0
2006-03-26,
2006-03-27,1107.0
2006-03-28,1110.0
2006-05-01,1197.0
2006-05-02,
2006-05-03,1243.0
2006-05-04,1281.0
2006-05-05,1292.0
2006-05-06,1250.0
2006-05-07,
2006-05-08,1255.0
2006-05-09,
2006-05-10,1250.0
2006-05-11,1277.0
2006-05-12,1289.0
2006-05-13,
2006-05-14,
2006-05-15,1293.0
2006-05-16,1260.0
2006-05-17,1270.0
2006-05-18,1290.0
2006-05-19,1290.0
2006-05-20,1282.0
2006-05-21,
2006-05-22,1262.0
2006-05-23,1225.0
2006-05-24,1251.0
2006-05-25,1253.0
2006-05-26,1260.0
2006-05-27,1240.0
2006-05-28,
2006-05-29,1235.0
2006-05-30,1221.0
2006-05-31,1223.0
