DATE,PRICE
2006-01-10,
2006-01-11,1150.0
2006-01-12,
2006-01-13,1150.0
2006-01-14,1150.0
2006-01-15,
2006-01-16,
2006-01-17,1100.0
2006-01-18,1100.0
2006-01-19,1100.0
2006-01-20,
2006-01-21,1100.0
2006-01-22,1100.0
2006-01-23,1100.0
2006-01-24,1100.0
2006-01-25,1100.0
2006-01-26,
2006-01-27,
2006-01-28,
2006-01-29,
2006-01-30,
2006-01-31,
2006-02-06,1100.0
2006-02-07,1100.0
2006-02-08,1100.0
2006-02-09,
2006-02-10,1100.0
2006-02-11,
2006-02-12,
2006-02-13,1100.0
2006-02-14,
2006-02-15,1175.0
2006-02-16,1175.0
2006-02-17,1125.0
2006-02-18,1175.0
2006-02-19,
2006-02-20,
2006-02-21,
2006-02-22,
2006-02-23,
2006-03-01,
2006-03-02,
2006-03-03,
2006-03-04,
2006-03-05,
2006-03-06,
2006-03-07,
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-11,1150.0
2006-03-12,1150.0
2006-03-13,
2006-03-14,
2006-03-15,1150.0
2006-03-16,
2006-03-17,1150.0
2006-03-18,
2006-03-19,1150.0
2006-03-20,
2006-03-21,1150.0
2006-03-22,
2006-03-23,
2006-03-24,
2006-03-25,1150.0
2006-03-26,
2006-03-27,
2006-03-28,1150.0
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,1290.0
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,1225.0
2006-05-24,
2006-05-25,1259.0
2006-05-26,
2006-05-27,1242.0
2006-05-28,
2006-05-29,1224.0
2006-05-30,
2006-05-31,1220.0
