DATE,PRICE
2006-01-02,1130.0
2006-01-03,1135.0
2006-01-04,
2006-01-05,
2006-01-06,1170.0
2006-01-07,1175.0
2006-01-08,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,
2006-01-13,1160.0
2006-01-14,
2006-01-15,
2006-01-16,1165.0
2006-01-17,1165.0
2006-01-18,1160.0
2006-01-19,1140.0
2006-01-20,
2006-01-21,1145.0
2006-01-22,
2006-01-23,1155.0
2006-01-24,
2006-01-25,1145.0
2006-01-26,
2006-01-27,1150.0
2006-01-28,1140.0
2006-01-29,
2006-01-30,1155.0
2006-02-01,1125.0
2006-02-02,
2006-02-03,
2006-02-04,1140.0
2006-02-05,
2006-02-06,1140.0
2006-02-07,1145.0
2006-02-08,1155.0
2006-02-09,
2006-02-10,1140.0
2006-02-11,1150.0
2006-02-12,
2006-02-13,
2006-02-14,
2006-02-15,
2006-02-16,1150.0
2006-02-17,1145.0
2006-02-18,1165.0
2006-02-19,
2006-02-20,1150.0
2006-02-21,1145.0
2006-02-22,1145.0
2006-02-23,1145.0
2006-02-24,
2006-02-25,1160.0
2006-02-26,
2006-02-27,
2006-02-28,1140.0
2006-03-01,1155.0
2006-03-02,1145.0
2006-03-03,1150.0
2006-03-04,1140.0
2006-03-05,
2006-03-06,1150.0
2006-03-07,1140.0
2006-03-08,1145.0
2006-03-09,1130.0
