DATE,PRICE
2006-01-02,1120.0
2006-01-03,
2006-01-04,
2006-01-05,
2006-01-06,
2006-01-07,
2006-01-08,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,1150.0
2006-01-13,1140.0
2006-02-08,1200.0
2006-02-09,
2006-02-10,
2006-02-11,
2006-02-12,
2006-02-13,
2006-02-14,
2006-02-15,
2006-02-16,
2006-02-17,1140.0
2006-02-18,
2006-02-19,
2006-02-20,
2006-02-21,1130.0
2006-03-04,1140.0
2006-03-05,
2006-03-06,1130.0
2006-03-07,1130.0
2006-03-08,1150.0
2006-03-09,1100.0
2006-05-01,1210.0
2006-05-02,1240.0
2006-05-03,1243.0
2006-05-04,
2006-05-05,
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,
2006-05-31,1223.0
