DATE,PRICE
2006-01-20,1105.0
2006-01-21,1100.0
2006-02-08,1090.0
2006-02-09,
2006-02-10,1090.0
2006-02-11,1090.0
2006-02-12,
2006-02-13,
2006-02-14,1105.0
2006-02-15,1110.0
2006-02-16,1105.0
2006-02-17,1080.0
2006-02-18,1120.0
2006-02-19,
2006-02-20,
2006-02-21,1100.0
2006-02-22,1089.0
2006-02-23,1081.0
2006-02-24,1103.0
2006-02-25,1113.0
2006-03-01,1104.0
2006-03-02,1110.0
2006-03-03,1114.0
2006-03-04,1099.0
2006-03-05,
2006-03-06,
2006-03-07,1105.0
2006-03-08,1098.0
2006-03-09,1083.0
2006-03-10,
2006-03-11,1080.0
2006-03-12,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,1080.0
2006-03-18,1070.0
2006-03-19,
2006-03-20,
2006-03-21,1076.0
2006-03-22,1085.0
2006-03-23,1090.0
2006-03-24,
2006-03-25,1088.0
2006-03-26,
2006-03-27,
2006-03-28,1070.0
2006-05-01,
2006-05-02,1225.0
2006-05-03,1150.0
2006-05-04,1209.0
2006-05-05,
2006-05-06,1204.0
2006-05-07,
2006-05-08,
2006-05-09,1235.0
2006-05-10,1211.0
2006-05-11,1238.0
2006-05-12,1180.0
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,1261.0
2006-05-17,1271.0
2006-05-18,1266.0
2006-05-19,1261.0
2006-05-20,1246.0
2006-05-21,
2006-05-22,
2006-05-23,1238.0
2006-05-24,1235.0
2006-05-25,1223.0
2006-05-26,1200.0
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,1200.0
2006-05-31,1181.0
