DATE,PRICE
2006-01-02,1019.0
2006-01-03,1020.0
2006-01-04,1068.0
2006-01-05,
2006-01-06,1068.0
2006-01-07,1045.0
2006-01-08,
2006-01-09,1050.0
2006-01-10,977.0
2006-01-11,1047.0
2006-01-12,1085.0
2006-01-13,1070.0
2006-01-14,1060.0
2006-01-15,
2006-01-16,1060.0
2006-01-17,937.0
2006-01-18,1042.0
2006-01-19,1050.0
2006-01-20,1060.0
2006-01-21,1067.0
2006-01-22,
2006-01-23,
2006-01-24,1076.0
2006-01-25,1025.0
2006-01-26,
2006-01-27,1071.0
2006-01-28,995.0
2006-02-04,978.0
2006-02-05,
2006-02-06,1001.0
2006-02-07,
2006-02-08,
2006-02-09,1036.0
2006-02-10,1011.0
2006-02-11,1042.0
2006-02-12,
2006-02-13,1040.0
2006-02-14,950.0
2006-02-15,
2006-02-16,
2006-02-17,976.0
2006-02-18,
2006-02-19,
2006-02-20,
2006-02-21,990.0
2006-02-22,1000.0
2006-03-01,1000.0
2006-03-02,
2006-03-03,
2006-03-04,1081.0
2006-03-05,
2006-03-06,1031.0
2006-03-07,
2006-03-08,1040.0
2006-03-09,
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-18,
2006-03-19,
2006-03-20,1031.0
2006-03-21,
2006-03-22,990.0
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,1238.0
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,1200.0
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,
2006-05-31,
