DATE,PRICE
2006-01-03,1121.0
2006-01-04,1135.0
2006-01-05,1115.0
2006-01-06,1100.0
2006-01-07,
2006-01-08,
2006-01-09,1135.0
2006-01-10,1101.0
2006-01-11,
2006-01-12,1115.0
2006-01-13,1135.0
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,
2006-01-18,1125.0
2006-01-19,1121.0
2006-01-20,1125.0
2006-01-21,
2006-01-22,
2006-01-23,
2006-01-24,1110.0
2006-01-25,
2006-01-26,
2006-01-27,1140.0
2006-01-28,
2006-01-29,
2006-01-30,1130.0
2006-01-31,1140.0
2006-02-01,1140.0
2006-02-02,1135.0
2006-02-03,1111.0
2006-02-04,
2006-02-05,
2006-02-06,1140.0
2006-02-07,1130.0
2006-02-08,1120.0
2006-02-09,
2006-02-10,
2006-02-11,
2006-02-12,
2006-02-13,
2006-02-14,
2006-02-15,
2006-02-16,
2006-02-17,1130.0
2006-02-18,
2006-02-19,
2006-02-20,1100.0
2006-02-21,1126.0
2006-02-22,1127.0
2006-03-01,1120.0
2006-03-02,1130.0
2006-03-03,1126.0
2006-03-04,
2006-03-05,
2006-03-06,
2006-03-07,
2006-03-08,1111.0
2006-03-09,1118.0
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,
2006-03-14,1079.0
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-18,
2006-03-19,
2006-03-20,
2006-03-21,
2006-03-22,1100.0
2006-03-23,1095.0
2006-05-01,
2006-05-02,
2006-05-03,1255.0
2006-05-04,
2006-05-05,
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,1240.0
2006-05-10,1274.0
2006-05-11,1289.0
2006-05-12,1310.0
2006-05-13,
2006-05-14,
2006-05-15,1300.0
2006-05-16,1230.0
2006-05-17,1277.0
2006-05-18,1290.0
2006-05-19,1261.0
2006-05-20,
2006-05-21,
2006-05-22,1235.0
2006-05-23,1225.0
2006-05-24,
2006-05-25,1259.0
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,1215.0
2006-05-31,1220.0
