DATE,PRICE
2006-01-02,1115.0
2006-01-03,1125.0
2006-01-04,1140.0
2006-01-05,1133.0
2006-01-06,1135.0
2006-01-07,1140.0
2006-01-08,
2006-01-09,1156.0
2006-01-10,1150.0
2006-01-11,
2006-01-12,1140.0
2006-01-13,1135.0
2006-01-14,
2006-01-15,
2006-01-16,1135.0
2006-01-17,1130.0
2006-01-18,1135.0
2006-01-19,1122.0
2006-01-20,1131.0
2006-01-21,1130.0
2006-01-22,
2006-01-23,1139.0
2006-01-24,1140.0
2006-01-25,1137.0
2006-01-26,
2006-01-27,1140.0
2006-01-28,1150.0
2006-01-29,
2006-01-30,1150.0
2006-01-31,1150.0
2006-02-01,1135.0
2006-02-02,1142.0
2006-02-03,
2006-02-04,
2006-02-05,
2006-02-06,1154.0
2006-02-07,1149.0
2006-02-08,1136.0
2006-02-09,
2006-02-10,1150.0
2006-02-11,1100.0
2006-02-12,
2006-02-13,
2006-02-14,1136.0
2006-02-15,1134.0
2006-02-16,1145.0
2006-02-17,1144.0
2006-02-18,1164.0
2006-02-19,
2006-02-20,1136.0
2006-02-21,1111.0
2006-02-22,1134.0
2006-02-23,1120.0
2006-02-24,1119.0
2006-02-25,1138.0
2006-02-26,
2006-02-27,
2006-02-28,1146.0
2006-03-01,1136.0
2006-03-02,1137.0
2006-03-03,1139.0
2006-03-04,1133.0
2006-03-05,
2006-03-06,1100.0
2006-03-07,1133.0
2006-03-08,1121.0
2006-03-09,1112.0
2006-03-10,1100.0
2006-03-11,1100.0
2006-03-12,
2006-03-13,1090.0
2006-03-14,1088.0
2006-03-15,
2006-03-16,1100.0
2006-03-17,1084.0
2006-03-18,1085.0
2006-03-19,
2006-03-20,
2006-03-21,1091.0
2006-03-22,1105.0
2006-03-23,1108.0
2006-03-24,1100.0
2006-03-25,1075.0
2006-03-26,1071.0
2006-03-27,1080.0
2006-03-28,1100.0
2006-05-01,1243.0
2006-05-02,1249.0
2006-05-03,1243.0
2006-05-04,1281.0
2006-05-05,1292.0
2006-05-06,1250.0
2006-05-07,
2006-05-08,1255.0
2006-05-09,1265.0
2006-05-10,1250.0
2006-05-11,1277.0
2006-05-12,1289.0
2006-05-13,
2006-05-14,
2006-05-15,1293.0
2006-05-16,1278.0
2006-05-17,1270.0
2006-05-18,1285.0
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,1251.0
2006-05-25,
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,1235.0
2006-05-30,1221.0
2006-05-31,1223.0
