DATE,PRICE
2006-01-07,1135.0
2006-01-08,
2006-01-09,1140.0
2006-01-10,1143.0
2006-01-11,
2006-01-12,
2006-01-13,
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,
2006-01-18,
2006-01-19,
2006-01-20,
2006-01-21,
2006-01-22,
2006-01-23,
2006-01-24,
2006-01-25,
2006-01-26,
2006-01-27,
2006-01-28,
2006-01-29,
2006-01-30,1140.0
2006-02-01,1130.0
2006-02-02,1120.0
2006-02-03,1122.0
2006-02-04,1128.0
2006-02-05,
2006-02-06,1146.0
2006-02-07,
2006-02-08,
2006-02-09,
2006-02-10,1140.0
2006-02-11,1123.0
2006-02-12,
2006-02-13,
2006-02-14,1114.0
2006-02-15,1090.0
2006-02-16,1125.0
2006-02-17,1135.0
2006-02-18,1130.0
2006-02-19,
2006-02-20,1100.0
2006-02-21,1125.0
2006-02-22,
2006-02-23,
2006-02-24,1120.0
2006-02-25,1100.0
2006-02-26,
2006-02-27,
2006-02-28,1126.0
2006-03-01,1121.0
2006-03-02,1080.0
2006-03-03,1125.0
2006-03-04,1100.0
2006-03-05,
2006-03-06,1125.0
2006-03-07,1100.0
2006-03-08,1100.0
2006-03-09,1080.0
2006-03-10,
2006-03-11,1103.0
2006-03-12,
2006-03-13,1080.0
2006-03-14,1100.0
2006-03-15,
2006-03-16,1100.0
2006-03-17,1095.0
2006-03-18,1090.0
2006-03-19,
2006-03-20,
2006-03-21,1100.0
2006-03-22,1081.0
2006-03-23,
2006-03-24,1094.0
2006-03-25,1070.0
2006-03-26,
2006-03-27,1070.0
2006-03-28,1050.0
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,1170.0
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,1151.0
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,1225.0
2006-05-31,
