DATE,PRICE
2006-01-02,1039.0
2006-01-03,
2006-01-04,
2006-01-05,
2006-01-06,1057.0
2006-01-07,1078.0
2006-01-08,
2006-01-09,1102.0
2006-01-10,1081.0
2006-01-11,
2006-01-12,
2006-01-13,1051.0
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,
2006-01-18,
2006-01-19,
2006-01-20,1049.0
2006-01-21,1058.0
2006-01-22,
2006-01-23,1070.0
2006-01-24,1072.0
2006-01-25,1049.0
2006-01-26,
2006-01-27,1105.0
2006-01-28,1115.0
2006-01-29,
2006-01-30,1116.0
2006-01-31,1070.0
2006-02-01,1065.0
2006-02-02,1100.0
2006-02-03,
2006-02-04,1100.0
2006-02-05,
2006-02-06,1052.0
2006-02-07,1049.0
2006-02-08,997.0
2006-02-09,
2006-02-10,1145.0
2006-02-11,1109.0
2006-02-12,
2006-02-13,
2006-02-14,1129.0
2006-02-15,1055.0
2006-02-16,
2006-02-17,1066.0
2006-02-18,1157.0
2006-02-19,
2006-02-20,1075.0
2006-02-21,1053.0
2006-02-22,1064.0
2006-02-23,
2006-02-24,1050.0
2006-02-25,1042.0
2006-02-26,
2006-02-27,1086.0
2006-03-01,1050.0
2006-03-02,
2006-03-03,1070.0
2006-03-04,1045.0
2006-03-05,
2006-03-06,1030.0
2006-03-07,
2006-03-08,1051.0
2006-03-09,
2006-03-10,
2006-03-11,1077.0
2006-05-01,1215.0
2006-05-02,
2006-05-03,1252.0
2006-05-04,
2006-05-05,1100.0
2006-05-06,1245.0
2006-05-07,
2006-05-08,1201.0
2006-05-09,
2006-05-10,1245.0
2006-05-11,1242.0
2006-05-12,1160.0
2006-05-13,
2006-05-14,
2006-05-15,1241.0
2006-05-16,
2006-05-17,1281.0
2006-05-18,
2006-05-19,1198.0
2006-05-20,1270.0
2006-05-21,
2006-05-22,1220.0
2006-05-23,1250.0
2006-05-24,1233.0
2006-05-25,
2006-05-26,1189.0
2006-05-27,
2006-05-28,
2006-05-29,1180.0
2006-05-30,1221.0
2006-05-31,
