DATE,PRICE
2006-01-16,1093.0
2006-01-17,1092.0
2006-01-18,
2006-01-19,1087.0
2006-01-20,1084.0
2006-01-21,
2006-01-22,
2006-01-23,1113.0
2006-01-24,1100.0
2006-01-25,1116.0
2006-01-26,
2006-01-27,1118.0
2006-01-28,1144.0
2006-01-29,
2006-01-30,1145.0
2006-01-31,1125.0
2006-02-01,1140.0
2006-02-02,1130.0
2006-02-03,1038.0
2006-02-04,1140.0
2006-02-05,
2006-02-06,1087.0
2006-02-07,1131.0
2006-02-08,1137.0
2006-02-09,
2006-02-10,
2006-02-11,1134.0
2006-02-12,
2006-02-13,
2006-02-14,1129.0
2006-02-15,1138.0
2006-02-16,1138.0
2006-02-17,1154.0
2006-02-18,1169.0
2006-02-19,
2006-02-20,1137.0
2006-02-21,1140.0
2006-02-22,1138.0
2006-02-23,
2006-02-24,
2006-02-25,
2006-02-26,
2006-02-27,
2006-02-28,
2006-03-01,
2006-03-02,
2006-03-03,
2006-03-04,1140.0
2006-03-05,
2006-03-06,1144.0
2006-03-07,
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,1124.0
2006-03-18,1120.0
2006-03-19,
2006-03-20,
2006-03-21,1118.0
2006-03-22,
2006-03-23,
2006-03-24,1137.0
2006-03-25,
2006-03-26,
2006-03-27,1136.0
2006-03-28,1130.0
2006-03-29,1135.0
2006-05-01,1240.0
2006-05-02,1250.0
2006-05-03,1243.0
2006-05-04,1281.0
2006-05-05,1292.0
2006-05-06,1250.0
2006-05-07,
2006-05-08,1255.0
2006-05-09,1265.0
2006-05-10,1250.0
2006-05-11,1277.0
2006-05-12,1289.0
2006-05-13,
2006-05-14,
2006-05-15,1293.0
2006-05-16,1280.0
2006-05-17,1270.0
2006-05-18,1290.0
2006-05-19,1310.0
2006-05-20,1282.0
2006-05-21,
2006-05-22,1262.0
2006-05-23,1210.0
2006-05-24,1251.0
2006-05-25,1253.0
2006-05-26,1260.0
2006-05-27,1240.0
2006-05-28,
2006-05-29,1235.0
2006-05-30,1221.0
2006-05-31,1223.0
