DATE,PRICE
2006-01-05,1125.0
2006-01-06,1065.0
2006-01-07,1065.0
2006-01-08,
2006-01-09,1065.0
2006-01-10,
2006-01-11,
2006-01-12,1120.0
2006-01-13,1110.0
2006-01-14,
2006-01-15,
2006-01-16,1075.0
2006-01-17,1070.0
2006-01-18,1070.0
2006-01-19,1075.0
2006-01-20,1070.0
2006-01-21,1100.0
2006-01-22,
2006-01-23,1115.0
2006-01-24,1115.0
2006-01-25,1105.0
2006-01-26,
2006-01-27,1075.0
2006-01-28,1105.0
2006-01-29,
2006-01-30,1120.0
2006-01-31,1125.0
2006-02-01,1100.0
2006-02-02,1120.0
2006-02-03,1105.0
2006-02-04,1115.0
2006-02-05,
2006-02-06,1125.0
2006-02-07,1132.0
2006-02-08,
2006-02-09,
2006-02-10,
2006-02-11,1110.0
2006-02-12,
2006-02-13,
2006-02-14,1110.0
2006-02-15,1105.0
2006-02-16,1105.0
2006-02-17,1120.0
2006-02-18,1130.0
2006-02-19,
2006-02-20,1120.0
2006-02-21,1100.0
2006-02-22,1105.0
2006-02-23,1100.0
2006-02-24,1115.0
2006-02-25,1100.0
2006-03-01,1105.0
2006-03-02,1105.0
2006-03-03,1105.0
2006-03-04,1095.0
2006-03-05,
2006-03-06,1105.0
2006-03-07,1105.0
2006-03-08,1095.0
2006-03-09,1105.0
2006-03-10,
2006-03-11,1105.0
2006-03-12,
2006-03-13,1026.0
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,1107.0
2006-03-18,1060.0
2006-03-19,
2006-03-20,
2006-03-21,1060.0
2006-03-22,1080.0
2006-03-23,
2006-03-24,1065.0
2006-03-25,1045.0
2006-03-26,
2006-03-27,1040.0
2006-03-28,1050.0
2006-03-29,
2006-03-30,
2006-03-31,1061.0
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,1170.0
2006-05-06,1255.0
2006-05-07,
2006-05-08,1250.0
2006-05-09,1266.0
2006-05-10,1291.0
2006-05-11,1240.0
2006-05-12,1281.0
2006-05-13,
2006-05-14,
2006-05-15,1280.0
2006-05-16,1290.0
2006-05-17,1235.0
2006-05-18,
2006-05-19,1250.0
2006-05-20,1294.0
2006-05-21,
2006-05-22,1270.0
2006-05-23,1240.0
2006-05-24,1302.0
2006-05-25,1151.0
2006-05-26,1265.0
2006-05-27,
2006-05-28,
2006-05-29,1235.0
2006-05-30,1225.0
2006-05-31,1175.0
