DATE,PRICE
2006-01-04,1125.0
2006-01-05,1111.0
2006-01-06,
2006-01-07,1118.0
2006-01-08,
2006-01-09,1161.0
2006-01-10,1156.0
2006-01-11,1119.0
2006-01-12,1126.0
2006-01-13,1125.0
2006-01-14,1130.0
2006-01-15,
2006-01-16,1123.0
2006-01-17,1134.0
2006-01-18,1137.0
2006-01-19,1120.0
2006-01-20,1123.0
2006-01-21,1112.0
2006-01-22,
2006-01-23,1128.0
2006-01-24,1139.0
2006-01-25,1130.0
2006-01-26,
2006-01-27,1140.0
2006-01-28,
2006-01-29,
2006-01-30,1142.0
2006-01-31,1143.0
2006-02-01,1140.0
2006-02-02,1134.0
2006-02-03,1120.0
2006-02-04,1137.0
2006-02-05,
2006-02-06,1141.0
2006-02-07,1158.0
2006-02-08,1065.0
2006-02-09,1133.0
2006-02-10,1142.0
2006-02-11,1140.0
2006-02-12,
2006-02-13,
2006-02-14,1142.0
2006-02-15,1125.0
2006-02-16,1121.0
2006-02-17,
2006-02-18,
2006-02-19,
2006-02-20,1121.0
2006-02-21,1114.0
2006-02-22,1111.0
2006-02-23,1114.0
2006-02-24,
2006-02-25,1112.0
2006-02-26,
2006-02-27,1115.0
2006-02-28,1085.0
2006-03-01,1120.0
2006-03-02,1118.0
2006-03-03,1134.0
2006-03-04,1119.0
2006-03-05,
2006-03-06,1127.0
2006-03-07,1129.0
2006-03-08,1111.0
2006-03-09,1113.0
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,
2006-03-14,1143.0
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-18,
2006-03-19,
2006-03-20,1010.0
2006-03-21,1090.0
2006-03-22,
2006-03-23,
2006-03-24,
2006-03-25,
2006-03-26,
2006-03-27,1100.0
2006-03-28,
2006-03-29,
2006-03-30,
2006-03-31,1050.0
