DATE,PRICE
2006-01-04,1000.0
2006-01-05,1000.0
2006-01-06,
2006-01-07,1100.0
2006-01-08,
2006-01-09,1100.0
2006-01-10,
2006-01-11,1050.0
2006-01-12,
2006-01-13,
2006-01-14,
2006-01-15,
2006-01-16,1100.0
2006-01-17,1050.0
2006-01-18,1050.0
2006-01-19,1050.0
2006-01-20,
2006-01-21,
2006-01-22,
2006-01-23,
2006-01-24,
2006-01-25,
2006-01-26,
2006-01-27,1150.0
2006-01-28,1025.0
2006-01-29,
2006-01-30,1025.0
2006-01-31,1025.0
2006-02-01,1025.0
2006-02-02,1025.0
2006-02-03,1025.0
2006-02-04,1050.0
2006-02-05,
2006-02-06,1050.0
2006-02-07,1050.0
2006-02-08,
2006-02-09,
2006-02-10,
2006-02-11,
2006-02-12,
2006-02-13,
2006-02-14,
2006-02-15,
2006-02-16,
2006-02-17,
2006-02-18,
2006-02-19,
2006-02-20,
2006-02-21,
2006-02-22,
2006-02-23,
2006-02-24,
2006-02-25,
2006-02-26,
2006-02-27,
