DATE,PRICE
2006-01-23,1100.0
2006-01-24,1100.0
2006-01-25,1090.0
2006-01-26,
2006-01-27,1090.0
2006-01-28,1090.0
2006-01-29,
2006-01-30,1098.0
2006-01-31,1100.0
2006-02-10,1105.0
2006-02-11,
2006-02-12,
2006-02-13,
2006-02-14,1070.0
2006-02-15,1090.0
2006-02-16,
2006-02-17,1099.0
2006-02-18,1071.0
2006-02-19,
2006-02-20,1070.0
2006-02-21,1070.0
2006-02-22,
2006-02-23,
2006-02-24,1097.0
2006-02-25,1112.0
2006-02-26,
2006-02-27,
2006-02-28,1090.0
2006-03-01,1011.0
2006-03-02,1095.0
2006-03-03,1109.0
2006-05-01,
2006-05-02,
2006-05-03,1240.0
2006-05-04,1274.0
2006-05-05,1170.0
2006-05-06,
2006-05-07,
2006-05-08,1250.0
2006-05-09,1266.0
2006-05-10,1291.0
2006-05-11,1240.0
2006-05-12,1281.0
2006-05-13,
2006-05-14,
2006-05-15,1280.0
2006-05-16,1290.0
2006-05-17,1235.0
2006-05-18,1305.0
2006-05-19,
2006-05-20,1294.0
2006-05-21,
2006-05-22,1270.0
2006-05-23,1240.0
2006-05-24,1302.0
2006-05-25,1151.0
2006-05-26,1265.0
2006-05-27,
2006-05-28,
2006-05-29,1235.0
2006-05-30,1225.0
2006-05-31,
