DATE,PRICE
2006-03-02,1150.0
2006-05-01,1252.0
2006-05-02,1243.0
2006-05-03,1255.0
2006-05-04,1260.0
2006-05-05,1241.0
2006-05-06,1251.0
2006-05-07,
2006-05-08,1301.0
2006-05-09,1240.0
2006-05-10,1274.0
2006-05-11,1289.0
2006-05-12,1310.0
2006-05-13,
2006-05-14,
2006-05-15,1300.0
2006-05-16,1230.0
2006-05-17,1277.0
2006-05-18,1290.0
2006-05-19,
2006-05-20,1269.0
2006-05-21,
2006-05-22,
2006-05-23,1225.0
2006-05-24,1253.0
2006-05-25,1259.0
2006-05-26,1247.0
2006-05-27,1242.0
2006-05-28,
2006-05-29,
2006-05-30,1215.0
2006-05-31,1220.0
