DATE,PRICE
2006-01-11,1169.0
2006-01-12,
2006-01-13,1151.0
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,
2006-01-18,1142.0
2006-01-19,
2006-01-20,1137.0
2006-01-21,
2006-01-22,
2006-01-23,
2006-01-24,
2006-01-25,
2006-01-26,
2006-01-27,
2006-01-28,
2006-01-29,
2006-01-30,1141.0
2006-02-17,1145.0
2006-02-18,
2006-02-19,
2006-02-20,
2006-02-21,
2006-02-22,1136.0
2006-02-23,
2006-02-24,1148.0
2006-02-25,
2006-02-26,
2006-02-27,1150.0
2006-03-14,1638.0
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-18,
2006-03-19,
2006-03-20,
2006-03-21,1127.0
2006-03-22,
2006-03-23,1738.0
2006-03-24,
2006-03-25,
2006-03-26,
2006-03-27,
2006-03-28,
2006-03-29,1128.0
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,1215.0
2006-05-31,
