DATE,PRICE
2006-01-02,1014.0
2006-01-03,1009.0
2006-01-04,1026.0
2006-01-05,1135.0
2006-01-06,1019.0
2006-01-07,1138.0
2006-01-08,
2006-01-09,1028.0
2006-01-10,
2006-01-11,
2006-01-12,1145.0
2006-01-13,1145.0
2006-01-14,1150.0
2006-01-15,
2006-01-16,1150.0
2006-01-17,1135.0
2006-01-18,1000.0
2006-01-19,983.0
2006-01-20,995.0
2006-01-21,1000.0
2006-01-22,
2006-01-23,1135.0
2006-01-24,1145.0
2006-01-25,1133.0
2006-01-26,
2006-01-27,1143.0
2006-01-28,1144.0
2006-01-29,
2006-01-30,979.0
2006-01-31,1132.0
2006-02-01,1130.0
2006-02-02,1130.0
2006-02-03,1130.0
2006-02-04,1135.0
2006-02-05,
2006-02-06,962.0
2006-02-07,850.0
2006-02-08,1130.0
2006-02-09,
2006-02-10,1147.0
2006-02-11,1136.0
2006-02-12,
2006-02-13,
2006-02-14,1129.0
2006-02-15,1128.0
2006-02-16,1135.0
2006-02-17,1136.0
2006-02-18,1155.0
2006-02-19,
2006-02-20,1125.0
2006-02-21,1128.0
2006-02-22,800.0
2006-02-23,1130.0
2006-02-24,1135.0
2006-02-25,1121.0
2006-02-26,
2006-02-27,1132.0
2006-02-28,1130.0
2006-03-01,975.0
2006-03-02,1138.0
2006-03-03,1145.0
2006-03-04,1142.0
2006-03-05,
2006-03-06,1126.0
2006-03-07,1124.0
2006-03-08,1105.0
2006-03-09,1120.0
2006-03-10,1106.0
2006-03-11,1126.0
2006-03-12,
2006-03-13,1114.0
2006-03-14,1113.0
2006-03-15,
2006-03-16,
2006-03-17,1105.0
2006-03-18,1115.0
2006-03-19,
2006-03-20,
2006-03-21,
2006-03-22,1124.0
2006-03-23,
2006-03-24,1129.0
2006-03-25,1115.0
2006-03-26,
2006-03-27,1111.0
2006-03-28,1112.0
2006-03-29,1095.0
2006-05-01,
2006-05-02,1239.0
2006-05-03,1240.0
2006-05-04,1274.0
2006-05-05,1170.0
2006-05-06,
2006-05-07,
2006-05-08,1250.0
2006-05-09,1266.0
2006-05-10,1291.0
2006-05-11,1240.0
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,1280.0
2006-05-16,1290.0
2006-05-17,1235.0
2006-05-18,1305.0
2006-05-19,1285.0
2006-05-20,1294.0
2006-05-21,
2006-05-22,1270.0
2006-05-23,1240.0
2006-05-24,1000.0
2006-05-25,1151.0
2006-05-26,1265.0
2006-05-27,1241.0
2006-05-28,
2006-05-29,1235.0
2006-05-30,1225.0
2006-05-31,1175.0
