DATE,PRICE
2006-01-02,1121.0
2006-01-03,1130.0
2006-01-04,1171.0
2006-01-05,1162.0
2006-01-06,1150.0
2006-01-07,1165.0
2006-01-08,
2006-01-09,1160.0
2006-01-10,1162.0
2006-01-11,1160.0
2006-01-12,1160.0
2006-01-13,1141.0
2006-01-14,1165.0
2006-01-15,
2006-01-16,1132.0
2006-01-17,1180.0
2006-01-18,1150.0
2006-01-19,1145.0
2006-01-20,1150.0
2006-01-21,1145.0
2006-01-22,
2006-01-23,1160.0
2006-01-24,1160.0
2006-01-25,
2006-01-26,
2006-01-27,
2006-01-28,1170.0
2006-01-29,
2006-01-30,1161.0
2006-01-31,1165.0
2006-02-01,1170.0
2006-02-02,
2006-02-03,1155.0
2006-02-04,1155.0
2006-02-05,
2006-02-06,1150.0
2006-02-07,1150.0
2006-02-08,1035.0
2006-02-09,1155.0
2006-02-10,1165.0
2006-02-11,1155.0
2006-02-12,
2006-02-13,
2006-02-14,1155.0
2006-02-15,1150.0
2006-02-16,1145.0
2006-02-17,
2006-02-18,1146.0
2006-02-19,
2006-02-20,
2006-02-21,
2006-02-22,
2006-02-23,1140.0
2006-02-24,
2006-02-25,1135.0
2006-03-01,1035.0
2006-03-02,
2006-03-03,
2006-03-04,
2006-03-05,
2006-03-06,
2006-03-07,
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-18,
2006-03-19,
2006-03-20,
2006-03-21,
2006-03-22,1150.0
