DATE,PRICE
2006-01-02,1057.0
2006-01-03,1045.0
2006-01-04,1029.0
2006-01-05,1082.0
2006-01-06,1082.0
2006-01-07,1080.0
2006-01-08,
2006-01-09,1110.0
2006-01-10,1050.0
2006-01-11,
2006-01-12,1065.0
2006-01-13,
2006-01-14,
2006-01-15,
2006-01-16,1097.0
2006-01-17,1077.0
2006-01-18,1051.0
2006-01-19,1095.0
2006-01-20,1063.0
2006-01-21,1100.0
2006-01-22,
2006-01-23,1101.0
2006-01-24,1044.0
2006-01-25,1044.0
2006-01-26,
2006-01-27,1082.0
2006-01-28,1082.0
2006-01-29,
2006-01-30,1096.0
2006-01-31,1089.0
2006-02-01,1092.0
2006-02-02,1077.0
2006-02-03,1082.0
2006-02-04,1084.0
2006-02-05,
2006-02-06,1074.0
2006-02-07,1049.0
2006-02-08,1082.0
2006-02-09,
2006-02-10,1074.0
2006-02-11,1077.0
2006-02-12,
2006-02-13,
2006-02-14,1060.0
2006-02-15,1025.0
2006-02-16,1074.0
2006-02-17,1087.0
2006-02-18,1080.0
2006-02-19,
2006-02-20,1073.0
2006-02-21,1070.0
2006-02-22,1037.0
2006-02-23,1078.0
2006-02-24,1031.0
2006-02-25,1041.0
2006-02-26,
2006-02-27,1056.0
2006-02-28,1066.0
2006-03-01,1071.0
2006-03-02,1089.0
2006-03-03,1077.0
2006-03-04,1050.0
2006-03-05,
2006-03-06,1055.0
2006-03-07,1088.0
2006-03-08,992.0
2006-03-09,1064.0
2006-03-10,981.0
2006-03-11,1065.0
2006-03-12,
2006-03-13,1048.0
2006-03-14,1034.0
2006-03-15,
2006-03-16,
2006-03-17,1038.0
2006-03-18,1050.0
2006-03-19,
2006-03-20,1007.0
2006-03-21,1044.0
2006-03-22,1061.0
2006-03-23,1033.0
2006-03-24,1057.0
2006-03-25,1044.0
2006-03-26,
2006-03-27,1045.0
2006-03-28,1050.0
2006-03-29,1031.0
2006-05-01,1183.0
2006-05-02,1191.0
2006-05-03,1150.0
2006-05-04,1209.0
2006-05-05,1238.0
2006-05-06,1204.0
2006-05-07,
2006-05-08,1231.0
2006-05-09,1235.0
2006-05-10,1211.0
2006-05-11,1238.0
2006-05-12,1180.0
2006-05-13,
2006-05-14,
2006-05-15,1282.0
2006-05-16,1219.0
2006-05-17,1271.0
2006-05-18,
2006-05-19,1253.0
2006-05-20,1246.0
2006-05-21,
2006-05-22,1232.0
2006-05-23,1155.0
2006-05-24,1235.0
2006-05-25,1223.0
2006-05-26,1200.0
2006-05-27,1240.0
2006-05-28,
2006-05-29,1257.0
2006-05-30,1200.0
2006-05-31,1144.0
