DATE,PRICE
2006-01-05,1001.0
2006-01-06,
2006-01-07,
2006-01-08,
2006-01-09,
2006-01-10,
2006-01-11,1057.0
2006-01-12,
2006-01-13,
2006-01-14,1048.0
2006-01-15,
2006-01-16,
2006-01-17,
2006-01-18,1037.0
2006-01-19,1050.0
2006-01-20,
2006-01-21,1050.0
2006-01-22,1035.0
2006-01-23,
2006-01-24,
2006-01-25,
2006-01-26,
2006-01-27,
2006-01-28,1060.0
2006-01-29,
2006-01-30,
2006-01-31,1075.0
2006-02-02,1047.0
2006-02-03,
2006-02-04,1050.0
2006-02-05,
2006-02-06,
2006-02-07,1045.0
2006-02-08,1060.0
2006-02-09,
2006-02-10,1065.0
2006-02-11,
2006-02-12,1055.0
2006-02-13,
2006-02-14,1045.0
2006-02-15,
2006-02-16,
2006-02-17,1000.0
2006-02-18,1051.0
2006-03-01,1055.0
2006-03-02,1050.0
2006-03-03,1040.0
2006-03-04,
2006-03-05,1050.0
2006-03-06,
2006-03-07,1036.0
2006-03-08,1030.0
2006-03-09,
2006-03-10,
2006-03-11,1050.0
2006-05-01,
2006-05-02,1100.0
2006-05-03,1150.0
2006-05-04,
2006-05-05,1238.0
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,1180.0
2006-05-13,1180.0
2006-05-14,1200.0
2006-05-15,
2006-05-16,1200.0
2006-05-17,
2006-05-18,1200.0
2006-05-19,
2006-05-20,
2006-05-21,1222.0
2006-05-22,
2006-05-23,1170.0
2006-05-24,
2006-05-25,1223.0
2006-05-26,
2006-05-27,1240.0
2006-05-28,
2006-05-29,
2006-05-30,
2006-05-31,1135.0
