DATE,PRICE
2006-01-16,1155.0
2006-01-17,1151.0
2006-01-18,1150.0
2006-01-19,1135.0
2006-01-20,
2006-01-21,
2006-01-22,1140.0
2006-01-23,1165.0
2006-01-24,
2006-01-25,
2006-01-26,
2006-01-27,
2006-01-28,
2006-01-29,1145.0
2006-01-30,
2006-01-31,1155.0
2006-02-01,1145.0
2006-02-02,
2006-02-03,
2006-02-04,
2006-02-05,
2006-02-06,1162.0
2006-02-07,1156.0
2006-02-08,1135.0
2006-02-09,
2006-02-10,
2006-02-11,
2006-02-12,
2006-02-13,
2006-02-14,1145.0
2006-02-15,
2006-02-16,1148.0
2006-02-17,
2006-02-18,
2006-02-19,1165.0
2006-02-20,1156.0
2006-02-21,1148.0
2006-02-22,
2006-02-23,1150.0
2006-02-24,
2006-02-25,
2006-02-26,
2006-02-27,
2006-02-28,1150.0
2006-03-01,1173.0
2006-03-02,1170.0
2006-03-03,
2006-03-04,
2006-03-05,
2006-03-06,1151.0
2006-03-07,1154.0
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-11,
2006-03-12,1155.0
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-18,
2006-03-19,
2006-03-20,
2006-03-21,
2006-03-22,1150.0
2006-03-23,
2006-03-24,
2006-03-25,
2006-03-26,1145.0
2006-03-27,1140.0
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,1270.0
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,1310.0
2006-05-15,
2006-05-16,1293.0
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,
2006-05-31,
