DATE,PRICE
2006-01-02,1070.0
2006-01-03,1075.0
2006-01-04,
2006-01-05,
2006-01-06,1107.0
2006-01-07,1115.0
2006-01-08,
2006-01-09,1150.0
2006-01-10,1130.0
2006-01-11,1136.0
2006-01-12,1131.0
2006-01-13,1121.0
2006-01-14,
2006-01-15,
2006-01-16,1132.0
2006-01-17,1125.0
2006-01-18,1106.0
2006-01-19,1110.0
2006-01-20,
2006-01-21,1110.0
2006-01-22,
2006-01-23,1122.0
2006-01-24,1124.0
2006-01-25,
2006-01-26,
2006-01-27,1116.0
2006-01-28,1127.0
2006-01-29,
2006-01-30,1554.0
2006-01-31,1116.0
2006-02-01,1118.0
2006-02-02,1115.0
2006-02-03,1115.0
2006-02-04,1114.0
2006-02-05,
2006-02-06,1117.0
2006-02-07,1117.0
2006-02-08,1119.0
2006-02-09,1117.0
2006-02-10,1130.0
2006-02-11,1125.0
2006-02-12,
2006-02-13,1110.0
2006-02-14,1110.0
2006-02-15,1111.0
2006-02-16,1125.0
2006-02-17,1128.0
2006-02-18,1142.0
2006-02-19,
2006-02-20,1107.0
2006-02-21,1111.0
2006-02-22,1122.0
2006-02-23,1100.0
2006-02-24,1120.0
2006-02-25,1125.0
2006-02-26,
2006-02-27,1120.0
2006-02-28,1118.0
2006-03-01,1116.0
2006-03-02,1125.0
2006-03-03,1125.0
2006-03-04,1124.0
2006-03-05,
2006-03-06,1107.0
2006-03-07,1105.0
2006-03-08,1100.0
2006-03-09,1118.0
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,1070.0
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-18,1069.0
2006-03-19,
2006-03-20,
2006-03-21,1070.0
2006-03-22,1102.0
2006-03-23,1110.0
2006-03-24,1108.0
2006-03-25,1110.0
2006-03-26,
2006-03-27,
2006-03-28,
2006-03-29,
2006-03-30,
2006-03-31,1100.0
2006-05-01,
2006-05-02,
2006-05-03,1260.0
2006-05-04,1263.0
2006-05-05,
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,
2006-05-31,
