DATE,PRICE
2006-01-01,1130.0
2006-01-02,
2006-01-03,1130.0
2006-01-04,1155.0
2006-01-05,1160.0
2006-01-06,
2006-01-07,1164.0
2006-01-08,
2006-01-09,
2006-01-10,1170.0
2006-01-11,
2006-01-12,1160.0
2006-01-13,
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,1170.0
2006-01-18,
2006-01-19,
2006-01-20,1150.0
2006-01-21,1140.0
2006-01-22,1140.0
2006-01-23,
2006-01-24,1145.0
2006-01-25,1140.0
2006-01-26,
2006-01-27,
2006-01-28,1100.0
2006-01-29,
2006-01-30,
2006-01-31,1165.0
2006-02-02,1125.0
2006-02-03,1140.0
2006-02-04,1145.0
2006-02-05,1160.0
2006-02-06,
2006-02-07,1150.0
2006-02-08,1150.0
2006-02-09,
2006-02-10,1165.0
2006-02-11,1155.0
2006-02-12,1150.0
2006-02-13,
2006-02-14,1140.0
2006-02-15,1140.0
2006-02-16,1155.0
2006-02-17,1165.0
2006-02-18,1170.0
2006-02-19,1155.0
2006-02-20,
2006-02-21,
2006-02-22,1150.0
2006-02-23,1150.0
2006-02-24,1160.0
2006-03-01,
2006-03-02,
2006-03-03,1160.0
2006-03-04,1160.0
2006-03-05,1165.0
2006-03-06,
2006-03-07,1155.0
2006-03-08,1160.0
2006-03-09,1145.0
2006-03-10,1100.0
2006-03-11,
2006-03-12,1145.0
2006-03-13,
2006-03-14,1140.0
2006-03-15,
2006-03-16,1145.0
2006-03-17,
2006-03-18,1130.0
2006-03-19,1136.0
2006-03-20,
2006-03-21,1132.0
2006-03-22,
2006-03-23,1140.0
2006-03-24,1135.0
2006-03-25,1135.0
2006-03-26,1135.0
2006-03-27,
2006-03-28,1100.0
2006-05-01,
2006-05-02,1215.0
2006-05-03,1243.0
2006-05-04,1281.0
2006-05-05,
2006-05-06,1250.0
2006-05-07,1240.0
2006-05-08,
2006-05-09,1265.0
2006-05-10,1250.0
2006-05-11,1277.0
2006-05-12,1289.0
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,1270.0
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,1275.0
2006-05-24,1251.0
2006-05-25,1253.0
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,1221.0
2006-05-31,
