DATE,PRICE
2006-01-02,1120.0
2006-01-03,1125.0
2006-01-04,1165.0
2006-01-05,1140.0
2006-01-06,1150.0
2006-01-07,1165.0
2006-01-08,
2006-01-09,1175.0
2006-01-10,1160.0
2006-01-11,
2006-01-12,1115.0
2006-01-13,1150.0
2006-01-14,
2006-01-15,
2006-01-16,1160.0
2006-01-17,1165.0
2006-01-18,1140.0
2006-01-19,1130.0
2006-01-20,1125.0
2006-01-21,1120.0
2006-01-22,
2006-01-23,1150.0
2006-01-24,1150.0
2006-01-25,1130.0
2006-01-26,
2006-01-27,1125.0
2006-01-28,1165.0
2006-01-29,
2006-01-30,1155.0
2006-01-31,1160.0
2006-02-02,1150.0
2006-02-03,1145.0
2006-02-04,1145.0
2006-02-05,
2006-02-06,1156.0
2006-02-07,1156.0
2006-02-08,1145.0
2006-02-09,
2006-02-10,1160.0
2006-02-11,1150.0
2006-02-12,
2006-02-13,
2006-02-14,1145.0
2006-02-15,1140.0
2006-02-16,1145.0
2006-02-17,1150.0
2006-02-18,1150.0
2006-02-19,
2006-02-20,1140.0
2006-03-01,1140.0
2006-03-02,1140.0
2006-03-03,1130.0
2006-03-04,1140.0
