DATE,PRICE
2006-01-12,1065.0
2006-01-13,1060.0
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,
2006-01-18,1055.0
2006-01-19,1051.0
2006-01-20,1075.0
2006-01-21,
2006-01-22,1090.0
2006-01-23,1095.0
2006-01-24,
2006-01-25,1080.0
2006-01-26,
2006-01-27,1086.0
2006-02-26,1075.0
2006-02-27,1056.0
2006-03-01,1043.0
2006-03-02,1045.0
2006-03-03,1060.0
2006-03-04,1075.0
2006-03-05,1095.0
2006-03-06,1082.0
2006-03-07,
2006-03-08,1060.0
2006-03-09,1045.0
2006-03-10,1057.0
2006-03-11,1030.0
2006-03-12,1030.0
2006-03-13,1055.0
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,1017.0
2006-03-18,
2006-03-19,1041.0
2006-03-20,1025.0
2006-03-21,
2006-03-22,1040.0
2006-03-23,1025.0
2006-03-24,
2006-03-25,1015.0
2006-03-26,1020.0
2006-03-27,1055.0
2006-05-01,1125.0
2006-05-02,
2006-05-03,1252.0
2006-05-04,1221.0
2006-05-05,1100.0
2006-05-06,
2006-05-07,1205.0
2006-05-08,1201.0
2006-05-09,
2006-05-10,1245.0
2006-05-11,1242.0
2006-05-12,1160.0
2006-05-13,1200.0
2006-05-14,1200.0
2006-05-15,
2006-05-16,
2006-05-17,1281.0
2006-05-18,
2006-05-19,1260.0
2006-05-20,1270.0
2006-05-21,1224.0
2006-05-22,1220.0
2006-05-23,
2006-05-24,1233.0
2006-05-25,1231.0
2006-05-26,1189.0
2006-05-27,1175.0
2006-05-28,
2006-05-29,1180.0
2006-05-30,
2006-05-31,1200.0
