DATE,PRICE,IMPUTED
2006-01-01,1140,1
2006-01-02,1140,0
2006-01-03,1145,0
2006-01-04,1160,0
2006-01-05,1150,0
2006-01-06,1275,0
2006-01-07,1140,0
2006-01-08,1000,1
2006-01-09,1165,0
2006-01-10,1018,1
2006-01-11,1018,1
2006-01-12,1150,0
2006-01-13,1029,1
2006-01-14,1029,1
2006-01-15,1029,1
2006-01-16,1145,0
2006-01-17,1145,0
2006-01-18,1145,0
2006-01-19,1135,0
2006-01-20,1140,0
2006-01-21,1140,0
2006-01-22,1056,1
2006-01-23,1155,0
2006-01-24,1140,0
2006-01-25,1068,1
2006-01-26,1068,1
2006-01-27,1068,1
2006-01-28,1068,1
2006-01-29,1068,1
2006-01-30,1068,1
2006-01-31,1068,1
2006-02-01,1150,0
2006-02-02,1140,0
2006-02-03,1155,0
2006-02-04,1160,0
2006-02-05,1078,1
2006-02-06,1078,1
2006-02-07,1160,0
2006-02-08,1150,0
2006-02-09,1082,1
2006-02-10,1082,1
2006-02-11,1140,0
2006-02-12,1083,1
2006-02-13,1083,1
2006-02-14,1140,0
2006-02-15,1084,1
2006-02-16,1145,0
2006-02-17,1086,1
2006-02-18,1170,0
2006-02-19,1087,1
2006-02-20,1165,0
2006-02-21,1150,0
2006-02-22,1145,0
2006-02-23,1140,0
2006-02-24,1140,0
2006-02-25,1145,0
2006-02-26,1094,1
2006-02-27,1094,1
2006-02-28,1165,0
2006-03-01,1095,1
2006-03-02,1160,0
2006-03-03,1165,0
2006-03-04,1097,1
2006-03-05,1097,1
2006-03-06,1097,1
2006-03-07,1150,0
2006-03-08,1150,0
2006-03-09,1140,0
2006-03-10,1099,1
2006-03-11,1155,0
2006-03-12,1100,1
2006-03-13,1100,1
2006-03-14,1135,0
2006-03-15,1100,1
2006-03-16,1150,0
2006-03-17,1150,0
2006-03-18,1140,0
2006-03-19,1148,1
2006-03-20,1147,1
2006-03-21,1145,0
2006-03-22,1145,0
2006-03-23,1145,0
2006-03-24,1145,0
2006-03-25,1145,1
2006-03-26,1145,1
2006-03-27,1145,1
2006-03-28,1110,0
2006-03-29,1138,1
2006-03-30,1137,1
2006-03-31,1119,1
