DATE,PRICE
2006-01-04,1120.0
2006-01-05,1115.0
2006-01-06,1116.0
2006-01-07,1120.0
2006-01-08,
2006-01-09,1140.0
2006-01-10,1140.0
2006-01-11,
2006-01-12,
2006-01-13,1120.0
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,1120.0
2006-01-18,1115.0
2006-01-19,1110.0
2006-01-20,1075.0
2006-01-21,1105.0
2006-01-22,
2006-01-23,1126.0
2006-01-24,1126.0
2006-01-25,1115.0
2006-01-26,
2006-01-27,1110.0
2006-01-28,1136.0
2006-02-01,1130.0
2006-02-02,
2006-02-03,1121.0
2006-02-04,1125.0
2006-02-05,
2006-02-06,1129.0
2006-02-07,1120.0
2006-02-08,1115.0
2006-02-09,
2006-02-10,1120.0
2006-02-11,1115.0
2006-02-12,
2006-02-13,
2006-02-14,1115.0
2006-02-15,1105.0
2006-02-16,1120.0
2006-02-17,
2006-02-18,
2006-02-19,
2006-02-20,1120.0
2006-02-21,1100.0
2006-02-22,1110.0
2006-02-23,1100.0
2006-02-24,1117.0
2006-02-25,1125.0
2006-02-26,
2006-02-27,
2006-02-28,
2006-03-02,1120.0
2006-03-03,
2006-03-04,1130.0
2006-03-05,
2006-03-06,1080.0
2006-03-07,
2006-03-08,
2006-03-09,1110.0
2006-03-10,1121.0
2006-03-11,1108.0
2006-03-12,
2006-03-13,1100.0
2006-03-14,1090.0
2006-03-15,
2006-03-16,
2006-03-17,1100.0
2006-03-18,
2006-03-19,
2006-03-20,
2006-03-21,1100.0
2006-03-22,1099.0
2006-03-23,1114.0
2006-03-24,1104.0
2006-03-25,1098.0
2006-03-26,
2006-03-27,
2006-03-28,1085.0
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,1274.0
2006-05-05,
2006-05-06,1255.0
2006-05-07,
2006-05-08,1250.0
2006-05-09,
2006-05-10,
2006-05-11,1240.0
2006-05-12,1281.0
2006-05-13,
2006-05-14,
2006-05-15,1280.0
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,1250.0
2006-05-20,1294.0
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,1235.0
2006-05-30,1225.0
2006-05-31,1175.0
