DATE,PRICE
2006-01-01,
2006-01-02,1075.0
2006-01-03,1085.0
2006-01-04,1100.0
2006-01-05,1100.0
2006-01-06,1105.0
2006-01-07,1110.0
2006-01-08,
2006-01-09,1120.0
2006-01-10,1115.0
2006-01-11,
2006-01-12,1120.0
2006-01-13,1110.0
2006-01-14,
2006-01-15,
2006-01-16,1100.0
2006-01-17,1100.0
2006-01-18,1115.0
2006-01-19,1110.0
2006-01-20,1100.0
2006-01-21,1110.0
2006-01-22,
2006-01-23,1135.0
2006-01-24,1125.0
2006-01-25,1120.0
2006-01-26,
2006-01-27,1115.0
2006-01-28,1130.0
2006-01-29,
2006-01-30,1125.0
2006-01-31,1135.0
2006-02-01,1130.0
2006-02-02,1120.0
2006-02-03,1110.0
2006-02-04,1110.0
2006-02-05,
2006-02-06,1120.0
2006-02-07,1120.0
2006-02-08,1120.0
2006-02-09,1115.0
2006-02-10,1125.0
2006-02-11,1120.0
2006-02-12,
2006-02-13,1125.0
2006-02-14,1120.0
2006-02-15,1125.0
2006-02-16,1125.0
2006-02-17,1150.0
2006-02-18,1150.0
2006-02-19,
2006-02-20,
2006-02-21,
2006-02-22,1125.0
2006-02-23,1120.0
2006-02-24,1125.0
2006-02-25,
2006-02-26,
2006-02-27,
2006-02-28,
2006-03-01,1130.0
2006-03-02,1119.0
2006-03-03,1155.0
2006-03-04,1155.0
2006-03-05,
2006-03-06,1155.0
2006-03-07,1150.0
2006-03-08,1150.0
2006-03-09,1150.0
2006-03-10,1130.0
2006-03-11,1130.0
2006-03-12,
2006-03-13,
2006-03-14,1130.0
2006-03-15,
2006-03-16,
2006-03-17,1115.0
2006-03-18,1120.0
2006-03-19,
2006-03-20,1120.0
2006-03-21,1100.0
2006-03-22,1100.0
2006-03-23,1110.0
2006-03-24,1108.0
2006-03-25,
2006-03-26,
2006-03-27,1115.0
2006-03-28,1110.0
2006-03-29,1115.0
2006-03-30,1070.0
2006-03-31,1110.0
2006-04-01,
2006-04-02,
2006-04-03,
2006-04-04,1111.0
2006-04-05,1112.0
2006-04-06,
2006-04-07,1125.0
2006-04-08,1123.0
2006-04-09,
2006-04-10,1133.0
2006-04-11,
2006-04-12,1135.0
2006-04-13,
2006-04-14,
2006-04-15,
2006-04-16,
2006-04-17,
2006-04-18,
2006-04-19,1185.0
2006-04-20,
2006-04-21,1202.0
2006-04-22,1191.0
2006-04-23,
2006-04-24,1200.0
2006-04-25,1225.0
2006-04-26,
2006-04-27,1220.0
2006-04-28,1227.0
2006-04-29,1235.0
2006-04-30,
2006-05-01,1250.0
2006-05-02,
2006-05-03,
2006-05-04,1262.0
2006-05-05,1245.0
2006-05-06,1210.0
2006-05-07,
2006-05-08,1250.0
2006-05-09,1215.0
2006-05-10,1245.0
2006-05-11,1265.0
2006-05-12,
2006-05-13,1265.0
2006-05-14,
2006-05-15,
2006-05-16,1250.0
2006-05-17,1255.0
2006-05-18,1265.0
2006-05-19,1270.0
2006-05-20,
2006-05-21,
2006-05-22,1260.0
2006-05-23,1260.0
2006-05-24,1245.0
2006-05-25,1233.0
2006-05-26,1265.0
2006-05-27,
2006-05-28,
2006-05-29,1250.0
2006-05-30,
2006-05-31,
2006-06-01,
2006-06-02,1205.0
2006-06-03,1235.0
2006-06-04,
2006-06-05,1220.0
2006-06-06,1275.0
2006-06-07,1225.0
2006-06-08,
2006-06-09,1210.0
2006-06-10,1225.0
2006-06-11,
2006-06-12,1215.0
2006-06-13,1230.0
2006-06-14,1225.0
2006-06-15,1210.0
2006-06-16,1220.0
2006-06-17,
2006-06-18,
2006-06-19,1200.0
2006-06-20,1185.0
2006-06-21,1200.0
2006-06-22,1180.0
2006-06-23,1210.0
2006-06-24,
2006-06-25,
2006-06-26,
2006-06-27,
2006-06-28,
2006-06-29,
2006-06-30,1210.0
2006-07-01,1164.0
2006-07-02,
2006-07-03,1175.0
2006-07-04,1200.0
2006-07-05,
2006-07-06,
2006-07-07,1129.0
2006-07-08,1350.0
2006-07-09,
2006-07-10,1160.0
2006-07-11,1190.0
2006-07-12,
2006-07-13,
2006-07-14,1220.0
2006-07-15,
2006-07-16,
2006-07-17,
2006-07-18,
2006-07-19,1215.0
2006-07-20,
2006-07-21,
2006-07-22,
2006-07-23,
2006-07-24,1195.0
2006-07-25,
2006-07-26,
2006-07-27,
2006-07-28,1215.0
2006-07-29,1210.0
2006-07-30,
2006-07-31,
2006-08-01,
2006-08-02,
2006-08-03,
2006-08-04,
2006-08-05,
2006-08-06,
2006-08-07,
2006-08-08,
2006-08-09,
2006-08-10,
2006-08-11,
2006-08-12,
2006-08-13,
2006-08-14,
2006-08-15,
2006-08-16,
2006-08-17,
2006-08-18,
2006-08-19,
2006-08-20,
2006-08-21,
2006-08-22,
2006-08-23,
2006-08-24,
2006-08-25,
2006-08-26,
2006-08-27,
2006-08-28,
2006-08-29,
2006-08-30,
2006-08-31,
2006-09-01,
2006-09-02,1195.0
2006-09-03,
2006-09-04,1175.0
2006-09-05,1190.0
2006-09-06,1150.0
2006-09-07,1195.0
2006-09-08,1190.0
2006-09-09,1190.0
2006-09-10,
2006-09-11,1150.0
2006-09-12,
2006-09-13,1120.0
2006-09-14,1120.0
2006-09-15,1100.0
2006-09-16,1100.0
2006-09-17,
2006-09-18,1150.0
2006-09-19,1150.0
2006-09-20,1150.0
2006-09-21,1150.0
2006-09-22,1170.0
2006-09-23,
2006-09-24,
2006-09-25,1150.0
2006-09-26,1050.0
2006-09-27,1140.0
2006-09-28,1142.0
2006-09-29,1130.0
2006-09-30,
2006-10-01,
2006-10-02,
2006-10-03,
2006-10-04,1135.0
2006-10-05,1140.0
2006-10-06,1150.0
2006-10-07,1140.0
2006-10-08,
2006-10-09,1140.0
2006-10-10,1160.0
2006-10-11,1130.0
2006-10-12,1120.0
2006-10-13,1130.0
2006-10-14,1110.0
2006-10-15,
2006-10-16,1150.0
2006-10-17,1140.0
2006-10-18,1150.0
2006-10-19,
2006-10-20,
2006-10-21,
2006-10-22,
2006-10-23,
2006-10-24,
2006-10-25,1150.0
2006-10-26,1170.0
2006-10-27,
2006-10-28,
2006-10-29,
2006-10-30,
2006-10-31,1200.0
2006-11-01,1200.0
2006-11-02,1200.0
2006-11-03,1200.0
2006-11-04,1275.0
2006-11-05,
2006-11-06,1260.0
2006-11-07,
2006-11-08,
2006-11-09,1285.0
2006-11-10,1270.0
2006-11-11,1300.0
2006-11-12,
2006-11-13,1300.0
2006-11-14,1320.0
2006-11-15,1305.0
2006-11-16,1330.0
2006-11-17,1300.0
2006-11-18,1250.0
2006-11-19,
2006-11-20,
2006-11-21,1374.0
2006-11-22,1370.0
2006-11-23,1365.0
2006-11-24,1355.0
2006-11-25,1365.0
2006-11-26,
2006-11-27,1300.0
2006-11-28,1365.0
2006-11-29,1350.0
2006-11-30,1300.0
2006-12-01,1350.0
2006-12-02,
2006-12-03,
2006-12-04,1325.0
2006-12-05,1298.0
2006-12-06,1300.0
2006-12-07,1312.0
2006-12-08,1310.0
2006-12-09,1300.0
2006-12-10,
2006-12-11,1315.0
2006-12-12,1320.0
2006-12-13,1325.0
2006-12-14,
2006-12-15,1325.0
2006-12-16,1300.0
2006-12-17,
2006-12-18,1300.0
2006-12-19,1290.0
2006-12-20,1300.0
2006-12-21,1260.0
2006-12-22,1315.0
2006-12-23,1320.0
2006-12-24,
2006-12-25,1325.0
2006-12-26,1300.0
2006-12-27,1340.0
2006-12-28,1335.0
2006-12-29,1300.0
2006-12-30,1340.0
2006-12-31,
