DATE,PRICE
2006-01-01,
2006-01-02,
2006-01-03,
2006-01-04,
2006-01-05,
2006-01-06,
2006-01-07,
2006-01-08,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,
2006-01-13,1124.0
2006-01-14,
2006-01-15,
2006-01-16,1119.0
2006-01-17,1124.0
2006-01-18,
2006-01-19,1119.0
2006-01-20,1130.0
2006-01-21,1118.0
2006-01-22,
2006-01-23,
2006-01-24,1130.0
2006-01-25,1127.0
2006-01-26,
2006-01-27,
2006-01-28,1118.0
2006-01-29,
2006-01-30,1124.0
2006-01-31,1136.0
2006-02-01,1400.0
2006-02-02,1105.0
2006-02-03,1670.0
2006-02-04,1105.0
2006-02-05,
2006-02-06,1123.0
2006-02-07,1124.0
2006-02-08,
2006-02-09,1128.0
2006-02-10,
2006-02-11,1135.0
2006-02-12,
2006-02-13,
2006-02-14,1117.0
2006-02-15,1121.0
2006-02-16,1135.0
2006-02-17,1135.0
2006-02-18,1154.0
2006-02-19,
2006-02-20,1128.0
2006-02-21,
2006-02-22,1128.0
2006-02-23,
2006-02-24,
2006-02-25,
2006-02-26,
2006-02-27,
2006-02-28,
2006-03-01,1131.0
2006-03-02,
2006-03-03,
2006-03-04,
2006-03-05,
2006-03-06,1143.0
2006-03-07,1130.0
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,1128.0
2006-03-18,
2006-03-19,
2006-03-20,
2006-03-21,
2006-03-22,
2006-03-23,
2006-03-24,
2006-03-25,
2006-03-26,
2006-03-27,
2006-03-28,
2006-03-29,
2006-03-30,
2006-03-31,
2006-04-01,
2006-04-02,
2006-04-03,
2006-04-04,
2006-04-05,
2006-04-06,
2006-04-07,
2006-04-08,
2006-04-09,
2006-04-10,
2006-04-11,
2006-04-12,1155.0
2006-04-13,1155.0
2006-04-14,
2006-04-15,1160.0
2006-04-16,
2006-04-17,
2006-04-18,
2006-04-19,1162.0
2006-04-20,1162.0
2006-04-21,1136.0
2006-04-22,1143.0
2006-04-23,
2006-04-24,
2006-04-25,1190.0
2006-04-26,
2006-04-27,1211.0
2006-04-28,1230.0
2006-04-29,
2006-04-30,
2006-05-01,
2006-05-02,1255.0
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,1263.0
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,1300.0
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,1255.0
2006-05-27,1260.0
2006-05-28,
2006-05-29,
2006-05-30,
2006-05-31,
2006-06-01,
2006-06-02,
2006-06-03,
2006-06-04,
2006-06-05,
2006-06-06,1254.0
2006-06-07,1250.0
2006-06-08,1241.0
2006-06-09,
2006-06-10,
2006-06-11,
2006-06-12,
2006-06-13,1247.0
2006-06-14,1248.0
2006-06-15,
2006-06-16,1240.0
2006-06-17,1238.0
2006-06-18,
2006-06-19,
2006-06-20,
2006-06-21,
2006-06-22,
2006-06-23,1220.0
2006-06-24,
2006-06-25,
2006-06-26,1225.0
2006-06-27,
2006-06-28,1224.0
2006-06-29,1211.0
2006-06-30,1227.0
2006-07-01,
2006-07-02,1236.0
2006-07-03,1231.0
2006-07-04,
2006-07-05,
2006-07-06,
2006-07-07,
2006-07-08,
2006-07-09,
2006-07-10,
2006-07-11,
2006-07-12,
2006-07-13,
2006-07-14,
2006-07-15,
2006-07-16,
2006-07-17,
2006-07-18,
2006-07-19,
2006-07-20,
2006-07-21,
2006-07-22,
2006-07-23,
2006-07-24,
2006-07-25,
2006-07-26,
2006-07-27,
2006-07-28,
2006-07-29,
2006-07-30,
2006-07-31,
2006-08-01,
2006-08-02,
2006-08-03,
2006-08-04,
2006-08-05,
2006-08-06,
2006-08-07,
2006-08-08,
2006-08-09,
2006-08-10,
2006-08-11,
2006-08-12,
2006-08-13,
2006-08-14,
2006-08-15,
2006-08-16,
2006-08-17,
2006-08-18,
2006-08-19,
2006-08-20,
2006-08-21,
2006-08-22,
2006-08-23,
2006-08-24,
2006-08-25,
2006-08-26,
2006-08-27,
2006-08-28,
2006-08-29,
2006-08-30,
2006-08-31,
