DATE,PRICE
2006-01-01,
2006-01-02,1070.0
2006-01-03,1080.0
2006-01-04,
2006-01-05,1100.0
2006-01-06,1095.0
2006-01-07,1100.0
2006-01-08,
2006-01-09,1125.0
2006-01-10,1115.0
2006-01-11,
2006-01-12,
2006-01-13,1100.0
2006-01-14,
2006-01-15,
2006-01-16,1075.0
2006-01-17,1090.0
2006-01-18,1085.0
2006-01-19,1085.0
2006-01-20,1082.0
2006-01-21,1070.0
2006-01-22,
2006-01-23,
2006-01-24,
2006-01-25,
2006-01-26,
2006-01-27,
2006-01-28,
2006-01-29,
2006-01-30,
2006-01-31,
2006-02-01,
2006-02-02,
2006-02-03,
2006-02-04,
2006-02-05,
2006-02-06,
2006-02-07,
2006-02-08,
2006-02-09,
2006-02-10,1100.0
2006-02-11,1080.0
2006-02-12,
2006-02-13,
2006-02-14,1095.0
2006-02-15,1125.0
2006-02-16,1250.0
2006-02-17,
2006-02-18,1100.0
2006-02-19,
2006-02-20,1095.0
2006-02-21,1095.0
2006-02-22,1095.0
2006-02-23,
2006-02-24,1085.0
2006-02-25,1095.0
2006-02-26,
2006-02-27,1090.0
2006-02-28,1100.0
2006-03-01,1100.0
2006-03-02,1100.0
2006-03-03,1100.0
2006-03-04,1100.0
2006-03-05,
2006-03-06,1100.0
2006-03-07,1100.0
2006-03-08,1000.0
2006-03-09,1075.0
2006-03-10,1095.0
2006-03-11,1110.0
2006-03-12,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,1100.0
2006-03-17,1105.0
2006-03-18,
2006-03-19,
2006-03-20,1100.0
2006-03-21,
2006-03-22,
2006-03-23,
2006-03-24,
2006-03-25,1100.0
2006-03-26,
2006-03-27,
2006-03-28,
2006-03-29,1100.0
2006-03-30,
2006-03-31,
2006-04-01,
2006-04-02,
2006-04-03,
2006-04-04,
2006-04-05,
2006-04-06,
2006-04-07,1075.0
2006-04-08,1085.0
2006-04-09,
2006-04-10,
2006-04-11,
2006-04-12,1100.0
2006-04-13,
2006-04-14,1100.0
2006-04-15,1100.0
2006-04-16,
2006-04-17,1150.0
2006-04-18,
2006-04-19,1160.0
2006-04-20,1135.0
2006-04-21,1100.0
2006-04-22,1100.0
2006-04-23,
2006-04-24,1150.0
2006-04-25,1125.0
2006-04-26,1050.0
2006-04-27,1100.0
2006-04-28,1200.0
2006-04-29,1200.0
2006-04-30,
2006-05-01,
2006-05-02,
2006-05-03,1230.0
2006-05-04,1200.0
2006-05-05,1200.0
2006-05-06,
2006-05-07,
2006-05-08,1185.0
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,1250.0
2006-05-14,
2006-05-15,
2006-05-16,1230.0
2006-05-17,
2006-05-18,1252.0
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,1180.0
2006-05-24,1200.0
2006-05-25,1180.0
2006-05-26,1180.0
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,
2006-05-31,
2006-06-01,
2006-06-02,
2006-06-03,1170.0
2006-06-04,
2006-06-05,
2006-06-06,1150.0
2006-06-07,1162.0
2006-06-08,
2006-06-09,
2006-06-10,
2006-06-11,
2006-06-12,
2006-06-13,
2006-06-14,
2006-06-15,
2006-06-16,
2006-06-17,
2006-06-18,
2006-06-19,
2006-06-20,
2006-06-21,
2006-06-22,
2006-06-23,
2006-06-24,
2006-06-25,
2006-06-26,
2006-06-27,
2006-06-28,1190.0
2006-06-29,1189.0
2006-06-30,
2006-07-01,
2006-07-02,
2006-07-03,
2006-07-04,
2006-07-05,
2006-07-06,
2006-07-07,
2006-07-08,
2006-07-09,
2006-07-10,
2006-07-11,
2006-07-12,
2006-07-13,
2006-07-14,1214.0
2006-07-15,1200.0
2006-07-16,
2006-07-17,1230.0
2006-07-18,
2006-07-19,
2006-07-20,
2006-07-21,
2006-07-22,1180.0
2006-07-23,
2006-07-24,
2006-07-25,
2006-07-26,
2006-07-27,
2006-07-28,1160.0
2006-07-29,1170.0
2006-07-30,
2006-07-31,1175.0
2006-08-01,
2006-08-02,
2006-08-03,
2006-08-04,
2006-08-05,
2006-08-06,
2006-08-07,
2006-08-08,
2006-08-09,
2006-08-10,
2006-08-11,
2006-08-12,
2006-08-13,
2006-08-14,
2006-08-15,
2006-08-16,
2006-08-17,
2006-08-18,
2006-08-19,
2006-08-20,
2006-08-21,
2006-08-22,
2006-08-23,
2006-08-24,
2006-08-25,
2006-08-26,
2006-08-27,
2006-08-28,
2006-08-29,
2006-08-30,
2006-08-31,
2006-09-01,
2006-09-02,
2006-09-03,
2006-09-04,
2006-09-05,
2006-09-06,
2006-09-07,
2006-09-08,
2006-09-09,
2006-09-10,
2006-09-11,
2006-09-12,
2006-09-13,
2006-09-14,
2006-09-15,
2006-09-16,
2006-09-17,
2006-09-18,
2006-09-19,
2006-09-20,
2006-09-21,
2006-09-22,
2006-09-23,
2006-09-24,
2006-09-25,1100.0
2006-09-26,1130.0
2006-09-27,
2006-09-28,1112.0
2006-09-29,
2006-09-30,
2006-10-01,
2006-10-02,
2006-10-03,1105.0
2006-10-04,
2006-10-05,
2006-10-06,
2006-10-07,
2006-10-08,
2006-10-09,
2006-10-10,
2006-10-11,
2006-10-12,
2006-10-13,
2006-10-14,
2006-10-15,
2006-10-16,
2006-10-17,
2006-10-18,
2006-10-19,
2006-10-20,
2006-10-21,
2006-10-22,
2006-10-23,
2006-10-24,
2006-10-25,
2006-10-26,
2006-10-27,
2006-10-28,
2006-10-29,
2006-10-30,
2006-10-31,
