DATE,PRICE
2006-01-01,
2006-01-02,
2006-01-03,
2006-01-04,
2006-01-05,
2006-01-06,
2006-01-07,
2006-01-08,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,
2006-01-13,
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,
2006-01-18,
2006-01-19,
2006-01-20,
2006-01-21,1100.0
2006-01-22,
2006-01-23,
2006-01-24,1095.0
2006-01-25,1070.0
2006-01-26,
2006-01-27,1075.0
2006-01-28,1100.0
2006-01-29,1100.0
2006-01-30,
2006-01-31,1100.0
2006-02-01,1090.0
2006-02-02,
2006-02-03,
2006-02-04,1110.0
2006-02-05,1110.0
2006-02-06,
2006-02-07,1090.0
2006-02-08,1105.0
2006-02-09,
2006-02-10,1115.0
2006-02-11,1110.0
2006-02-12,1100.0
2006-02-13,
2006-02-14,1105.0
2006-02-15,1105.0
2006-02-16,1115.0
2006-02-17,1120.0
2006-02-18,1125.0
2006-02-19,1125.0
2006-02-20,
2006-02-21,1105.0
2006-02-22,1105.0
2006-02-23,1105.0
2006-02-24,
2006-02-25,1110.0
2006-02-26,
2006-02-27,
2006-02-28,1110.0
2006-03-01,1110.0
2006-03-02,1125.0
2006-03-03,1125.0
2006-03-04,
2006-03-05,1110.0
2006-03-06,
2006-03-07,1100.0
2006-03-08,1100.0
2006-03-09,1100.0
2006-03-10,1100.0
2006-03-11,1100.0
2006-03-12,1090.0
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,1080.0
2006-03-17,1095.0
2006-03-18,1095.0
2006-03-19,1070.0
2006-03-20,
2006-03-21,1080.0
2006-03-22,
2006-03-23,1085.0
2006-03-24,1090.0
2006-03-25,1090.0
2006-03-26,1100.0
2006-03-27,
2006-03-28,1075.0
2006-03-29,1075.0
2006-03-30,
2006-03-31,
2006-04-01,
2006-04-02,
2006-04-03,
2006-04-04,1065.0
2006-04-05,1065.0
2006-04-06,
2006-04-07,1095.0
2006-04-08,1105.0
2006-04-09,1105.0
2006-04-10,
2006-04-11,
2006-04-12,
2006-04-13,
2006-04-14,
2006-04-15,1140.0
2006-04-16,1145.0
2006-04-17,
2006-04-18,1140.0
2006-04-19,1140.0
2006-04-20,1150.0
2006-04-21,1130.0
2006-04-22,1180.0
2006-04-23,1180.0
2006-04-24,
2006-04-25,1200.0
2006-04-26,
2006-04-27,1200.0
2006-04-28,1215.0
2006-04-29,1240.0
2006-04-30,1240.0
2006-05-01,
2006-05-02,1200.0
2006-05-03,1225.0
2006-05-04,1228.0
2006-05-05,1210.0
2006-05-06,1230.0
2006-05-07,1200.0
2006-05-08,
2006-05-09,1215.0
2006-05-10,1230.0
2006-05-11,1240.0
2006-05-12,1290.0
2006-05-13,1290.0
2006-05-14,1260.0
2006-05-15,
2006-05-16,1240.0
2006-05-17,1230.0
2006-05-18,
2006-05-19,1240.0
2006-05-20,1170.0
2006-05-21,1190.0
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,1215.0
2006-05-26,1200.0
2006-05-27,1190.0
2006-05-28,1211.0
2006-05-29,
2006-05-30,
2006-05-31,1195.0
2006-06-01,1165.0
2006-06-02,
2006-06-03,1165.0
2006-06-04,1170.0
2006-06-05,
2006-06-06,1180.0
2006-06-07,1150.0
2006-06-08,1180.0
2006-06-09,1140.0
2006-06-10,1155.0
2006-06-11,1145.0
2006-06-12,
2006-06-13,1180.0
2006-06-14,1170.0
2006-06-15,1170.0
2006-06-16,1175.0
2006-06-17,1165.0
2006-06-18,1150.0
2006-06-19,
2006-06-20,1150.0
2006-06-21,1150.0
2006-06-22,1170.0
2006-06-23,1160.0
2006-06-24,1160.0
2006-06-25,1150.0
2006-06-26,
2006-06-27,1115.0
2006-06-28,1155.0
2006-06-29,1180.0
2006-06-30,1170.0
2006-07-01,1160.0
2006-07-02,1155.0
2006-07-03,
2006-07-04,1150.0
2006-07-05,1145.0
2006-07-06,1150.0
2006-07-07,
2006-07-08,1145.0
2006-07-09,1150.0
2006-07-10,
2006-07-11,1160.0
2006-07-12,1175.0
2006-07-13,1160.0
2006-07-14,1185.0
2006-07-15,1212.0
2006-07-16,1220.0
2006-07-17,
2006-07-18,1210.0
2006-07-19,1095.0
2006-07-20,1140.0
2006-07-21,1197.0
2006-07-22,1180.0
2006-07-23,1171.0
2006-07-24,
2006-07-25,
2006-07-26,1170.0
2006-07-27,1165.0
2006-07-28,
2006-07-29,1190.0
2006-07-30,1160.0
2006-07-31,
2006-08-01,
2006-08-02,
2006-08-03,
2006-08-04,
2006-08-05,
2006-08-06,
2006-08-07,
2006-08-08,
2006-08-09,
2006-08-10,
2006-08-11,
2006-08-12,
2006-08-13,
2006-08-14,
2006-08-15,
2006-08-16,
2006-08-17,
2006-08-18,
2006-08-19,
2006-08-20,
2006-08-21,
2006-08-22,
2006-08-23,
2006-08-24,
2006-08-25,
2006-08-26,
2006-08-27,
2006-08-28,
2006-08-29,
2006-08-30,
2006-08-31,
2006-09-01,1165.0
2006-09-02,1165.0
2006-09-03,
2006-09-04,
2006-09-05,
2006-09-06,1160.0
2006-09-07,
2006-09-08,1155.0
2006-09-09,1140.0
2006-09-10,1070.0
2006-09-11,
2006-09-12,1120.0
2006-09-13,1105.0
2006-09-14,1120.0
2006-09-15,1135.0
2006-09-16,1105.0
2006-09-17,1130.0
2006-09-18,
2006-09-19,
2006-09-20,1115.0
2006-09-21,1130.0
2006-09-22,1125.0
2006-09-23,
2006-09-24,975.0
2006-09-25,
2006-09-26,1040.0
2006-09-27,975.0
2006-09-28,1105.0
2006-09-29,990.0
2006-09-30,
2006-10-01,1060.0
2006-10-02,
2006-10-03,1005.0
2006-10-04,1060.0
2006-10-05,1070.0
2006-10-06,1070.0
2006-10-07,1040.0
2006-10-08,1080.0
2006-10-09,
2006-10-10,1085.0
2006-10-11,1095.0
2006-10-12,1100.0
2006-10-13,1110.0
2006-10-14,1124.0
2006-10-15,1120.0
2006-10-16,
2006-10-17,
2006-10-18,1130.0
2006-10-19,1125.0
2006-10-20,
2006-10-21,
2006-10-22,
2006-10-23,
2006-10-24,
2006-10-25,
2006-10-26,1120.0
2006-10-27,1165.0
2006-10-28,1165.0
2006-10-29,1165.0
2006-10-30,
2006-10-31,
2006-11-01,1175.0
2006-11-02,1200.0
2006-11-03,1215.0
2006-11-04,1250.0
2006-11-05,
2006-11-06,
2006-11-07,1230.0
2006-11-08,1230.0
2006-11-09,1260.0
2006-11-10,1270.0
2006-11-11,1290.0
2006-11-12,1305.0
2006-11-13,
2006-11-14,1290.0
2006-11-15,1305.0
2006-11-16,1290.0
2006-11-17,1305.0
2006-11-18,1290.0
2006-11-19,1305.0
2006-11-20,
2006-11-21,1335.0
2006-11-22,1330.0
2006-11-23,1330.0
2006-11-24,1340.0
2006-11-25,1350.0
2006-11-26,1340.0
2006-11-27,
2006-11-28,1360.0
2006-11-29,
2006-11-30,
2006-12-01,1340.0
2006-12-02,1320.0
2006-12-03,1320.0
2006-12-04,
2006-12-05,1275.0
2006-12-06,1310.0
2006-12-07,1300.0
2006-12-08,1310.0
2006-12-09,1305.0
2006-12-10,1285.0
2006-12-11,
2006-12-12,1315.0
2006-12-13,1300.0
2006-12-14,1310.0
2006-12-15,1300.0
2006-12-16,1290.0
2006-12-17,1300.0
2006-12-18,
2006-12-19,1300.0
2006-12-20,1290.0
2006-12-21,1290.0
2006-12-22,1315.0
2006-12-23,1315.0
2006-12-24,1350.0
2006-12-25,
2006-12-26,1350.0
2006-12-27,1325.0
2006-12-28,1335.0
2006-12-29,1335.0
2006-12-30,1340.0
2006-12-31,1325.0
