DATE,PRICE
2006-01-01,
2006-01-02,1060.0
2006-01-03,1068.0
2006-01-04,1076.0
2006-01-05,1070.0
2006-01-06,1060.0
2006-01-07,
2006-01-08,
2006-01-09,1087.0
2006-01-10,1085.0
2006-01-11,1101.0
2006-01-12,1104.0
2006-01-13,1100.0
2006-01-14,
2006-01-15,
2006-01-16,1090.0
2006-01-17,1106.0
2006-01-18,1094.0
2006-01-19,1089.0
2006-01-20,1085.0
2006-01-21,1096.0
2006-01-22,
2006-01-23,
2006-01-24,
2006-01-25,1101.0
2006-01-26,
2006-01-27,1096.0
2006-01-28,
2006-01-29,
2006-01-30,1090.0
2006-01-31,1096.0
2006-02-01,1095.0
2006-02-02,
2006-02-03,1093.0
2006-02-04,
2006-02-05,
2006-02-06,
2006-02-07,
2006-02-08,1106.0
2006-02-09,1110.0
2006-02-10,1120.0
2006-02-11,1120.0
2006-02-12,
2006-02-13,1117.0
2006-02-14,1119.0
2006-02-15,1113.0
2006-02-16,1112.0
2006-02-17,1120.0
2006-02-18,
2006-02-19,
2006-02-20,1125.0
2006-02-21,1128.0
2006-02-22,1118.0
2006-02-23,1115.0
2006-02-24,1116.0
2006-02-25,1113.0
2006-02-26,
2006-02-27,1110.0
2006-02-28,1112.0
2006-03-01,1110.0
2006-03-02,
2006-03-03,1120.0
2006-03-04,1121.0
2006-03-05,
2006-03-06,1118.0
2006-03-07,1125.0
2006-03-08,1118.0
2006-03-09,1113.0
2006-03-10,1124.0
2006-03-11,1108.0
2006-03-12,
2006-03-13,1101.0
2006-03-14,
2006-03-15,
2006-03-16,1095.0
2006-03-17,
2006-03-18,
2006-03-19,
2006-03-20,1092.0
2006-03-21,1095.0
2006-03-22,1090.0
2006-03-23,1106.0
2006-03-24,1095.0
2006-03-25,
2006-03-26,
2006-03-27,1099.0
2006-03-28,1099.0
2006-03-29,
2006-03-30,
2006-03-31,
2006-04-01,
2006-04-02,
2006-04-03,
2006-04-04,1090.0
2006-04-05,
2006-04-06,
2006-04-07,
2006-04-08,
2006-04-09,
2006-04-10,
2006-04-11,
2006-04-12,
2006-04-13,
2006-04-14,
2006-04-15,
2006-04-16,
2006-04-17,
2006-04-18,
2006-04-19,
2006-04-20,
2006-04-21,
2006-04-22,
2006-04-23,
2006-04-24,
