DATE,ARRIVAL,IMPUTED
2006-01-01,635,1
2006-01-02,635,0
2006-01-03,646,1
2006-01-04,657,0
2006-01-05,508,0
2006-01-06,582,0
2006-01-07,505,0
2006-01-08,488,1
2006-01-09,531,0
2006-01-10,548,0
2006-01-11,502,1
2006-01-12,481,0
2006-01-13,508,1
2006-01-14,499,1
2006-01-15,502,1
2006-01-16,479,0
2006-01-17,449,0
2006-01-18,544,0
2006-01-19,492,0
2006-01-20,482,0
2006-01-21,442,0
2006-01-22,599,1
2006-01-23,474,0
2006-01-24,485,0
2006-01-25,514,1
2006-01-26,493,1
2006-01-27,494,1
2006-01-28,501,1
2006-01-29,497,1
2006-01-30,496,1
2006-01-31,498,1
2006-02-01,482,0
2006-02-02,306,0
2006-02-03,203,0
2006-02-04,350,0
2006-02-05,482,1
2006-02-06,482,1
2006-02-07,414,0
2006-02-08,383,0
2006-02-09,477,1
2006-02-10,477,1
2006-02-11,449,0
2006-02-12,477,1
2006-02-13,477,1
2006-02-14,473,0
2006-02-15,275,0
2006-02-16,323,0
2006-02-17,427,1
2006-02-18,373,0
2006-02-19,420,1
2006-02-20,316,0
2006-02-21,244,0
2006-02-22,205,0
2006-02-23,189,0
2006-02-24,163,0
2006-02-25,237,0
2006-02-26,268,1
2006-02-27,263,1
2006-02-28,183,0
2006-03-01,143,0
2006-03-02,163,0
2006-03-03,198,0
2006-03-04,190,1
2006-03-05,185,1
2006-03-06,179,1
2006-03-07,282,0
2006-03-08,263,0
2006-03-09,199,0
2006-03-10,191,1
2006-03-11,241,0
2006-03-12,191,1
2006-03-13,186,1
2006-03-14,57,0
2006-03-15,155,1
2006-03-16,47,0
2006-03-17,94,0
2006-03-18,158,0
2006-03-19,118,1
2006-03-20,112,1
2006-03-21,178,0
2006-03-22,216,0
2006-03-23,262,0
2006-03-24,293,0
2006-03-25,176,1
2006-03-26,171,1
2006-03-27,337,0
2006-03-28,241,0
2006-03-29,235,1
2006-03-30,235,1
2006-03-31,235,1
