DATE,PRICE,IMPUTED
2006-01-01,1075,1
2006-01-02,1075,0
2006-01-03,1085,0
2006-01-04,1100,0
2006-01-05,1100,0
2006-01-06,1105,0
2006-01-07,1110,0
2006-01-08,1108,1
2006-01-09,1120,0
2006-01-10,1115,0
2006-01-11,1114,1
2006-01-12,1120,0
2006-01-13,1110,0
2006-01-14,1110,1
2006-01-15,1110,1
2006-01-16,1100,0
2006-01-17,1100,0
2006-01-18,1115,0
2006-01-19,1110,0
2006-01-20,1100,0
2006-01-21,1110,0
2006-01-22,1111,1
2006-01-23,1135,0
2006-01-24,1125,0
2006-01-25,1120,0
2006-01-26,1120,1
2006-01-27,1115,0
2006-01-28,1130,0
2006-01-29,1130,1
2006-01-30,1125,0
2006-01-31,1135,0
2006-02-01,1130,0
2006-02-02,1120,0
2006-02-03,1110,0
2006-02-04,1110,0
2006-02-05,1110,1
2006-02-06,1120,0
2006-02-07,1120,0
2006-02-08,1120,0
2006-02-09,1115,0
2006-02-10,1125,0
2006-02-11,1120,0
2006-02-12,1120,1
2006-02-13,1125,0
2006-02-14,1120,0
2006-02-15,1125,0
2006-02-16,1125,0
2006-02-17,1150,0
2006-02-18,1150,0
2006-02-19,1150,1
2006-02-20,1150,1
2006-02-21,1150,1
2006-02-22,1125,0
2006-02-23,1120,0
2006-02-24,1125,0
2006-02-25,1125,1
2006-02-26,1125,1
2006-02-27,1125,1
2006-02-28,1125,1
2006-03-01,1130,0
2006-03-02,1119,0
2006-03-03,1155,0
2006-03-04,1155,0
2006-03-05,1155,1
2006-03-06,1155,0
2006-03-07,1150,0
2006-03-08,1150,0
2006-03-09,1150,0
2006-03-10,1130,0
2006-03-11,1130,0
2006-03-12,1130,1
2006-03-13,1130,1
2006-03-14,1130,0
2006-03-15,1130,1
2006-03-16,1130,1
2006-03-17,1115,0
2006-03-18,1120,0
2006-03-19,1120,1
2006-03-20,1120,0
2006-03-21,1100,0
2006-03-22,1100,0
2006-03-23,1110,0
2006-03-24,1108,0
2006-03-25,1108,1
2006-03-26,1108,1
2006-03-27,1115,0
2006-03-28,1110,0
2006-03-29,1115,0
2006-03-30,1070,0
2006-03-31,1110,0
2006-04-01,1096,1
2006-04-02,1101,1
2006-04-03,1099,1
2006-04-04,1111,0
2006-04-05,1112,0
2006-04-06,1111,1
2006-04-07,1125,0
2006-04-08,1123,0
2006-04-09,1123,1
2006-04-10,1133,0
2006-04-11,1128,1
2006-04-12,1135,0
2006-04-13,1130,1
2006-04-14,1128,1
2006-04-15,1127,1
2006-04-16,1125,1
2006-04-17,1124,1
2006-04-18,1123,1
2006-04-19,1185,0
2006-04-20,1159,1
2006-04-21,1202,0
2006-04-22,1191,0
2006-04-23,1195,1
2006-04-24,1200,0
2006-04-25,1225,0
2006-04-26,1216,1
2006-04-27,1220,0
2006-04-28,1227,0
2006-04-29,1235,0
2006-04-30,1233,1
2006-05-01,1250,0
2006-05-02,1245,1
2006-05-03,1249,1
2006-05-04,1262,0
2006-05-05,1245,0
2006-05-06,1210,0
2006-05-07,1224,1
2006-05-08,1250,0
2006-05-09,1215,0
2006-05-10,1245,0
2006-05-11,1265,0
2006-05-12,1259,1
2006-05-13,1265,0
2006-05-14,1265,1
2006-05-15,1267,1
2006-05-16,1250,0
2006-05-17,1255,0
2006-05-18,1265,0
2006-05-19,1270,0
2006-05-20,1270,1
2006-05-21,1272,1
2006-05-22,1260,0
2006-05-23,1260,0
2006-05-24,1245,0
2006-05-25,1233,0
2006-05-26,1265,0
2006-05-27,1255,1
2006-05-28,1260,1
2006-05-29,1250,0
2006-05-30,1255,1
2006-05-31,1255,1
2006-06-01,1256,1
2006-06-02,1205,0
2006-06-03,1235,0
2006-06-04,1224,1
2006-06-05,1220,0
2006-06-06,1275,0
2006-06-07,1225,0
2006-06-08,1245,1
2006-06-09,1210,0
2006-06-10,1225,0
