DATE,PRICE,IMPUTED
2006-01-01,1124,1
2006-01-02,1124,1
2006-01-03,1124,1
2006-01-04,1124,1
2006-01-05,1124,1
2006-01-06,1124,1
2006-01-07,1124,1
2006-01-08,1124,1
2006-01-09,1124,1
2006-01-10,1124,1
2006-01-11,1124,1
2006-01-12,1124,1
2006-01-13,1124,0
2006-01-14,1122,1
2006-01-15,1120,1
2006-01-16,1119,0
2006-01-17,1124,0
2006-01-18,975,1
2006-01-19,1119,0
2006-01-20,1130,0
2006-01-21,1118,0
2006-01-22,1093,1
2006-01-23,1017,1
2006-01-24,1130,0
2006-01-25,1127,0
2006-01-26,1038,1
2006-01-27,1026,1
2006-01-28,1118,0
2006-01-29,1101,1
2006-01-30,1124,0
2006-01-31,1136,0
2006-02-01,1400,0
2006-02-02,1105,0
2006-02-03,1670,0
2006-02-04,1105,0
2006-02-05,898,1
2006-02-06,1123,0
2006-02-07,1124,0
2006-02-08,1082,1
2006-02-09,1128,0
2006-02-10,1101,1
2006-02-11,1135,0
2006-02-12,1106,1
2006-02-13,1072,1
2006-02-14,1117,0
2006-02-15,1121,0
2006-02-16,1135,0
2006-02-17,1135,0
2006-02-18,1154,0
2006-02-19,1110,1
2006-02-20,1128,0
2006-02-21,1106,1
2006-02-22,1128,0
2006-02-23,1106,1
2006-02-24,1081,1
2006-02-25,1081,1
2006-02-26,1081,1
2006-02-27,1081,1
2006-02-28,1081,1
2006-03-01,1131,0
2006-03-02,1109,1
2006-03-03,1083,1
2006-03-04,1083,1
2006-03-05,1083,1
2006-03-06,1143,0
2006-03-07,1130,0
2006-03-08,1092,1
2006-03-09,1084,1
2006-03-10,1084,1
2006-03-11,1084,1
2006-03-12,1084,1
2006-03-13,1084,1
2006-03-14,1084,1
2006-03-15,1084,1
2006-03-16,1084,1
2006-03-17,1128,0
2006-03-18,1108,1
2006-03-19,1085,1
2006-03-20,1085,1
2006-03-21,1085,1
2006-03-22,1085,1
2006-03-23,1085,1
2006-03-24,1085,1
