DATE,PRICE,IMPUTED
2006-01-01,1090,1
2006-01-02,1090,0
2006-01-03,1095,0
2006-01-04,1115,0
2006-01-05,1115,0
2006-01-06,1100,0
2006-01-07,1120,0
2006-01-08,1103,1
2006-01-09,1140,0
2006-01-10,1130,0
2006-01-11,1109,1
2006-01-12,1125,0
2006-01-13,1115,0
2006-01-14,1124,0
2006-01-15,1112,1
2006-01-16,1130,0
2006-01-17,1125,0
2006-01-18,1110,0
2006-01-19,1115,0
2006-01-20,1115,0
2006-01-21,1120,0
2006-01-22,1114,1
2006-01-23,1120,0
2006-01-24,1125,0
2006-01-25,1117,1
2006-01-26,1115,1
2006-01-27,1110,0
2006-01-28,1120,0
2006-01-29,1116,1
2006-01-30,1120,0
2006-01-31,1140,0
2006-02-01,1130,0
2006-02-02,1121,1
2006-02-03,1130,0
2006-02-04,1130,0
2006-02-05,1130,1
2006-02-06,1140,0
2006-02-07,1135,0
2006-02-08,1120,0
2006-02-09,1140,0
2006-02-10,1142,0
2006-02-11,1130,0
2006-02-12,1136,1
2006-02-13,1130,0
2006-02-14,1130,0
2006-02-15,1132,0
2006-02-16,1150,0
2006-02-17,1150,0
2006-02-18,1160,0
2006-02-19,1151,1
2006-02-20,1135,0
2006-02-21,1140,0
2006-02-22,1130,0
2006-02-23,1130,0
2006-02-24,1150,0
2006-02-25,1143,1
2006-02-26,1144,1
2006-02-27,1145,0
2006-02-28,1140,0
2006-03-01,1145,0
2006-03-02,1160,0
2006-03-03,1160,0
2006-03-04,1155,0
2006-03-05,1155,1
2006-03-06,1150,0
2006-03-07,1140,0
2006-03-08,1145,0
2006-03-09,1145,0
2006-03-10,1144,0
2006-03-11,1150,0
2006-03-12,1149,1
2006-03-13,1140,0
2006-03-14,1147,1
2006-03-15,1147,1
2006-03-16,1130,0
2006-03-17,1105,0
2006-03-18,1120,0
2006-03-19,1127,1
2006-03-20,1110,0
2006-03-21,1110,0
2006-03-22,1100,0
2006-03-23,1120,0
2006-03-24,1122,0
2006-03-25,1110,0
2006-03-26,1114,1
2006-03-27,1090,0
2006-03-28,1116,0
2006-03-29,1113,0
2006-03-30,1113,0
2006-03-31,1116,1
2006-04-01,1110,1
2006-04-02,1114,1
2006-04-03,1090,0
2006-04-04,1106,0
2006-04-05,1115,0
2006-04-06,1108,1
2006-04-07,1109,1
2006-04-08,1130,0
2006-04-09,1121,1
2006-04-10,1150,0
2006-04-11,1161,0
2006-04-12,1150,0
2006-04-13,1147,1
2006-04-14,1143,1
2006-04-15,1155,0
2006-04-16,1146,1
2006-04-17,1136,0
2006-04-18,1160,0
2006-04-19,1153,1
2006-04-20,1145,1
2006-04-21,1133,0
2006-04-22,1174,0
2006-04-23,1154,1
2006-04-24,1193,0
2006-04-25,1200,0
2006-04-26,1200,0
2006-04-27,1210,0
2006-04-28,1242,0
2006-04-29,1229,1
2006-04-30,1231,1
2006-05-01,1232,1
2006-05-02,1263,0
2006-05-03,1268,0
2006-05-04,1264,1
2006-05-05,1260,0
2006-05-06,1281,0
2006-05-07,1281,1
2006-05-08,1258,0
2006-05-09,1267,0
2006-05-10,1275,0
2006-05-11,1290,0
2006-05-12,1285,1
2006-05-13,1329,0
2006-05-14,1316,1
2006-05-15,1322,1
2006-05-16,1300,0
2006-05-17,1305,0
2006-05-18,1308,1
2006-05-19,1298,0
2006-05-20,1291,0
2006-05-21,1296,1
2006-05-22,1298,1
2006-05-23,1265,0
2006-05-24,1268,0
2006-05-25,1272,1
2006-05-26,1281,0
2006-05-27,1280,0
2006-05-28,1281,1
2006-05-29,1260,0
2006-05-30,1265,0
2006-05-31,1266,0
2006-06-01,1255,0
2006-06-02,1260,1
2006-06-03,1261,1
2006-06-04,1262,1
2006-06-05,1240,0
2006-06-06,1240,0
2006-06-07,1245,0
2006-06-08,1245,0
2006-06-09,1246,1
2006-06-10,1239,0
2006-06-11,1239,1
2006-06-12,1253,0
2006-06-13,1220,0
2006-06-14,1238,0
2006-06-15,1200,0
2006-06-16,1230,0
2006-06-17,1213,0
2006-06-18,1219,1
2006-06-19,1225,0
2006-06-20,1220,0
2006-06-21,1210,0
2006-06-22,1215,0
2006-06-23,1213,0
2006-06-24,1211,1
2006-06-25,1218,0
2006-06-26,1220,0
2006-06-27,1222,0
2006-06-28,1220,0
2006-06-29,1206,0
2006-06-30,1213,0
2006-07-01,1218,0
2006-07-02,1214,1
2006-07-03,1215,0
2006-07-04,1210,0
2006-07-05,1205,0
2006-07-06,1200,0
2006-07-07,1200,0
2006-07-08,1210,0
2006-07-09,1204,1
2006-07-10,1214,0
2006-07-11,1190,0
2006-07-12,1195,0
2006-07-13,1220,0
2006-07-14,1230,0
2006-07-15,1260,0
2006-07-16,1250,1
2006-07-17,1260,0
2006-07-18,1240,0
2006-07-19,1250,0
2006-07-20,1240,0
2006-07-21,1243,1
2006-07-22,1225,0
2006-07-23,1231,1
2006-07-24,1220,0
2006-07-25,1229,0
2006-07-26,1225,0
2006-07-27,1200,0
2006-07-28,1208,1
2006-07-29,1205,1
2006-07-30,1206,1
2006-07-31,1206,1
2006-08-01,1206,1
2006-08-02,1206,1
2006-08-03,1206,1
2006-08-04,1206,1
2006-08-05,1206,1
2006-08-06,1206,1
2006-08-07,1206,1
2006-08-08,1206,1
2006-08-09,1206,1
2006-08-10,1206,1
2006-08-11,1206,1
2006-08-12,1206,1
2006-08-13,1206,1
2006-08-14,1206,1
2006-08-15,1206,1
2006-08-16,1206,1
2006-08-17,1206,1
2006-08-18,1206,1
2006-08-19,1206,1
2006-08-20,1206,1
2006-08-21,1206,1
2006-08-22,1206,1
2006-08-23,1206,1
2006-08-24,1206,1
2006-08-25,1206,1
2006-08-26,1206,1
2006-08-27,1206,1
2006-08-28,1206,1
2006-08-29,1206,1
2006-08-30,1206,1
2006-08-31,1206,1
2006-09-01,1206,1
2006-09-02,1190,0
2006-09-03,1195,1
2006-09-04,1211,0
2006-09-05,1225,0
2006-09-06,1225,0
2006-09-07,1215,0
2006-09-08,1215,0
2006-09-09,1210,0
2006-09-10,1211,1
2006-09-11,1190,0
2006-09-12,1185,0
2006-09-13,1170,0
2006-09-14,1170,0
2006-09-15,1185,0
2006-09-16,1195,0
2006-09-17,1191,1
2006-09-18,1180,0
2006-09-19,1150,0
2006-09-20,1170,0
2006-09-21,1160,0
2006-09-22,1151,0
2006-09-23,1170,0
2006-09-24,1164,1
2006-09-25,1145,0
2006-09-26,1139,0
2006-09-27,1157,0
2006-09-28,1155,0
2006-09-29,1150,0
2006-09-30,1160,0
2006-10-01,1157,1
2006-10-02,1157,1
2006-10-03,1155,0
2006-10-04,1153,0
2006-10-05,1153,1
2006-10-06,1155,0
2006-10-07,1170,0
2006-10-08,1165,1
2006-10-09,1145,0
2006-10-10,1120,0
2006-10-11,1130,0
2006-10-12,1130,0
2006-10-13,1125,0
2006-10-14,1172,0
2006-10-15,1158,1
2006-10-16,1100,0
2006-10-17,1130,0
2006-10-18,1135,0
