DATE,PRICE,IMPUTED
2006-01-01,1125,1
2006-01-02,1125,1
2006-01-03,1125,1
2006-01-04,1125,1
2006-01-05,1125,1
2006-01-06,1125,1
2006-01-07,1125,1
2006-01-08,1125,1
2006-01-09,1125,1
2006-01-10,1125,1
2006-01-11,1125,1
2006-01-12,1125,1
2006-01-13,1125,1
2006-01-14,1125,1
2006-01-15,1125,1
2006-01-16,1125,1
2006-01-17,1125,1
2006-01-18,1125,1
2006-01-19,1125,1
2006-01-20,1125,1
2006-01-21,1125,1
2006-01-22,1125,1
2006-01-23,1125,1
2006-01-24,1125,1
2006-01-25,1125,1
2006-01-26,1125,1
2006-01-27,1125,1
2006-01-28,1125,1
2006-01-29,1125,1
2006-01-30,1125,1
2006-01-31,1125,1
2006-02-01,1125,1
2006-02-02,1125,1
2006-02-03,1125,1
2006-02-04,1125,1
2006-02-05,1125,1
2006-02-06,1125,1
2006-02-07,1125,1
2006-02-08,1125,1
2006-02-09,1125,1
2006-02-10,1125,1
2006-02-11,1125,1
2006-02-12,1125,1
2006-02-13,1125,1
2006-02-14,1125,1
2006-02-15,1125,1
2006-02-16,1125,1
2006-02-17,1125,1
2006-02-18,1125,1
2006-02-19,1125,1
2006-02-20,1125,1
2006-02-21,1125,1
2006-02-22,1125,1
2006-02-23,1125,1
2006-02-24,1125,1
2006-02-25,1125,1
2006-02-26,1125,1
2006-02-27,1125,1
2006-02-28,1125,1
2006-03-01,1125,1
2006-03-02,1125,1
2006-03-03,1125,1
2006-03-04,1125,1
2006-03-05,1125,1
2006-03-06,1125,1
2006-03-07,1125,1
2006-03-08,1125,1
2006-03-09,1125,1
2006-03-10,1125,1
2006-03-11,1125,1
2006-03-12,1125,1
2006-03-13,1125,0
2006-03-14,1100,0
2006-03-15,1124,1
2006-03-16,1105,0
2006-03-17,1100,0
2006-03-18,1110,0
2006-03-19,1107,1
2006-03-20,1105,0
2006-03-21,1107,0
2006-03-22,1105,1
2006-03-23,1115,0
2006-03-24,1105,0
2006-03-25,1108,0
2006-03-26,1109,1
2006-03-27,1100,0
2006-03-28,1086,0
2006-03-29,1105,0
2006-03-30,1109,0
2006-03-31,1099,1
2006-04-01,1103,1
2006-04-02,1103,1
2006-04-03,1090,0
2006-04-04,1105,0
2006-04-05,1115,0
2006-04-06,1105,1
2006-04-07,1114,0
2006-04-08,1121,0
2006-04-09,1114,1
2006-04-10,1144,0
2006-04-11,1126,1
2006-04-12,1157,0
2006-04-13,1148,0
2006-04-14,1143,0
2006-04-15,1160,0
2006-04-16,1149,1
2006-04-17,1160,0
2006-04-18,1150,0
2006-04-19,1164,0
2006-04-20,1140,0
2006-04-21,1161,0
2006-04-22,1185,0
2006-04-23,1166,1
2006-04-24,1217,0
2006-04-25,1217,0
2006-04-26,1208,0
2006-04-27,1200,0
2006-04-28,1200,0
2006-04-29,1240,0
2006-04-30,1217,1
2006-05-01,1245,0
2006-05-02,1231,0
2006-05-03,1234,0
2006-05-04,1235,0
2006-05-05,1245,0
2006-05-06,1235,0
2006-05-07,1238,1
2006-05-08,1240,0
2006-05-09,1240,0
2006-05-10,1200,0
2006-05-11,1256,0
2006-05-12,1285,0
2006-05-13,1298,0
2006-05-14,1294,1
2006-05-15,1308,0
2006-05-16,1295,0
2006-05-17,1300,0
2006-05-18,1300,0
2006-05-19,1294,0
2006-05-20,1289,0
2006-05-21,1292,1
2006-05-22,1280,0
2006-05-23,1270,0
2006-05-24,1275,0
2006-05-25,1274,1
2006-05-26,1273,0
2006-05-27,1269,0
2006-05-28,1271,1
2006-05-29,1263,0
2006-05-30,1233,0
2006-05-31,1240,0
2006-06-01,1225,0
2006-06-02,1230,0
2006-06-03,1255,0
2006-06-04,1246,1
2006-06-05,1245,0
2006-06-06,1242,0
2006-06-07,1236,0
2006-06-08,1235,0
2006-06-09,1230,0
2006-06-10,1230,0
2006-06-11,1230,1
2006-06-12,1240,0
2006-06-13,1247,0
2006-06-14,1229,0
2006-06-15,1222,0
2006-06-16,1224,0
2006-06-17,1224,0
2006-06-18,1224,1
2006-06-19,1224,1
2006-06-20,1196,0
2006-06-21,1211,0
2006-06-22,1215,0
2006-06-23,1225,0
2006-06-24,1220,0
2006-06-25,1221,1
2006-06-26,1215,0
2006-06-27,1211,0
2006-06-28,1215,0
2006-06-29,1200,0
2006-06-30,1213,0
2006-07-01,1210,0
2006-07-02,1211,1
2006-07-03,1210,0
2006-07-04,1205,0
2006-07-05,1190,0
2006-07-06,1185,0
2006-07-07,1175,0
2006-07-08,1173,0
2006-07-09,1173,1
2006-07-10,1174,0
2006-07-11,1166,0
2006-07-12,1187,0
2006-07-13,1190,0
2006-07-14,1200,0
2006-07-15,1215,0
2006-07-16,1210,1
2006-07-17,1232,0
2006-07-18,1215,0
2006-07-19,1205,0
2006-07-20,1206,0
2006-07-21,1203,0
2006-07-22,1207,0
2006-07-23,1205,1
2006-07-24,1210,0
2006-07-25,1205,0
2006-07-26,1199,0
2006-07-27,1189,0
2006-07-28,1192,1
2006-07-29,1197,0
2006-07-30,1195,1
2006-07-31,1200,0
2006-08-01,1198,1
2006-08-02,1199,1
2006-08-03,1198,1
2006-08-04,1198,1
2006-08-05,1198,1
2006-08-06,1198,1
2006-08-07,1198,1
2006-08-08,1198,1
2006-08-09,1198,1
2006-08-10,1198,1
2006-08-11,1198,1
2006-08-12,1198,1
2006-08-13,1198,1
2006-08-14,1198,1
2006-08-15,1198,1
2006-08-16,1198,1
2006-08-17,1198,1
2006-08-18,1198,1
2006-08-19,1198,1
2006-08-20,1198,1
2006-08-21,1198,1
2006-08-22,1198,1
2006-08-23,1198,1
2006-08-24,1198,1
2006-08-25,1198,1
2006-08-26,1198,1
2006-08-27,1198,1
2006-08-28,1198,1
2006-08-29,1198,1
2006-08-30,1198,1
2006-08-31,1198,1
2006-09-01,1198,1
2006-09-02,1165,0
2006-09-03,1175,1
2006-09-04,1175,0
2006-09-05,1174,0
2006-09-06,1174,1
2006-09-07,1170,0
2006-09-08,1165,0
2006-09-09,1165,0
2006-09-10,1165,1
2006-09-11,1155,0
2006-09-12,1158,1
2006-09-13,1146,0
2006-09-14,1161,0
2006-09-15,1150,0
2006-09-16,1168,0
2006-09-17,1162,1
2006-09-18,1155,0
2006-09-19,1160,0
2006-09-20,1165,0
2006-09-21,1163,1
2006-09-22,1164,0
2006-09-23,1150,0
2006-09-24,1154,1
2006-09-25,1146,0
2006-09-26,1130,0
2006-09-27,1142,0
2006-09-28,1121,0
2006-09-29,1150,0
2006-09-30,1119,0
2006-10-01,1130,1
2006-10-02,1126,1
2006-10-03,1125,0
2006-10-04,1125,0
2006-10-05,1125,0
2006-10-06,1137,0
2006-10-07,1132,1
2006-10-08,1134,1
2006-10-09,1125,0
2006-10-10,1120,0
2006-10-11,1118,0
2006-10-12,1115,0
2006-10-13,1117,0
2006-10-14,1130,0
2006-10-15,1125,1
2006-10-16,1118,0
2006-10-17,1118,0
2006-10-18,1118,0
2006-10-19,1120,0
2006-10-20,1119,1
2006-10-21,1119,1
2006-10-22,1119,1
2006-10-23,1119,1
2006-10-24,1119,1
2006-10-25,1130,0
2006-10-26,1135,0
2006-10-27,1135,0
2006-10-28,1160,0
2006-10-29,1151,1
2006-10-30,1165,0
2006-10-31,1170,0
2006-11-01,1165,0
2006-11-02,1197,0
2006-11-03,1227,0
2006-11-04,1260,0
