DATE,PRICE,IMPUTED
2006-01-01,1105,1
2006-01-02,1075,0
2006-01-03,1085,0
2006-01-04,1105,0
2006-01-05,1100,0
2006-01-06,1110,0
2006-01-07,1120,0
2006-01-08,1117,1
2006-01-09,1130,0
2006-01-10,1135,0
2006-01-11,1120,0
2006-01-12,1125,0
2006-01-13,1125,0
2006-01-14,1129,1
2006-01-15,1133,1
2006-01-16,1137,1
2006-01-17,1135,0
2006-01-18,1120,0
2006-01-19,1120,1
2006-01-20,1125,0
2006-01-21,1145,0
2006-01-22,1148,1
2006-01-23,1145,0
2006-01-24,1135,0
2006-01-25,1120,0
2006-01-26,1120,1
2006-01-27,1105,0
2006-01-28,1120,0
2006-01-29,1120,1
2006-01-30,1125,0
2006-01-31,1135,0
2006-02-01,1125,0
2006-02-02,1123,1
2006-02-03,1120,0
2006-02-04,1119,1
2006-02-05,1118,1
2006-02-06,1135,0
2006-02-07,1140,0
2006-02-08,1135,0
2006-02-09,1135,0
2006-02-10,1140,0
2006-02-11,1135,0
2006-02-12,1135,1
2006-02-13,1140,0
2006-02-14,1135,0
2006-02-15,1140,0
2006-02-16,1145,0
2006-02-17,1150,0
2006-02-18,1155,0
2006-02-19,1155,1
2006-02-20,1135,0
2006-02-21,1140,0
2006-02-22,1130,0
2006-02-23,1120,0
2006-02-24,1135,0
2006-02-25,1140,0
2006-02-26,1140,1
2006-02-27,1140,1
2006-02-28,1145,0
2006-03-01,1150,0
2006-03-02,1155,0
2006-03-03,1160,0
2006-03-04,1145,0
2006-03-05,1145,1
2006-03-06,1140,0
2006-03-07,1135,0
2006-03-08,1150,0
2006-03-09,1140,0
2006-03-10,1140,0
2006-03-11,1135,0
2006-03-12,1135,1
2006-03-13,1140,0
2006-03-14,1130,0
2006-03-15,1130,1
2006-03-16,1125,0
2006-03-17,1120,0
2006-03-18,1120,0
2006-03-19,1120,1
2006-03-20,1105,0
2006-03-21,1100,0
2006-03-22,1110,0
2006-03-23,1105,0
2006-03-24,1135,0
2006-03-25,1105,0
2006-03-26,1105,1
2006-03-27,1110,0
2006-03-28,1125,0
2006-03-29,1125,1
2006-03-30,1120,0
2006-03-31,1115,0
2006-04-01,1116,1
2006-04-02,1116,1
2006-04-03,1120,0
2006-04-04,1130,0
2006-04-05,1120,0
2006-04-06,1121,1
2006-04-07,1130,0
2006-04-08,1150,0
2006-04-09,1144,1
2006-04-10,1141,1
2006-04-11,1137,1
2006-04-12,1135,1
2006-04-13,1155,0
2006-04-14,1145,0
2006-04-15,1160,0
2006-04-16,1153,1
2006-04-17,1165,0
2006-04-18,1170,0
2006-04-19,1180,0
2006-04-20,1175,0
2006-04-21,1170,0
2006-04-22,1205,0
2006-04-23,1199,1
2006-04-24,1190,0
2006-04-25,1210,0
2006-04-26,1215,0
2006-04-27,1240,0
2006-04-28,1255,0
2006-04-29,1250,0
2006-04-30,1251,1
2006-05-01,691,0
2006-05-02,1255,0
2006-05-03,1159,1
2006-05-04,1245,0
2006-05-05,1260,0
2006-05-06,1255,0
2006-05-07,1187,1
2006-05-08,1255,0
2006-05-09,1280,0
2006-05-10,1290,0
2006-05-11,1290,0
2006-05-12,1295,0
2006-05-13,1300,0
2006-05-14,1258,1
2006-05-15,1330,0
2006-05-16,1295,0
2006-05-17,1300,0
2006-05-18,1305,0
2006-05-19,1305,0
2006-05-20,1270,0
2006-05-21,1291,1
2006-05-22,1270,0
2006-05-23,1260,0
2006-05-24,1270,0
2006-05-25,1210,0
2006-05-26,1290,0
2006-05-27,1270,0
2006-05-28,1277,1
2006-05-29,1260,0
2006-05-30,1260,0
2006-05-31,1240,0
2006-06-01,1265,0
2006-06-02,1235,0
2006-06-03,1250,0
2006-06-04,1264,1
2006-06-05,1250,0
2006-06-06,1250,0
2006-06-07,1235,0
2006-06-08,1240,0
2006-06-09,1260,0
2006-06-10,1235,0
2006-06-11,1248,1
2006-06-12,1250,0
2006-06-13,1245,0
2006-06-14,1245,0
2006-06-15,1240,0
2006-06-16,1245,0
2006-06-17,1200,0
2006-06-18,1245,1
2006-06-19,1205,0
2006-06-20,1205,0
2006-06-21,1205,0
2006-06-22,1225,0
2006-06-23,1225,0
2006-06-24,1215,0
2006-06-25,1221,1
2006-06-26,1210,0
2006-06-27,1210,0
2006-06-28,1200,0
2006-06-29,1240,0
2006-06-30,1235,0
2006-07-01,1222,1
2006-07-02,1222,1
2006-07-03,1215,0
2006-07-04,1220,0
2006-07-05,1220,1
2006-07-06,1200,0
2006-07-07,1215,0
2006-07-08,1205,0
2006-07-09,1214,1
2006-07-10,1205,0
2006-07-11,1190,0
2006-07-12,1205,0
2006-07-13,1235,0
2006-07-14,1250,0
2006-07-15,1223,0
2006-07-16,1220,1
2006-07-17,1250,0
2006-07-18,1250,0
2006-07-19,1240,0
2006-07-20,1205,0
2006-07-21,1200,0
2006-07-22,1210,0
2006-07-23,1219,1
2006-07-24,1205,0
2006-07-25,1210,0
2006-07-26,1215,0
2006-07-27,1200,0
2006-07-28,1190,0
2006-07-29,1195,0
2006-07-30,1205,1
2006-07-31,1200,0
2006-08-01,1210,1
2006-08-02,1215,1
2006-08-03,1210,1
2006-08-04,1210,1
2006-08-05,1210,1
2006-08-06,1208,1
2006-08-07,1205,1
2006-08-08,1210,1
2006-08-09,1208,1
2006-08-10,1215,1
2006-08-11,1205,1
2006-08-12,1208,1
2006-08-13,1207,1
2006-08-14,1205,1
2006-08-15,1206,1
2006-08-16,1205,1
2006-08-17,1206,1
2006-08-18,1200,1
2006-08-19,1210,1
2006-08-20,1206,1
2006-08-21,1210,1
2006-08-22,1205,1
2006-08-23,1205,1
2006-08-24,1200,1
2006-08-25,1200,1
2006-08-26,1210,1
2006-08-27,1205,1
2006-08-28,1205,1
2006-08-29,1205,1
2006-08-30,1205,1
2006-08-31,1210,1
2006-09-01,1215,0
2006-09-02,1205,0
2006-09-03,1207,1
2006-09-04,1215,0
2006-09-05,1220,0
2006-09-06,1210,1
2006-09-07,1215,0
2006-09-08,1215,0
2006-09-09,1210,0
2006-09-10,1211,1
2006-09-11,1205,0
2006-09-12,1190,0
2006-09-13,1175,0
2006-09-14,1170,0
2006-09-15,1190,0
2006-09-16,1205,0
2006-09-17,1195,1
2006-09-18,1170,0
2006-09-19,1190,0
2006-09-20,1165,0
2006-09-21,1170,0
2006-09-22,1170,0
2006-09-23,1179,1
2006-09-24,1179,1
2006-09-25,1160,0
2006-09-26,1155,0
2006-09-27,1155,0
2006-09-28,1155,0
2006-09-29,1155,0
2006-09-30,1150,0
2006-10-01,1160,1
2006-10-02,1160,1
2006-10-03,1150,0
2006-10-04,1145,0
2006-10-05,1150,0
2006-10-06,1160,0
2006-10-07,1150,0
2006-10-08,1154,1
2006-10-09,1140,0
2006-10-10,1150,0
2006-10-11,1125,0
2006-10-12,1155,0
2006-10-13,1160,0
2006-10-14,1170,0
2006-10-15,1154,1
2006-10-16,1150,0
2006-10-17,1150,0
2006-10-18,1155,0
2006-10-19,1145,0
2006-10-20,1151,1
2006-10-21,1151,1
2006-10-22,1151,1
2006-10-23,1151,1
2006-10-24,1151,1
2006-10-25,1160,0
2006-10-26,1150,0
2006-10-27,1160,0
2006-10-28,1185,0
2006-10-29,1160,1
2006-10-30,1195,0
2006-10-31,1205,0
2006-11-01,1190,0
2006-11-02,1200,0
2006-11-03,1205,0
2006-11-04,1270,0
2006-11-05,1203,1
2006-11-06,1260,0
2006-11-07,1260,0
2006-11-08,1270,0
2006-11-09,1280,0
2006-11-10,1290,0
2006-11-11,1290,0
2006-11-12,1271,1
2006-11-13,1300,0
2006-11-14,1300,0
2006-11-15,1310,0
2006-11-16,1305,0
2006-11-17,1315,0
2006-11-18,1305,0
2006-11-19,1303,1
2006-11-20,1303,1
2006-11-21,1350,0
2006-11-22,1335,0
2006-11-23,1345,0
2006-11-24,1350,0
2006-11-25,1335,0
2006-11-26,1336,1
2006-11-27,1380,0
2006-11-28,1375,0
2006-11-29,1350,0
2006-11-30,1359,1
2006-12-01,1330,0
2006-12-02,1330,0
2006-12-03,1344,1
2006-12-04,1305,0
2006-12-05,1305,0
2006-12-06,1310,0
2006-12-07,1310,0
2006-12-08,1310,0
2006-12-09,1310,0
2006-12-10,1312,1
2006-12-11,1305,0
2006-12-12,1315,0
2006-12-13,1310,1
2006-12-14,1320,0
2006-12-15,1320,0
2006-12-16,1320,0
2006-12-17,1316,1
2006-12-18,1305,0
2006-12-19,1300,0
2006-12-20,1305,0
2006-12-21,1315,0
2006-12-22,1310,0
2006-12-23,1320,0
2006-12-24,1311,1
2006-12-25,1340,0
2006-12-26,1318,1
2006-12-27,1350,0
2006-12-28,1335,0
2006-12-29,1335,0
2006-12-30,1325,0
2006-12-31,1331,1
