DATE,PRICE,IMPUTED
2006-01-01,1070,1
2006-01-02,1070,0
2006-01-03,1080,0
2006-01-04,1079,1
2006-01-05,1100,0
2006-01-06,1095,0
2006-01-07,1100,0
2006-01-08,1096,1
2006-01-09,1125,0
2006-01-10,1115,0
2006-01-11,1108,1
2006-01-12,1104,1
2006-01-13,1100,0
2006-01-14,1097,1
2006-01-15,1096,1
2006-01-16,1075,0
2006-01-17,1090,0
2006-01-18,1085,0
2006-01-19,1085,0
2006-01-20,1082,0
2006-01-21,1070,0
2006-01-22,1075,1
2006-01-23,1079,1
2006-01-24,1081,1
2006-01-25,1083,1
2006-01-26,1084,1
2006-01-27,1085,1
2006-01-28,1086,1
2006-01-29,1086,1
2006-01-30,1087,1
2006-01-31,1087,1
2006-02-01,1087,1
2006-02-02,1087,1
2006-02-03,1087,1
2006-02-04,1087,1
2006-02-05,1087,1
2006-02-06,1087,1
2006-02-07,1087,1
2006-02-08,1087,1
2006-02-09,1087,1
2006-02-10,1100,0
2006-02-11,1080,0
2006-02-12,1086,1
2006-02-13,1085,1
2006-02-14,1095,0
2006-02-15,1125,0
2006-02-16,1250,0
2006-02-17,1298,1
2006-02-18,1100,0
2006-02-19,979,1
2006-02-20,1095,0
2006-02-21,1095,0
2006-02-22,1095,0
2006-02-23,1118,1
2006-02-24,1085,0
2006-02-25,1095,0
2006-02-26,1101,1
2006-02-27,1090,0
2006-02-28,1100,0
2006-03-01,1100,0
2006-03-02,1100,0
2006-03-03,1100,0
2006-03-04,1100,0
2006-03-05,1099,1
2006-03-06,1100,0
2006-03-07,1100,0
2006-03-08,1000,0
2006-03-09,1075,0
2006-03-10,1095,0
2006-03-11,1110,0
2006-03-12,1121,1
2006-03-13,1094,1
2006-03-14,1094,1
2006-03-15,1094,1
2006-03-16,1100,0
2006-03-17,1105,0
2006-03-18,1099,1
2006-03-19,1094,1
2006-03-20,1100,0
2006-03-21,1098,1
2006-03-22,1095,1
2006-03-23,1095,1
2006-03-24,1095,1
2006-03-25,1100,0
2006-03-26,1098,1
2006-03-27,1095,1
2006-03-28,1095,1
2006-03-29,1100,0
2006-03-30,1098,1
2006-03-31,1095,1
2006-04-01,1095,1
2006-04-02,1095,1
2006-04-03,1095,1
2006-04-04,1095,1
2006-04-05,1095,1
2006-04-06,1095,1
2006-04-07,1075,0
2006-04-08,1085,0
2006-04-09,1097,1
2006-04-10,1094,1
2006-04-11,1094,1
2006-04-12,1100,0
2006-04-13,1098,1
2006-04-14,1100,0
2006-04-15,1100,0
2006-04-16,1096,1
2006-04-17,1150,0
2006-04-18,1133,1
